workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A16335MOISDG1F,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,58.698,-1,1,6514,548,321
A16335MOISDG1F,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,67.706,-1,2,6820,450,74
A16335MOISDG1F,NA,NA,ma_23024660-a,ma_23024660-as,ma_23024660-b,ma_23024660-bs,76.013,-1,3,6503,519,221
A16335MOISDG1F,NA,NA,ma_95091295-a,ma_95091295-as,ma_95091295-b,ma_95091295-bs,85.564,-1,4,7448,258,324
A16335MOISDG1F,NA,NA,ma_10810329-a,ma_10810329-as,ma_10810329-b,ma_10810329-bs,93.39,-1,5,7310,494,248
A16335MOISDG1F,NA,NA,ma_69128765-a,ma_69128765-as,ma_69128765-b,ma_69128765-bs,100.784,-1,6,6656,349,221
A16335MOISDG1F,NA,NA,ma_88767165-a,ma_88767165-as,ma_88767165-b,ma_88767165-bs,108.032,-1,7,6503,505,156
A16335MOISDG1F,NA,NA,ma_86520382-a,ma_86520382-as,ma_86520382-b,ma_86520382-bs,115.328,-1,8,6463,364,195
A16335MOISDG1F,NA,NA,ma_61118260-a,ma_61118260-as,ma_61118260-b,ma_61118260-bs,122.681,-1,9,6434,77,111
A16335MOISDG1F,NA,NA,ma_10504629-a,ma_10504629-as,ma_10504629-b,ma_10504629-bs,129.921,-1,10,6439,538,200
A16335MOISDG1F,NA,NA,ma_38466626-a,ma_38466626-as,ma_38466626-b,ma_38466626-bs,137.91,-1,11,6412,229,169
A16335MOISDG1F,NA,NA,ma_83536470-a,ma_83536470-as,ma_83536470-b,ma_83536470-bs,145.171,-1,12,6551,331,217
A16335MOISDG1F,NA,NA,ma_98265889-a,ma_98265889-as,ma_98265889-b,ma_98265889-bs,152.677,-1,13,6498,322,122
A16335MOISDG1F,NA,NA,ma_77574131-a,ma_77574131-as,ma_77574131-b,ma_77574131-bs,160.352,-1,14,6454,519,186
A16335MOISDG1F,NA,NA,ma_48486405-a,ma_48486405-as,ma_48486405-b,ma_48486405-bs,167.705,-1,15,6397,364,156
A16335MOISDG1F,NA,NA,ma_13141692-a,ma_13141692-as,ma_13141692-b,ma_13141692-bs,175.052,-1,16,6401,294,183
A16335MOISDG1F,NA,NA,ma_48384711-a,ma_48384711-as,ma_48384711-b,ma_48384711-bs,182.476,-1,17,6388,152,271
A16335MOISDG1F,NA,NA,ma_32289063-a,ma_32289063-as,ma_32289063-b,ma_32289063-bs,189.729,-1,18,6362,332,177
A16335MOISDG1F,NA,NA,ma_72488522-a,ma_72488522-as,ma_72488522-b,ma_72488522-bs,197.478,-1,19,6628,199,168
A16335MOISDG1F,NA,NA,ma_42429798-a,ma_42429798-as,ma_42429798-b,ma_42429798-bs,205.152,-1,20,6486,314,160
A16335MOISDG1F,NA,NA,ma_98156944-a,ma_98156944-as,ma_98156944-b,ma_98156944-bs,212.575,-1,21,6434,242,241
A16335MOISDG1F,NA,NA,ma_79573638-a,ma_79573638-as,ma_79573638-b,ma_79573638-bs,220.256,-1,22,6439,194,279
A16335MOISDG1F,NA,NA,ma_45525109-a,ma_45525109-as,ma_45525109-b,ma_45525109-bs,227.957,-1,23,6413,530,188
A16335MOISDG1F,NA,NA,ma_8197559-a,ma_8197559-as,ma_8197559-b,ma_8197559-bs,235.42,-1,24,6424,309,220
A16335MOISDG1F,NA,NA,ma_75958241-a,ma_75958241-as,ma_75958241-b,ma_75958241-bs,245.114,-1,25,8700,413,195
A16335MOISDG1F,NA,NA,ma_55174490-a,ma_55174490-as,ma_55174490-b,ma_55174490-bs,259.162,-1,26,12628,216,386
A16335MOISDG1F,NA,NA,ma_81993755-a,ma_81993755-as,ma_81993755-b,ma_81993755-bs,266.456,-1,27,6594,512,160
A16335MOISDG1F,NA,NA,ma_16527526-a,ma_16527526-as,ma_16527526-b,ma_16527526-bs,273.714,-1,28,6591,372,180
A16335MOISDG1F,NA,NA,ma_4247084-a,ma_4247084-as,ma_4247084-b,ma_4247084-bs,280.676,-1,29,6417,338,232
A16335MOISDG1F,NA,NA,ma_18169626-a,ma_18169626-as,ma_18169626-b,ma_18169626-bs,287.887,-1,30,6434,363,142
A16335MOISDG1F,NA,NA,ma_77793328-a,ma_77793328-as,ma_77793328-b,ma_77793328-bs,295.132,-1,31,6336,394,226
A16335MOISDG1F,NA,NA,ma_79191795-a,ma_79191795-as,ma_79191795-b,ma_79191795-bs,302.226,-1,32,6425,406,194
A16335MOISDG1F,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,316.426,-1,33,6326,453,241
