workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1CX684F5TEO5W,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,63.569,-1,1,8329,304,249
A1CX684F5TEO5W,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,78.736,-1,2,14162,409,257
A1CX684F5TEO5W,NA,NA,ma_48486405-a,ma_48486405-as,ma_48486405-b,ma_48486405-bs,88.453,-1,3,8578,304,348
A1CX684F5TEO5W,NA,NA,ma_73637203-a,ma_73637203-as,ma_73637203-b,ma_73637203-bs,97.52,-1,4,8224,190,56
A1CX684F5TEO5W,NA,NA,ma_70687495-a,ma_70687495-as,ma_70687495-b,ma_70687495-bs,106.019,-1,5,7662,406,292
A1CX684F5TEO5W,NA,NA,ma_10810329-a,ma_10810329-as,ma_10810329-b,ma_10810329-bs,113.906,-1,6,7338,228,280
A1CX684F5TEO5W,NA,NA,ma_79241011-a,ma_79241011-as,ma_79241011-b,ma_79241011-bs,121.487,-1,7,7102,565,178
A1CX684F5TEO5W,NA,NA,ma_55174490-a,ma_55174490-as,ma_55174490-b,ma_55174490-bs,131.137,-1,8,8962,486,307
A1CX684F5TEO5W,NA,NA,ma_44993860-a,ma_44993860-as,ma_44993860-b,ma_44993860-bs,138.507,-1,9,6754,531,321
A1CX684F5TEO5W,NA,NA,ma_98265889-a,ma_98265889-as,ma_98265889-b,ma_98265889-bs,147.231,-1,10,6604,450,208
A1CX684F5TEO5W,NA,NA,ma_42429798-a,ma_42429798-as,ma_42429798-b,ma_42429798-bs,154.903,-1,11,6599,348,279
A1CX684F5TEO5W,NA,NA,ma_8974554-a,ma_8974554-as,ma_8974554-b,ma_8974554-bs,162.784,-1,12,7230,582,286
A1CX684F5TEO5W,NA,NA,ma_48384711-a,ma_48384711-as,ma_48384711-b,ma_48384711-bs,173.431,-1,13,9280,372,425
A1CX684F5TEO5W,NA,NA,ma_25107991-a,ma_25107991-as,ma_25107991-b,ma_25107991-bs,181.04,-1,14,6633,338,170
A1CX684F5TEO5W,NA,NA,ma_74173745-a,ma_74173745-as,ma_74173745-b,ma_74173745-bs,188.652,-1,15,6925,379,404
A1CX684F5TEO5W,NA,NA,ma_46635293-a,ma_46635293-as,ma_46635293-b,ma_46635293-bs,196.199,-1,16,6610,225,381
A1CX684F5TEO5W,NA,NA,ma_67862299-a,ma_67862299-as,ma_67862299-b,ma_67862299-bs,203.623,-1,17,6749,101,222
A1CX684F5TEO5W,NA,NA,ma_62224663-a,ma_62224663-as,ma_62224663-b,ma_62224663-bs,211.682,-1,18,7391,480,217
A1CX684F5TEO5W,NA,NA,ma_10504629-a,ma_10504629-as,ma_10504629-b,ma_10504629-bs,219.315,-1,19,6726,85,207
A1CX684F5TEO5W,NA,NA,ma_13141692-a,ma_13141692-as,ma_13141692-b,ma_13141692-bs,226.683,-1,20,6753,568,388
A1CX684F5TEO5W,NA,NA,ma_12178414-a,ma_12178414-as,ma_12178414-b,ma_12178414-bs,234.124,-1,21,6600,318,194
A1CX684F5TEO5W,NA,NA,ma_79222679-a,ma_79222679-as,ma_79222679-b,ma_79222679-bs,241.487,-1,22,6948,534,163
A1CX684F5TEO5W,NA,NA,ma_38546029-a,ma_38546029-as,ma_38546029-b,ma_38546029-bs,250.861,-1,23,8691,356,427
A1CX684F5TEO5W,NA,NA,ma_38466626-a,ma_38466626-as,ma_38466626-b,ma_38466626-bs,258.324,-1,24,6828,382,444
A1CX684F5TEO5W,NA,NA,ma_72488522-a,ma_72488522-as,ma_72488522-b,ma_72488522-bs,265.644,-1,25,6585,370,273
A1CX684F5TEO5W,NA,NA,ma_57861456-a,ma_57861456-as,ma_57861456-b,ma_57861456-bs,273,-1,26,6600,300,124
A1CX684F5TEO5W,NA,NA,ma_16527526-a,ma_16527526-as,ma_16527526-b,ma_16527526-bs,280.548,-1,27,6972,568,256
A1CX684F5TEO5W,NA,NA,ma_18345691-a,ma_18345691-as,ma_18345691-b,ma_18345691-bs,288.44,-1,28,7028,293,125
A1CX684F5TEO5W,NA,NA,ma_85741618-a,ma_85741618-as,ma_85741618-b,ma_85741618-bs,296.076,-1,29,7066,250,148
A1CX684F5TEO5W,NA,NA,ma_83785171-a,ma_83785171-as,ma_83785171-b,ma_83785171-bs,303.802,-1,30,6602,377,316
A1CX684F5TEO5W,NA,NA,ma_62096551-a,ma_62096551-as,ma_62096551-b,ma_62096551-bs,311.492,-1,31,7071,615,95
A1CX684F5TEO5W,NA,NA,ma_61118260-a,ma_61118260-as,ma_61118260-b,ma_61118260-bs,321.389,-1,32,9169,570,230
A1CX684F5TEO5W,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,329.099,-1,33,6976,439,193
