workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1YV6W4EZP9T4Q,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,73.326,-1,1,11805,301,225
A1YV6W4EZP9T4Q,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,81.31,-1,2,7561,380,312
A1YV6W4EZP9T4Q,NA,NA,ma_38546029-a,ma_38546029-as,ma_38546029-b,ma_38546029-bs,101.412,-1,3,19554,379,295
A1YV6W4EZP9T4Q,NA,NA,ma_62096551-a,ma_62096551-as,ma_62096551-b,ma_62096551-bs,109.308,-1,4,6983,622,211
A1YV6W4EZP9T4Q,NA,NA,ma_83785171-a,ma_83785171-as,ma_83785171-b,ma_83785171-bs,117.639,-1,5,7772,353,299
A1YV6W4EZP9T4Q,NA,NA,ma_79191795-a,ma_79191795-as,ma_79191795-b,ma_79191795-bs,125.272,-1,6,7025,379,52
A1YV6W4EZP9T4Q,NA,NA,ma_51856108-a,ma_51856108-as,ma_51856108-b,ma_51856108-bs,137.131,-1,7,11406,39,215
A1YV6W4EZP9T4Q,NA,NA,ma_73637203-a,ma_73637203-as,ma_73637203-b,ma_73637203-bs,148.938,-1,8,11006,182,77
A1YV6W4EZP9T4Q,NA,NA,ma_81993755-a,ma_81993755-as,ma_81993755-b,ma_81993755-bs,160.289,-1,9,10876,209,226
A1YV6W4EZP9T4Q,NA,NA,ma_98156944-a,ma_98156944-as,ma_98156944-b,ma_98156944-bs,167.469,-1,10,6702,544,174
A1YV6W4EZP9T4Q,NA,NA,ma_8197559-a,ma_8197559-as,ma_8197559-b,ma_8197559-bs,181.69,-1,11,13515,185,143
A1YV6W4EZP9T4Q,NA,NA,ma_27857618-a,ma_27857618-as,ma_27857618-b,ma_27857618-bs,191.139,-1,12,9038,265,156
A1YV6W4EZP9T4Q,NA,NA,ma_44993860-a,ma_44993860-as,ma_44993860-b,ma_44993860-bs,202.803,-1,13,11078,529,254
A1YV6W4EZP9T4Q,NA,NA,ma_89354846-a,ma_89354846-as,ma_89354846-b,ma_89354846-bs,218.838,-1,14,15111,361,229
A1YV6W4EZP9T4Q,NA,NA,ma_48486405-a,ma_48486405-as,ma_48486405-b,ma_48486405-bs,231.153,-1,15,11980,360,352
A1YV6W4EZP9T4Q,NA,NA,ma_70687495-a,ma_70687495-as,ma_70687495-b,ma_70687495-bs,256.089,-1,16,24659,427,196
A1YV6W4EZP9T4Q,NA,NA,ma_88767165-a,ma_88767165-as,ma_88767165-b,ma_88767165-bs,288.598,-1,17,31942,443,415
A1YV6W4EZP9T4Q,NA,NA,ma_90405028-a,ma_90405028-as,ma_90405028-b,ma_90405028-bs,300.827,-1,18,11179,320,366
A1YV6W4EZP9T4Q,NA,NA,ma_1191801-a,ma_1191801-as,ma_1191801-b,ma_1191801-bs,308.333,-1,19,6790,221,160
A1YV6W4EZP9T4Q,NA,NA,ma_97475929-a,ma_97475929-as,ma_97475929-b,ma_97475929-bs,326.865,-1,20,17568,375,422
A1YV6W4EZP9T4Q,NA,NA,ma_95091295-a,ma_95091295-as,ma_95091295-b,ma_95091295-bs,338.318,-1,21,10946,227,166
A1YV6W4EZP9T4Q,NA,NA,ma_77345858-a,ma_77345858-as,ma_77345858-b,ma_77345858-bs,347.767,-1,22,8958,332,364
A1YV6W4EZP9T4Q,NA,NA,ma_45525109-a,ma_45525109-as,ma_45525109-b,ma_45525109-bs,356.926,-1,23,8749,227,303
A1YV6W4EZP9T4Q,NA,NA,ma_51537628-a,ma_51537628-as,ma_51537628-b,ma_51537628-bs,366.381,-1,24,8683,530,233
A1YV6W4EZP9T4Q,NA,NA,ma_23199105-a,ma_23199105-as,ma_23199105-b,ma_23199105-bs,377.912,-1,25,10585,551,59
A1YV6W4EZP9T4Q,NA,NA,ma_87983207-a,ma_87983207-as,ma_87983207-b,ma_87983207-bs,388.961,-1,26,10538,65,266
A1YV6W4EZP9T4Q,NA,NA,ma_10810329-a,ma_10810329-as,ma_10810329-b,ma_10810329-bs,398.956,-1,27,9578,217,286
A1YV6W4EZP9T4Q,NA,NA,ma_38466626-a,ma_38466626-as,ma_38466626-b,ma_38466626-bs,408.689,-1,28,8982,319,445
A1YV6W4EZP9T4Q,NA,NA,ma_83691215-a,ma_83691215-as,ma_83691215-b,ma_83691215-bs,421.815,-1,29,12725,363,250
A1YV6W4EZP9T4Q,NA,NA,ma_56835136-a,ma_56835136-as,ma_56835136-b,ma_56835136-bs,431.264,-1,30,8552,569,347
A1YV6W4EZP9T4Q,NA,NA,ma_77574131-a,ma_77574131-as,ma_77574131-b,ma_77574131-bs,450.981,-1,31,19414,56,78
A1YV6W4EZP9T4Q,NA,NA,ma_57861456-a,ma_57861456-as,ma_57861456-b,ma_57861456-bs,458.613,-1,32,7090,306,121
A1YV6W4EZP9T4Q,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,465.606,-1,33,6795,369,220
