workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A22DF0EWILGRLV,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,45.209,-1,1,10254,296,246
A22DF0EWILGRLV,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,60.696,-1,2,14848,430,263
A22DF0EWILGRLV,NA,NA,ma_72488522-a,ma_72488522-as,ma_72488522-b,ma_72488522-bs,82.681,-1,3,21375,364,271
A22DF0EWILGRLV,NA,NA,ma_73637203-a,ma_73637203-as,ma_73637203-b,ma_73637203-bs,100.136,-1,4,17062,186,61
A22DF0EWILGRLV,NA,NA,ma_13873251-a,ma_13873251-as,ma_13873251-b,ma_13873251-bs,115.166,-1,5,14253,84,309
A22DF0EWILGRLV,NA,NA,ma_77793328-a,ma_77793328-as,ma_77793328-b,ma_77793328-bs,127.323,-1,6,11549,566,287
A22DF0EWILGRLV,NA,NA,ma_46475259-a,ma_46475259-as,ma_46475259-b,ma_46475259-bs,138.073,-1,7,4106,493,420
A22DF0EWILGRLV,NA,NA,ma_98265889-a,ma_98265889-as,ma_98265889-b,ma_98265889-bs,166.754,-1,8,28243,309,74
A22DF0EWILGRLV,NA,NA,ma_25107991-a,ma_25107991-as,ma_25107991-b,ma_25107991-bs,191.378,-1,9,24102,285,82
A22DF0EWILGRLV,NA,NA,ma_32289063-a,ma_32289063-as,ma_32289063-b,ma_32289063-bs,205.714,-1,10,13783,331,308
A22DF0EWILGRLV,NA,NA,ma_48384711-a,ma_48384711-as,ma_48384711-b,ma_48384711-bs,219.778,-1,11,13738,360,436
A22DF0EWILGRLV,NA,NA,ma_81993755-a,ma_81993755-as,ma_81993755-b,ma_81993755-bs,244.053,-1,12,23883,421,129
A22DF0EWILGRLV,NA,NA,ma_18345691-a,ma_18345691-as,ma_18345691-b,ma_18345691-bs,264.646,-1,13,20120,298,49
A22DF0EWILGRLV,NA,NA,ma_79191795-a,ma_79191795-as,ma_79191795-b,ma_79191795-bs,272.154,-1,14,7089,395,54
A22DF0EWILGRLV,NA,NA,ma_77574131-a,ma_77574131-as,ma_77574131-b,ma_77574131-bs,285.163,-1,15,12679,78,103
A22DF0EWILGRLV,NA,NA,ma_13141692-a,ma_13141692-as,ma_13141692-b,ma_13141692-bs,303.146,-1,16,17393,565,390
A22DF0EWILGRLV,NA,NA,ma_69128765-a,ma_69128765-as,ma_69128765-b,ma_69128765-bs,314.844,-1,17,11180,178,284
A22DF0EWILGRLV,NA,NA,ma_24383097-a,ma_24383097-as,ma_24383097-b,ma_24383097-bs,322.148,-1,18,6854,127,108
A22DF0EWILGRLV,NA,NA,ma_38466626-a,ma_38466626-as,ma_38466626-b,ma_38466626-bs,329.674,-1,19,6780,387,449
A22DF0EWILGRLV,NA,NA,ma_48486405-a,ma_48486405-as,ma_48486405-b,ma_48486405-bs,340.863,-1,20,10725,315,358
A22DF0EWILGRLV,NA,NA,ma_88767165-a,ma_88767165-as,ma_88767165-b,ma_88767165-bs,358.765,-1,21,17066,450,405
A22DF0EWILGRLV,NA,NA,ma_85741618-a,ma_85741618-as,ma_85741618-b,ma_85741618-bs,391.007,-1,22,31810,185,161
A22DF0EWILGRLV,NA,NA,ma_1383096-a,ma_1383096-as,ma_1383096-b,ma_1383096-bs,411.218,-1,23,18972,467,42
A22DF0EWILGRLV,NA,NA,ma_89354846-a,ma_89354846-as,ma_89354846-b,ma_89354846-bs,422.254,-1,24,10712,356,238
A22DF0EWILGRLV,NA,NA,ma_83536470-a,ma_83536470-as,ma_83536470-b,ma_83536470-bs,433.398,-1,25,10668,206,196
A22DF0EWILGRLV,NA,NA,ma_22020472-a,ma_22020472-as,ma_22020472-b,ma_22020472-bs,440.943,-1,26,6629,613,304
A22DF0EWILGRLV,NA,NA,ma_51537628-a,ma_51537628-as,ma_51537628-b,ma_51537628-bs,452.223,-1,27,10854,521,231
A22DF0EWILGRLV,NA,NA,ma_61118260-a,ma_61118260-as,ma_61118260-b,ma_61118260-bs,461.627,-1,28,9010,562,224
A22DF0EWILGRLV,NA,NA,ma_23024660-a,ma_23024660-as,ma_23024660-b,ma_23024660-bs,477.187,-1,29,14932,402,191
A22DF0EWILGRLV,NA,NA,ma_31236119-a,ma_31236119-as,ma_31236119-b,ma_31236119-bs,484.794,-1,30,6709,501,60
A22DF0EWILGRLV,NA,NA,ma_90405028-a,ma_90405028-as,ma_90405028-b,ma_90405028-bs,492.239,-1,31,6662,327,347
A22DF0EWILGRLV,NA,NA,ma_62096551-a,ma_62096551-as,ma_62096551-b,ma_62096551-bs,503.465,-1,32,10668,614,82
A22DF0EWILGRLV,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,510.727,-1,33,6888,435,254
