workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2S591ZMEWMA5C,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,39.244,-1,1,4534,475,164
A2S591ZMEWMA5C,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,39.246,-1,2,6765,475,164
A2S591ZMEWMA5C,NA,NA,ma_95091295-a,ma_95091295-as,ma_95091295-b,ma_95091295-bs,46.995,-1,3,6514,177,180
A2S591ZMEWMA5C,NA,NA,ma_1383096-a,ma_1383096-as,ma_1383096-b,ma_1383096-bs,54.247,-1,4,6927,456,48
A2S591ZMEWMA5C,NA,NA,ma_12178414-a,ma_12178414-as,ma_12178414-b,ma_12178414-bs,62.107,-1,5,7507,474,213
A2S591ZMEWMA5C,NA,NA,ma_8197559-a,ma_8197559-as,ma_8197559-b,ma_8197559-bs,69.979,-1,6,7442,303,376
A2S591ZMEWMA5C,NA,NA,ma_48384711-a,ma_48384711-as,ma_48384711-b,ma_48384711-bs,80.014,-1,7,9775,567,303
A2S591ZMEWMA5C,NA,NA,ma_81993755-a,ma_81993755-as,ma_81993755-b,ma_81993755-bs,86.904,-1,8,6473,406,312
A2S591ZMEWMA5C,NA,NA,ma_70687495-a,ma_70687495-as,ma_70687495-b,ma_70687495-bs,93.749,-1,9,6476,414,298
A2S591ZMEWMA5C,NA,NA,ma_89354846-a,ma_89354846-as,ma_89354846-b,ma_89354846-bs,103.033,-1,10,8647,360,231
A2S591ZMEWMA5C,NA,NA,ma_90405028-a,ma_90405028-as,ma_90405028-b,ma_90405028-bs,112.284,-1,11,8546,336,360
A2S591ZMEWMA5C,NA,NA,ma_85741618-a,ma_85741618-as,ma_85741618-b,ma_85741618-bs,119.466,-1,12,6883,542,307
A2S591ZMEWMA5C,NA,NA,ma_83785171-a,ma_83785171-as,ma_83785171-b,ma_83785171-bs,128.505,-1,13,8798,364,310
A2S591ZMEWMA5C,NA,NA,ma_83536470-a,ma_83536470-as,ma_83536470-b,ma_83536470-bs,137.737,-1,14,8674,199,208
A2S591ZMEWMA5C,NA,NA,ma_45525109-a,ma_45525109-as,ma_45525109-b,ma_45525109-bs,147.036,-1,15,8928,510,207
A2S591ZMEWMA5C,NA,NA,ma_13873251-a,ma_13873251-as,ma_13873251-b,ma_13873251-bs,156.109,-1,16,8569,81,294
A2S591ZMEWMA5C,NA,NA,ma_67862299-a,ma_67862299-as,ma_67862299-b,ma_67862299-bs,165.629,-1,17,9102,85,224
A2S591ZMEWMA5C,NA,NA,ma_12115280-a,ma_12115280-as,ma_12115280-b,ma_12115280-bs,174.576,-1,18,8520,359,297
A2S591ZMEWMA5C,NA,NA,ma_44993860-a,ma_44993860-as,ma_44993860-b,ma_44993860-bs,184.418,-1,19,9396,383,336
A2S591ZMEWMA5C,NA,NA,ma_79191795-a,ma_79191795-as,ma_79191795-b,ma_79191795-bs,204.271,-1,20,8848,541,380
A2S591ZMEWMA5C,NA,NA,ma_16527526-a,ma_16527526-as,ma_16527526-b,ma_16527526-bs,204.272,-1,21,19504,541,380
A2S591ZMEWMA5C,NA,NA,ma_98265889-a,ma_98265889-as,ma_98265889-b,ma_98265889-bs,211.327,-1,22,6535,435,208
A2S591ZMEWMA5C,NA,NA,ma_88767165-a,ma_88767165-as,ma_88767165-b,ma_88767165-bs,218.257,-1,23,6480,284,309
A2S591ZMEWMA5C,NA,NA,ma_77574131-a,ma_77574131-as,ma_77574131-b,ma_77574131-bs,229.952,-1,24,11217,273,362
A2S591ZMEWMA5C,NA,NA,ma_79573638-a,ma_79573638-as,ma_79573638-b,ma_79573638-bs,239.189,-1,25,8835,284,130
A2S591ZMEWMA5C,NA,NA,ma_38466626-a,ma_38466626-as,ma_38466626-b,ma_38466626-bs,248.612,-1,26,9041,370,434
A2S591ZMEWMA5C,NA,NA,ma_13141692-a,ma_13141692-as,ma_13141692-b,ma_13141692-bs,255.583,-1,27,6428,574,386
A2S591ZMEWMA5C,NA,NA,ma_4247084-a,ma_4247084-as,ma_4247084-b,ma_4247084-bs,262.81,-1,28,6775,538,304
A2S591ZMEWMA5C,NA,NA,ma_83691215-a,ma_83691215-as,ma_83691215-b,ma_83691215-bs,269.578,-1,29,6429,500,403
A2S591ZMEWMA5C,NA,NA,ma_10504629-a,ma_10504629-as,ma_10504629-b,ma_10504629-bs,276.775,-1,30,6793,416,282
A2S591ZMEWMA5C,NA,NA,ma_3099758-a,ma_3099758-as,ma_3099758-b,ma_3099758-bs,287.233,-1,31,10174,481,259
A2S591ZMEWMA5C,NA,NA,ma_72488522-a,ma_72488522-as,ma_72488522-b,ma_72488522-bs,296.127,-1,32,8517,369,260
A2S591ZMEWMA5C,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,303.242,-1,33,6696,463,204
