workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2VR9O234UCT9T,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,49.143,-1,1,15418,297,256
A2VR9O234UCT9T,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,58.383,-1,2,8032,416,271
A2VR9O234UCT9T,NA,NA,ma_25107991-a,ma_25107991-as,ma_25107991-b,ma_25107991-bs,68.865,-1,3,9925,358,174
A2VR9O234UCT9T,NA,NA,ma_38546029-a,ma_38546029-as,ma_38546029-b,ma_38546029-bs,76.793,-1,4,7531,346,416
A2VR9O234UCT9T,NA,NA,ma_24383097-a,ma_24383097-as,ma_24383097-b,ma_24383097-bs,89.147,-1,5,11822,129,145
A2VR9O234UCT9T,NA,NA,ma_97475929-a,ma_97475929-as,ma_97475929-b,ma_97475929-bs,96.966,-1,6,7367,347,381
A2VR9O234UCT9T,NA,NA,ma_23199105-a,ma_23199105-as,ma_23199105-b,ma_23199105-bs,107.395,-1,7,10050,541,80
A2VR9O234UCT9T,NA,NA,ma_31236119-a,ma_31236119-as,ma_31236119-b,ma_31236119-bs,116.693,-1,8,8275,492,62
A2VR9O234UCT9T,NA,NA,ma_23024660-a,ma_23024660-as,ma_23024660-b,ma_23024660-bs,128.593,-1,9,11492,376,203
A2VR9O234UCT9T,NA,NA,ma_38466626-a,ma_38466626-as,ma_38466626-b,ma_38466626-bs,136.452,-1,10,6883,357,461
A2VR9O234UCT9T,NA,NA,ma_4247084-a,ma_4247084-as,ma_4247084-b,ma_4247084-bs,148.019,-1,11,10744,227,53
A2VR9O234UCT9T,NA,NA,ma_81993755-a,ma_81993755-as,ma_81993755-b,ma_81993755-bs,189.456,-1,12,40240,326,234
A2VR9O234UCT9T,NA,NA,ma_13141692-a,ma_13141692-as,ma_13141692-b,ma_13141692-bs,197.174,-1,13,7272,570,373
A2VR9O234UCT9T,NA,NA,ma_45525109-a,ma_45525109-as,ma_45525109-b,ma_45525109-bs,209.082,-1,14,10975,227,300
A2VR9O234UCT9T,NA,NA,ma_32289063-a,ma_32289063-as,ma_32289063-b,ma_32289063-bs,218.669,-1,15,8934,347,320
A2VR9O234UCT9T,NA,NA,ma_1191801-a,ma_1191801-as,ma_1191801-b,ma_1191801-bs,226.733,-1,16,6717,242,160
A2VR9O234UCT9T,NA,NA,ma_69128765-a,ma_69128765-as,ma_69128765-b,ma_69128765-bs,240.713,-1,17,13137,252,270
A2VR9O234UCT9T,NA,NA,ma_8197559-a,ma_8197559-as,ma_8197559-b,ma_8197559-bs,251.036,-1,18,9112,299,376
A2VR9O234UCT9T,NA,NA,ma_22020472-a,ma_22020472-as,ma_22020472-b,ma_22020472-bs,260.723,-1,19,8713,603,319
A2VR9O234UCT9T,NA,NA,ma_61118260-a,ma_61118260-as,ma_61118260-b,ma_61118260-bs,272.486,-1,20,10845,556,240
A2VR9O234UCT9T,NA,NA,ma_95091295-a,ma_95091295-as,ma_95091295-b,ma_95091295-bs,280.265,-1,21,6920,228,157
A2VR9O234UCT9T,NA,NA,ma_51856108-a,ma_51856108-as,ma_51856108-b,ma_51856108-bs,288.369,-1,22,6935,95,209
A2VR9O234UCT9T,NA,NA,ma_48384711-a,ma_48384711-as,ma_48384711-b,ma_48384711-bs,307.543,-1,23,18094,323,220
A2VR9O234UCT9T,NA,NA,ma_83691215-a,ma_83691215-as,ma_83691215-b,ma_83691215-bs,315.584,-1,24,7623,357,246
A2VR9O234UCT9T,NA,NA,ma_73637203-a,ma_73637203-as,ma_73637203-b,ma_73637203-bs,340.233,-1,25,24110,301,165
A2VR9O234UCT9T,NA,NA,ma_90405028-a,ma_90405028-as,ma_90405028-b,ma_90405028-bs,348.273,-1,26,7533,341,340
A2VR9O234UCT9T,NA,NA,ma_79191795-a,ma_79191795-as,ma_79191795-b,ma_79191795-bs,355.88,-1,27,6800,379,64
A2VR9O234UCT9T,NA,NA,ma_27857618-a,ma_27857618-as,ma_27857618-b,ma_27857618-bs,363.28,-1,28,6696,272,77
A2VR9O234UCT9T,NA,NA,ma_79241011-a,ma_79241011-as,ma_79241011-b,ma_79241011-bs,370.576,-1,29,6664,527,180
A2VR9O234UCT9T,NA,NA,ma_70687495-a,ma_70687495-as,ma_70687495-b,ma_70687495-bs,384.113,-1,30,13047,394,289
A2VR9O234UCT9T,NA,NA,ma_74173745-a,ma_74173745-as,ma_74173745-b,ma_74173745-bs,391.508,-1,31,6688,364,399
A2VR9O234UCT9T,NA,NA,ma_48486405-a,ma_48486405-as,ma_48486405-b,ma_48486405-bs,398.981,-1,32,7081,374,344
A2VR9O234UCT9T,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,408.607,-1,33,8589,414,255
