workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A36JFN95KS3YKO,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,25.294,-1,1,7027,109,161
A36JFN95KS3YKO,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,25.3,-1,2,9234,109,161
A36JFN95KS3YKO,NA,NA,ma_74173745-a,ma_74173745-as,ma_74173745-b,ma_74173745-bs,43.501,-1,3,17124,367,397
A36JFN95KS3YKO,NA,NA,ma_83536470-a,ma_83536470-as,ma_83536470-b,ma_83536470-bs,54.566,-1,4,9526,201,200
A36JFN95KS3YKO,NA,NA,ma_73637203-a,ma_73637203-as,ma_73637203-b,ma_73637203-bs,62.255,-1,5,6731,190,144
A36JFN95KS3YKO,NA,NA,ma_69128765-a,ma_69128765-as,ma_69128765-b,ma_69128765-bs,70.846,-1,6,6889,408,263
A36JFN95KS3YKO,NA,NA,ma_55174490-a,ma_55174490-as,ma_55174490-b,ma_55174490-bs,78.614,-1,7,7156,84,304
A36JFN95KS3YKO,NA,NA,ma_1383096-a,ma_1383096-as,ma_1383096-b,ma_1383096-bs,86.03,-1,8,6611,144,150
A36JFN95KS3YKO,NA,NA,ma_13141692-a,ma_13141692-as,ma_13141692-b,ma_13141692-bs,93.774,-1,9,6585,408,376
A36JFN95KS3YKO,NA,NA,ma_3099758-a,ma_3099758-as,ma_3099758-b,ma_3099758-bs,101.142,-1,10,6677,328,300
A36JFN95KS3YKO,NA,NA,ma_23199105-a,ma_23199105-as,ma_23199105-b,ma_23199105-bs,109.27,-1,11,6690,301,378
A36JFN95KS3YKO,NA,NA,ma_67862299-a,ma_67862299-as,ma_67862299-b,ma_67862299-bs,116.317,-1,12,6654,119,397
A36JFN95KS3YKO,NA,NA,ma_42429798-a,ma_42429798-as,ma_42429798-b,ma_42429798-bs,124.469,-1,13,6797,441,312
A36JFN95KS3YKO,NA,NA,ma_98265889-a,ma_98265889-as,ma_98265889-b,ma_98265889-bs,133.411,-1,14,6842,187,341
A36JFN95KS3YKO,NA,NA,ma_13873251-a,ma_13873251-as,ma_13873251-b,ma_13873251-bs,145.39,-1,15,4074,490,239
A36JFN95KS3YKO,NA,NA,ma_16527526-a,ma_16527526-as,ma_16527526-b,ma_16527526-bs,145.41,-1,19,6068,490,239
A36JFN95KS3YKO,NA,NA,ma_46475259-a,ma_46475259-as,ma_46475259-b,ma_46475259-bs,145.414,-1,20,6586,490,239
A36JFN95KS3YKO,NA,NA,ma_18345691-a,ma_18345691-as,ma_18345691-b,ma_18345691-bs,145.399,-1,17,5083,490,239
A36JFN95KS3YKO,NA,NA,ma_12115280-a,ma_12115280-as,ma_12115280-b,ma_12115280-bs,145.394,-1,16,4643,490,239
A36JFN95KS3YKO,NA,NA,ma_4247084-a,ma_4247084-as,ma_4247084-b,ma_4247084-bs,145.404,-1,18,5547,490,239
A36JFN95KS3YKO,NA,NA,ma_77793328-a,ma_77793328-as,ma_77793328-b,ma_77793328-bs,145.418,-1,21,7058,490,239
A36JFN95KS3YKO,NA,NA,ma_22020472-a,ma_22020472-as,ma_22020472-b,ma_22020472-bs,145.422,-1,22,7547,490,239
A36JFN95KS3YKO,NA,NA,ma_12178414-a,ma_12178414-as,ma_12178414-b,ma_12178414-bs,145.426,-1,23,8053,490,239
A36JFN95KS3YKO,NA,NA,ma_75081153-a,ma_75081153-as,ma_75081153-b,ma_75081153-bs,145.43,-1,24,8516,490,239
A36JFN95KS3YKO,NA,NA,ma_18169626-a,ma_18169626-as,ma_18169626-b,ma_18169626-bs,152.927,-1,25,6996,490,120
A36JFN95KS3YKO,NA,NA,ma_51537628-a,ma_51537628-as,ma_51537628-b,ma_51537628-bs,160.325,-1,26,6987,163,324
A36JFN95KS3YKO,NA,NA,ma_23024660-a,ma_23024660-as,ma_23024660-b,ma_23024660-bs,168.141,-1,27,7395,385,238
A36JFN95KS3YKO,NA,NA,ma_79222679-a,ma_79222679-as,ma_79222679-b,ma_79222679-bs,175.703,-1,28,6819,509,137
A36JFN95KS3YKO,NA,NA,ma_79241011-a,ma_79241011-as,ma_79241011-b,ma_79241011-bs,182.957,-1,29,6647,581,179
A36JFN95KS3YKO,NA,NA,ma_79573638-a,ma_79573638-as,ma_79573638-b,ma_79573638-bs,191.222,-1,30,6910,299,114
A36JFN95KS3YKO,NA,NA,ma_85741618-a,ma_85741618-as,ma_85741618-b,ma_85741618-bs,198.661,-1,31,6829,214,152
A36JFN95KS3YKO,NA,NA,ma_25107991-a,ma_25107991-as,ma_25107991-b,ma_25107991-bs,206.205,-1,32,6773,338,187
A36JFN95KS3YKO,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,213.437,-1,33,6765,392,202
