workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AK4WZEW584BR9,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,12.641,-1,1,4006,368,271
AK4WZEW584BR9,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,12.643,-1,2,4159,368,271
AK4WZEW584BR9,NA,NA,ma_79222679-a,ma_79222679-as,ma_79222679-b,ma_79222679-bs,12.645,-1,3,4310,368,271
AK4WZEW584BR9,NA,NA,ma_38466626-a,ma_38466626-as,ma_38466626-b,ma_38466626-bs,12.647,-1,4,4450,368,271
AK4WZEW584BR9,NA,NA,ma_44993860-a,ma_44993860-as,ma_44993860-b,ma_44993860-bs,12.649,-1,5,4592,368,271
AK4WZEW584BR9,NA,NA,ma_42429798-a,ma_42429798-as,ma_42429798-b,ma_42429798-bs,12.65,-1,6,4738,368,271
AK4WZEW584BR9,NA,NA,ma_51856108-a,ma_51856108-as,ma_51856108-b,ma_51856108-bs,12.657,-1,10,5407,368,271
AK4WZEW584BR9,NA,NA,ma_23024660-a,ma_23024660-as,ma_23024660-b,ma_23024660-bs,12.655,-1,9,5220,368,271
AK4WZEW584BR9,NA,NA,ma_10504629-a,ma_10504629-as,ma_10504629-b,ma_10504629-bs,12.654,-1,8,5045,368,271
AK4WZEW584BR9,NA,NA,ma_56835136-a,ma_56835136-as,ma_56835136-b,ma_56835136-bs,12.652,-1,7,4891,368,271
AK4WZEW584BR9,NA,NA,ma_74173745-a,ma_74173745-as,ma_74173745-b,ma_74173745-bs,18.946,-1,11,4114,351,271
AK4WZEW584BR9,NA,NA,ma_95091295-a,ma_95091295-as,ma_95091295-b,ma_95091295-bs,18.957,-1,13,4405,351,271
AK4WZEW584BR9,NA,NA,ma_1383096-a,ma_1383096-as,ma_1383096-b,ma_1383096-bs,18.952,-1,12,4251,351,271
AK4WZEW584BR9,NA,NA,ma_16527526-a,ma_16527526-as,ma_16527526-b,ma_16527526-bs,18.966,-1,16,4816,351,271
AK4WZEW584BR9,NA,NA,ma_31236119-a,ma_31236119-as,ma_31236119-b,ma_31236119-bs,18.963,-1,15,4674,351,271
AK4WZEW584BR9,NA,NA,ma_48486405-a,ma_48486405-as,ma_48486405-b,ma_48486405-bs,18.961,-1,14,4539,351,271
AK4WZEW584BR9,NA,NA,ma_13873251-a,ma_13873251-as,ma_13873251-b,ma_13873251-bs,18.968,-1,17,4947,351,271
AK4WZEW584BR9,NA,NA,ma_23199105-a,ma_23199105-as,ma_23199105-b,ma_23199105-bs,18.97,-1,18,5079,351,271
AK4WZEW584BR9,NA,NA,ma_89354846-a,ma_89354846-as,ma_89354846-b,ma_89354846-bs,18.972,-1,19,5349,351,271
AK4WZEW584BR9,NA,NA,ma_97475929-a,ma_97475929-as,ma_97475929-b,ma_97475929-bs,18.974,-1,20,5496,351,271
AK4WZEW584BR9,NA,NA,ma_79573638-a,ma_79573638-as,ma_79573638-b,ma_79573638-bs,18.977,-1,21,5626,351,271
AK4WZEW584BR9,NA,NA,ma_4247084-a,ma_4247084-as,ma_4247084-b,ma_4247084-bs,24.734,-1,22,4048,293,301
AK4WZEW584BR9,NA,NA,ma_62096551-a,ma_62096551-as,ma_62096551-b,ma_62096551-bs,24.735,-1,23,4197,293,301
AK4WZEW584BR9,NA,NA,ma_70687495-a,ma_70687495-as,ma_70687495-b,ma_70687495-bs,24.737,-1,24,4343,293,301
AK4WZEW584BR9,NA,NA,ma_25107991-a,ma_25107991-as,ma_25107991-b,ma_25107991-bs,24.739,-1,25,4484,293,301
AK4WZEW584BR9,NA,NA,ma_46635293-a,ma_46635293-as,ma_46635293-b,ma_46635293-bs,31.662,-1,26,4203,413,315
AK4WZEW584BR9,NA,NA,ma_62224663-a,ma_62224663-as,ma_62224663-b,ma_62224663-bs,31.668,-1,28,4582,413,315
AK4WZEW584BR9,NA,NA,ma_86520382-a,ma_86520382-as,ma_86520382-b,ma_86520382-bs,31.666,-1,27,4401,413,315
AK4WZEW584BR9,NA,NA,ma_77574131-a,ma_77574131-as,ma_77574131-b,ma_77574131-bs,31.669,-1,29,4730,413,315
AK4WZEW584BR9,NA,NA,ma_55174490-a,ma_55174490-as,ma_55174490-b,ma_55174490-bs,31.671,-1,30,4876,413,315
AK4WZEW584BR9,NA,NA,ma_83691215-a,ma_83691215-as,ma_83691215-b,ma_83691215-bs,31.672,-1,31,5029,413,315
AK4WZEW584BR9,NA,NA,ma_3099758-a,ma_3099758-as,ma_3099758-b,ma_3099758-bs,31.674,-1,32,5172,413,315
AK4WZEW584BR9,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,31.675,-1,33,5310,413,315
