workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1ESQQT4HBLB52,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,31.364,-1,1,9199,298,232
A1ESQQT4HBLB52,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,41.582,-1,2,9102,381,251
A1ESQQT4HBLB52,NA,NA,rensink_Barrels-a,rensink_Barrels-as,rensink_Barrels-b,rensink_Barrels-bs,60.516,-1,3,17568,228,225
A1ESQQT4HBLB52,NA,NA,rensink_Horizon-a,rensink_Horizon-as,rensink_Horizon-b,rensink_Horizon-bs,74.737,-1,4,12721,326,68
A1ESQQT4HBLB52,NA,NA,rensink_Water-a,rensink_Water-as,rensink_Water-b,rensink_Water-bs,83.359,-1,5,7386,436,407
A1ESQQT4HBLB52,NA,NA,rensink_Obelisk-a,rensink_Obelisk-as,rensink_Obelisk-b,rensink_Obelisk-bs,98.852,-1,6,14679,597,253
A1ESQQT4HBLB52,NA,NA,rensink_Fountain-a,rensink_Fountain-as,rensink_Fountain-b,rensink_Fountain-bs,107.201,-1,7,7367,441,126
A1ESQQT4HBLB52,NA,NA,rensink_Mosque-a,rensink_Mosque-as,rensink_Mosque-b,rensink_Mosque-bs,115.481,-1,8,7289,373,156
A1ESQQT4HBLB52,NA,NA,rensink_Egypt-a,rensink_Egypt-as,rensink_Egypt-b,rensink_Egypt-bs,123.136,-1,9,6620,394,286
A1ESQQT4HBLB52,NA,NA,rensink_Diver-a,rensink_Diver-as,rensink_Diver-b,rensink_Diver-bs,134.349,-1,10,9815,131,377
A1ESQQT4HBLB52,NA,NA,rensink_Dinner-a,rensink_Dinner-as,rensink_Dinner-b,rensink_Dinner-bs,134.352,-1,11,10252,131,377
A1ESQQT4HBLB52,NA,NA,rensink_Bus-a,rensink_Bus-as,rensink_Bus-b,rensink_Bus-bs,142.593,-1,12,7280,384,104
A1ESQQT4HBLB52,NA,NA,rensink_Window-a,rensink_Window-as,rensink_Window-b,rensink_Window-bs,153.951,-1,13,10525,76,388
A1ESQQT4HBLB52,NA,NA,rensink_Turtle-a,rensink_Turtle-as,rensink_Turtle-b,rensink_Turtle-bs,161.929,-1,14,6965,240,60
A1ESQQT4HBLB52,NA,NA,rensink_FarmByPond-a,rensink_FarmByPond-as,rensink_FarmByPond-b,rensink_FarmByPond-bs,170.136,-1,15,7120,222,419
A1ESQQT4HBLB52,NA,NA,rensink_OtherDiver-a,rensink_OtherDiver-as,rensink_OtherDiver-b,rensink_OtherDiver-bs,180.318,-1,16,9337,583,267
A1ESQQT4HBLB52,NA,NA,rensink_Birds-a,rensink_Birds-as,rensink_Birds-b,rensink_Birds-bs,190.683,-1,17,9307,300,23
A1ESQQT4HBLB52,NA,NA,rensink_Chopper-a,rensink_Chopper-as,rensink_Chopper-b,rensink_Chopper-bs,204.463,-1,18,12539,163,444
A1ESQQT4HBLB52,NA,NA,rensink_Castle-a,rensink_Castle-as,rensink_Castle-b,rensink_Castle-bs,214.887,-1,19,9432,403,411
A1ESQQT4HBLB52,NA,NA,rensink_Floatplane-a,rensink_Floatplane-as,rensink_Floatplane-b,rensink_Floatplane-bs,224.902,-1,20,8859,265,309
A1ESQQT4HBLB52,NA,NA,rensink_SummerLake-a,rensink_SummerLake-as,rensink_SummerLake-b,rensink_SummerLake-bs,234.622,-1,21,8656,489,311
A1ESQQT4HBLB52,NA,NA,rensink_Cockpit-a,rensink_Cockpit-as,rensink_Cockpit-b,rensink_Cockpit-bs,242.628,-1,22,6410,395,122
A1ESQQT4HBLB52,NA,NA,rensink_Kids-a,rensink_Kids-as,rensink_Kids-b,rensink_Kids-bs,253.551,-1,23,9095,83,372
A1ESQQT4HBLB52,NA,NA,rensink_Description-a,rensink_Description-as,rensink_Description-b,rensink_Description-bs,269.668,-1,24,14765,625,119
A1ESQQT4HBLB52,NA,NA,rensink_CanalBridge-a,rensink_CanalBridge-as,rensink_CanalBridge-b,rensink_CanalBridge-bs,277.504,-1,25,6638,527,378
A1ESQQT4HBLB52,NA,NA,rensink_Boat-a,rensink_Boat-as,rensink_Boat-b,rensink_Boat-bs,285.244,-1,26,6904,293,266
A1ESQQT4HBLB52,NA,NA,rensink_Amish-a,rensink_Amish-as,rensink_Amish-b,rensink_Amish-bs,293.889,-1,27,7670,249,213
A1ESQQT4HBLB52,NA,NA,rensink_Cactus-a,rensink_Cactus-as,rensink_Cactus-b,rensink_Cactus-bs,301.98,-1,28,7136,85,212
A1ESQQT4HBLB52,NA,NA,rensink_Lake-a,rensink_Lake-as,rensink_Lake-b,rensink_Lake-bs,311.121,-1,29,8180,459,310
A1ESQQT4HBLB52,NA,NA,rensink_Kayak-a,rensink_Kayak-as,rensink_Kayak-b,rensink_Kayak-bs,319.088,-1,30,7160,271,290
A1ESQQT4HBLB52,NA,NA,rensink_Army-a,rensink_Army-as,rensink_Army-b,rensink_Army-bs,327.805,-1,31,7832,627,204
A1ESQQT4HBLB52,NA,NA,rensink_Fishing-a,rensink_Fishing-as,rensink_Fishing-b,rensink_Fishing-bs,336.105,-1,32,7480,211,332
A1ESQQT4HBLB52,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,344.372,-1,33,7399,359,220
