workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1G187YBG0DVMQ,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,23.25,-1,1,9810,318,234
A1G187YBG0DVMQ,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,34.622,-1,2,9926,447,257
A1G187YBG0DVMQ,NA,NA,rensink_Chopper-a,rensink_Chopper-as,rensink_Chopper-b,rensink_Chopper-bs,52.218,-1,3,15781,323,466
A1G187YBG0DVMQ,NA,NA,rensink_Harbor-a,rensink_Harbor-as,rensink_Harbor-b,rensink_Harbor-bs,60.706,-1,4,7671,409,321
A1G187YBG0DVMQ,NA,NA,rensink_Fountain-a,rensink_Fountain-as,rensink_Fountain-b,rensink_Fountain-bs,67.319,-1,5,5759,452,119
A1G187YBG0DVMQ,NA,NA,rensink_Amish-a,rensink_Amish-as,rensink_Amish-b,rensink_Amish-bs,74.185,-1,6,5281,264,217
A1G187YBG0DVMQ,NA,NA,rensink_Marling-a,rensink_Marling-as,rensink_Marling-b,rensink_Marling-bs,81.076,-1,7,5684,250,456
A1G187YBG0DVMQ,NA,NA,rensink_Camel-a,rensink_Camel-as,rensink_Camel-b,rensink_Camel-bs,87.979,-1,8,5365,670,224
A1G187YBG0DVMQ,NA,NA,rensink_BarnTrack-a,rensink_BarnTrack-as,rensink_BarnTrack-b,rensink_BarnTrack-bs,94.253,-1,9,5020,279,484
A1G187YBG0DVMQ,NA,NA,rensink_Turtle-a,rensink_Turtle-as,rensink_Turtle-b,rensink_Turtle-bs,102.852,-1,10,6476,223,26
A1G187YBG0DVMQ,NA,NA,rensink_Barns-a,rensink_Barns-as,rensink_Barns-b,rensink_Barns-bs,110.637,-1,11,6537,161,372
A1G187YBG0DVMQ,NA,NA,rensink_OtherDiver-a,rensink_OtherDiver-as,rensink_OtherDiver-b,rensink_OtherDiver-bs,146.414,-1,12,34982,394,261
A1G187YBG0DVMQ,NA,NA,rensink_Market-a,rensink_Market-as,rensink_Market-b,rensink_Market-bs,154.154,-1,13,6580,61,338
A1G187YBG0DVMQ,NA,NA,rensink_Cockpit-a,rensink_Cockpit-as,rensink_Cockpit-b,rensink_Cockpit-bs,163.54,-1,14,8629,371,172
A1G187YBG0DVMQ,NA,NA,rensink_Seal-a,rensink_Seal-as,rensink_Seal-b,rensink_Seal-bs,169.391,-1,15,4853,369,238
A1G187YBG0DVMQ,NA,NA,rensink_Beach-a,rensink_Beach-as,rensink_Beach-b,rensink_Beach-bs,177.604,-1,16,6582,454,372
A1G187YBG0DVMQ,NA,NA,rensink_Eating-a,rensink_Eating-as,rensink_Eating-b,rensink_Eating-bs,184.055,-1,17,5244,314,194
A1G187YBG0DVMQ,NA,NA,rensink_Mosque-a,rensink_Mosque-as,rensink_Mosque-b,rensink_Mosque-bs,192.177,-1,18,6744,355,186
A1G187YBG0DVMQ,NA,NA,rensink_Ice-a,rensink_Ice-as,rensink_Ice-b,rensink_Ice-bs,200.087,-1,19,6526,79,248
A1G187YBG0DVMQ,NA,NA,rensink_Soldiers-a,rensink_Soldiers-as,rensink_Soldiers-b,rensink_Soldiers-bs,208.167,-1,20,6485,150,194
A1G187YBG0DVMQ,NA,NA,rensink_Egypt-a,rensink_Egypt-as,rensink_Egypt-b,rensink_Egypt-bs,214.079,-1,21,4717,325,180
A1G187YBG0DVMQ,NA,NA,rensink_Horizon-a,rensink_Horizon-as,rensink_Horizon-b,rensink_Horizon-bs,220.138,-1,22,4733,318,50
A1G187YBG0DVMQ,NA,NA,rensink_Castle-a,rensink_Castle-as,rensink_Castle-b,rensink_Castle-bs,226.4,-1,23,4705,399,398
A1G187YBG0DVMQ,NA,NA,rensink_NotreDame-a,rensink_NotreDame-as,rensink_NotreDame-b,rensink_NotreDame-bs,232.547,-1,24,4742,288,205
A1G187YBG0DVMQ,NA,NA,rensink_Window-a,rensink_Window-as,rensink_Window-b,rensink_Window-bs,240.568,-1,25,6642,108,438
A1G187YBG0DVMQ,NA,NA,rensink_Station-a,rensink_Station-as,rensink_Station-b,rensink_Station-bs,246.625,-1,26,4712,579,230
A1G187YBG0DVMQ,NA,NA,rensink_Army-a,rensink_Army-as,rensink_Army-b,rensink_Army-bs,254.477,-1,27,6510,611,204
A1G187YBG0DVMQ,NA,NA,rensink_Wine-a,rensink_Wine-as,rensink_Wine-b,rensink_Wine-bs,260.585,-1,28,4683,494,295
A1G187YBG0DVMQ,NA,NA,rensink_Pilots-a,rensink_Pilots-as,rensink_Pilots-b,rensink_Pilots-bs,268.325,-1,29,5981,614,225
A1G187YBG0DVMQ,NA,NA,rensink_Nurses-a,rensink_Nurses-as,rensink_Nurses-b,rensink_Nurses-bs,275.039,-1,30,5404,556,68
A1G187YBG0DVMQ,NA,NA,rensink_Farmer-a,rensink_Farmer-as,rensink_Farmer-b,rensink_Farmer-bs,281.111,-1,31,4733,271,189
A1G187YBG0DVMQ,NA,NA,rensink_Kayaker-a,rensink_Kayaker-as,rensink_Kayaker-b,rensink_Kayaker-bs,286.979,-1,32,4701,418,157
A1G187YBG0DVMQ,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,292.637,-1,33,4763,420,146
