workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A125AOX978LDG7,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,64.605,-1,1,7551,339,207
A125AOX978LDG7,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,73.148,-1,2,7098,439,269
A125AOX978LDG7,NA,NA,wolfe_image-039-a,wolfe_image-039-as,wolfe_image-039-b,wolfe_image-039-bs,82.626,-1,3,7949,556,191
A125AOX978LDG7,NA,NA,wolfe_image-131-a,wolfe_image-131-as,wolfe_image-131-b,wolfe_image-131-bs,91.551,-1,4,6684,365,171
A125AOX978LDG7,NA,NA,wolfe_image-097-a,wolfe_image-097-as,wolfe_image-097-b,wolfe_image-097-bs,111.167,-1,5,5584,469,200
A125AOX978LDG7,NA,NA,wolfe_image-080-a,wolfe_image-080-as,wolfe_image-080-b,wolfe_image-080-bs,119.797,-1,6,6904,23,194
A125AOX978LDG7,NA,NA,wolfe_image-129-a,wolfe_image-129-as,wolfe_image-129-b,wolfe_image-129-bs,137.675,-1,7,16545,629,315
A125AOX978LDG7,NA,NA,wolfe_image-084-a,wolfe_image-084-as,wolfe_image-084-b,wolfe_image-084-bs,146.747,-1,8,7150,220,291
A125AOX978LDG7,NA,NA,wolfe_image-029-a,wolfe_image-029-as,wolfe_image-029-b,wolfe_image-029-bs,156.263,-1,9,7464,301,123
A125AOX978LDG7,NA,NA,wolfe_image-101-a,wolfe_image-101-as,wolfe_image-101-b,wolfe_image-101-bs,164.868,-1,10,7025,596,345
A125AOX978LDG7,NA,NA,wolfe_image-027-a,wolfe_image-027-as,wolfe_image-027-b,wolfe_image-027-bs,173.825,-1,11,7067,323,374
A125AOX978LDG7,NA,NA,wolfe_image-017-a,wolfe_image-017-as,wolfe_image-017-b,wolfe_image-017-bs,182.29,-1,12,6888,135,351
A125AOX978LDG7,NA,NA,wolfe_image-026-a,wolfe_image-026-as,wolfe_image-026-b,wolfe_image-026-bs,190.546,-1,13,6891,167,295
A125AOX978LDG7,NA,NA,wolfe_image-025-a,wolfe_image-025-as,wolfe_image-025-b,wolfe_image-025-bs,199.388,-1,14,7210,425,175
A125AOX978LDG7,NA,NA,wolfe_image-010-a,wolfe_image-010-as,wolfe_image-010-b,wolfe_image-010-bs,207.854,-1,15,7070,50,120
A125AOX978LDG7,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,216.85,-1,16,6810,292,220
A125AOX978LDG7,NA,NA,wolfe_image-091-a,wolfe_image-091-as,wolfe_image-091-b,wolfe_image-091-bs,225.377,-1,17,6914,461,375
A125AOX978LDG7,NA,NA,wolfe_image-019-a,wolfe_image-019-as,wolfe_image-019-b,wolfe_image-019-bs,234.06,-1,18,6864,53,182
A125AOX978LDG7,NA,NA,wolfe_image-130-a,wolfe_image-130-as,wolfe_image-130-b,wolfe_image-130-bs,246.378,-1,19,10433,384,327
A125AOX978LDG7,NA,NA,wolfe_image-012-a,wolfe_image-012-as,wolfe_image-012-b,wolfe_image-012-bs,254.923,-1,20,6916,534,405
A125AOX978LDG7,NA,NA,wolfe_image-045-a,wolfe_image-045-as,wolfe_image-045-b,wolfe_image-045-bs,263.679,-1,21,6872,321,410
A125AOX978LDG7,NA,NA,wolfe_image-132-a,wolfe_image-132-as,wolfe_image-132-b,wolfe_image-132-bs,272.395,-1,22,6803,638,286
A125AOX978LDG7,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,281.112,-1,23,6894,376,322
A125AOX978LDG7,NA,NA,wolfe_image-135-a,wolfe_image-135-as,wolfe_image-135-b,wolfe_image-135-bs,289.838,-1,24,6937,420,175
A125AOX978LDG7,NA,NA,wolfe_image-023-a,wolfe_image-023-as,wolfe_image-023-b,wolfe_image-023-bs,298.093,-1,25,6817,82,388
A125AOX978LDG7,NA,NA,wolfe_image-004-a,wolfe_image-004-as,wolfe_image-004-b,wolfe_image-004-bs,306.695,-1,26,6736,171,437
A125AOX978LDG7,NA,NA,wolfe_image-049-a,wolfe_image-049-as,wolfe_image-049-b,wolfe_image-049-bs,315.423,-1,27,6891,86,41
A125AOX978LDG7,NA,NA,wolfe_image-040-a,wolfe_image-040-as,wolfe_image-040-b,wolfe_image-040-bs,323.908,-1,28,6792,114,115
A125AOX978LDG7,NA,NA,wolfe_image-133-a,wolfe_image-133-as,wolfe_image-133-b,wolfe_image-133-bs,333.099,-1,29,6896,477,152
A125AOX978LDG7,NA,NA,wolfe_image-083-a,wolfe_image-083-as,wolfe_image-083-b,wolfe_image-083-bs,341.684,-1,30,6792,227,252
A125AOX978LDG7,NA,NA,wolfe_image-034-a,wolfe_image-034-as,wolfe_image-034-b,wolfe_image-034-bs,350.586,-1,31,6858,446,354
A125AOX978LDG7,NA,NA,wolfe_image-087-a,wolfe_image-087-as,wolfe_image-087-b,wolfe_image-087-bs,359.518,-1,32,6863,208,275
A125AOX978LDG7,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,368.092,-1,33,6976,364,232
