workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1CUDX7TTS2W61,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,30.197,-1,1,7661,296,254
A1CUDX7TTS2W61,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,38.209,-1,2,7315,394,260
A1CUDX7TTS2W61,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,46.789,-1,3,7159,553,132
A1CUDX7TTS2W61,NA,NA,wolfe_image-114-a,wolfe_image-114-as,wolfe_image-114-b,wolfe_image-114-bs,55.241,-1,4,8044,633,160
A1CUDX7TTS2W61,NA,NA,wolfe_image-045-a,wolfe_image-045-as,wolfe_image-045-b,wolfe_image-045-bs,69.562,-1,5,13897,312,405
A1CUDX7TTS2W61,NA,NA,wolfe_image-119-a,wolfe_image-119-as,wolfe_image-119-b,wolfe_image-119-bs,90.084,-1,6,19839,61,358
A1CUDX7TTS2W61,NA,NA,wolfe_image-126-a,wolfe_image-126-as,wolfe_image-126-b,wolfe_image-126-bs,104.343,-1,7,13108,627,300
A1CUDX7TTS2W61,NA,NA,wolfe_image-001-a,wolfe_image-001-as,wolfe_image-001-b,wolfe_image-001-bs,116.441,-1,8,11219,143,353
A1CUDX7TTS2W61,NA,NA,wolfe_image-038-a,wolfe_image-038-as,wolfe_image-038-b,wolfe_image-038-bs,126.295,-1,9,9256,567,319
A1CUDX7TTS2W61,NA,NA,wolfe_image-019-a,wolfe_image-019-as,wolfe_image-019-b,wolfe_image-019-bs,133.648,-1,10,6813,55,190
A1CUDX7TTS2W61,NA,NA,wolfe_image-128-a,wolfe_image-128-as,wolfe_image-128-b,wolfe_image-128-bs,141.184,-1,11,6916,459,454
A1CUDX7TTS2W61,NA,NA,wolfe_image-110-a,wolfe_image-110-as,wolfe_image-110-b,wolfe_image-110-bs,161.164,-1,12,19288,609,232
A1CUDX7TTS2W61,NA,NA,wolfe_image-082-a,wolfe_image-082-as,wolfe_image-082-b,wolfe_image-082-bs,170.732,-1,13,9253,309,278
A1CUDX7TTS2W61,NA,NA,wolfe_image-034-a,wolfe_image-034-as,wolfe_image-034-b,wolfe_image-034-bs,180.138,-1,14,8809,461,355
A1CUDX7TTS2W61,NA,NA,wolfe_image-047-a,wolfe_image-047-as,wolfe_image-047-b,wolfe_image-047-bs,187.621,-1,15,6817,174,329
A1CUDX7TTS2W61,NA,NA,wolfe_image-084-a,wolfe_image-084-as,wolfe_image-084-b,wolfe_image-084-bs,194.999,-1,16,6892,211,292
A1CUDX7TTS2W61,NA,NA,wolfe_image-122-a,wolfe_image-122-as,wolfe_image-122-b,wolfe_image-122-bs,234.15,-1,17,38545,113,371
A1CUDX7TTS2W61,NA,NA,wolfe_image-046-a,wolfe_image-046-as,wolfe_image-046-b,wolfe_image-046-bs,257.784,-1,18,23179,72,488
A1CUDX7TTS2W61,NA,NA,wolfe_image-029-a,wolfe_image-029-as,wolfe_image-029-b,wolfe_image-029-bs,280.035,-1,19,21698,297,127
A1CUDX7TTS2W61,NA,NA,wolfe_image-020-a,wolfe_image-020-as,wolfe_image-020-b,wolfe_image-020-bs,291.406,-1,20,10693,314,335
A1CUDX7TTS2W61,NA,NA,wolfe_image-129-a,wolfe_image-129-as,wolfe_image-129-b,wolfe_image-129-bs,345.437,-1,21,53347,544,125
A1CUDX7TTS2W61,NA,NA,wolfe_image-043-a,wolfe_image-043-as,wolfe_image-043-b,wolfe_image-043-bs,354.933,-1,22,9068,853,477
A1CUDX7TTS2W61,NA,NA,wolfe_image-103-a,wolfe_image-103-as,wolfe_image-103-b,wolfe_image-103-bs,364.52,-1,23,9116,148,332
A1CUDX7TTS2W61,NA,NA,wolfe_image-026-a,wolfe_image-026-as,wolfe_image-026-b,wolfe_image-026-bs,376.222,-1,24,10969,156,296
A1CUDX7TTS2W61,NA,NA,wolfe_image-030-a,wolfe_image-030-as,wolfe_image-030-b,wolfe_image-030-bs,385.529,-1,25,8798,441,265
A1CUDX7TTS2W61,NA,NA,wolfe_image-120-a,wolfe_image-120-as,wolfe_image-120-b,wolfe_image-120-bs,392.663,-1,26,6784,538,347
A1CUDX7TTS2W61,NA,NA,wolfe_image-115-a,wolfe_image-115-as,wolfe_image-115-b,wolfe_image-115-bs,402.112,-1,27,8914,142,333
A1CUDX7TTS2W61,NA,NA,wolfe_image-016-a,wolfe_image-016-as,wolfe_image-016-b,wolfe_image-016-bs,413.124,-1,28,10666,409,320
A1CUDX7TTS2W61,NA,NA,wolfe_image-076-a,wolfe_image-076-as,wolfe_image-076-b,wolfe_image-076-bs,424.862,-1,29,11158,216,100
A1CUDX7TTS2W61,NA,NA,wolfe_image-017-a,wolfe_image-017-as,wolfe_image-017-b,wolfe_image-017-bs,432.451,-1,30,6892,134,323
A1CUDX7TTS2W61,NA,NA,wolfe_image-039-a,wolfe_image-039-as,wolfe_image-039-b,wolfe_image-039-bs,440.42,-1,31,6735,565,200
A1CUDX7TTS2W61,NA,NA,wolfe_image-049-a,wolfe_image-049-as,wolfe_image-049-b,wolfe_image-049-bs,449.967,-1,32,9110,124,67
A1CUDX7TTS2W61,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,457.405,-1,33,6791,413,258
