workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1K61OKMPRZUML,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,21.395,-1,1,5351,291,255
A1K61OKMPRZUML,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,30.801,-1,2,7704,397,263
A1K61OKMPRZUML,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,40.726,-1,3,8047,380,317
A1K61OKMPRZUML,NA,NA,wolfe_image-114-a,wolfe_image-114-as,wolfe_image-114-b,wolfe_image-114-bs,49.557,-1,4,7278,627,162
A1K61OKMPRZUML,NA,NA,wolfe_image-127-a,wolfe_image-127-as,wolfe_image-127-b,wolfe_image-127-bs,58.375,-1,5,7262,575,253
A1K61OKMPRZUML,NA,NA,wolfe_image-100-a,wolfe_image-100-as,wolfe_image-100-b,wolfe_image-100-bs,66.404,-1,6,6698,615,330
A1K61OKMPRZUML,NA,NA,wolfe_image-005-a,wolfe_image-005-as,wolfe_image-005-b,wolfe_image-005-bs,75.466,-1,7,6913,362,261
A1K61OKMPRZUML,NA,NA,wolfe_image-023-a,wolfe_image-023-as,wolfe_image-023-b,wolfe_image-023-bs,83.508,-1,8,6717,91,386
A1K61OKMPRZUML,NA,NA,wolfe_image-115-a,wolfe_image-115-as,wolfe_image-115-b,wolfe_image-115-bs,92.533,-1,9,6651,123,326
A1K61OKMPRZUML,NA,NA,wolfe_image-046-a,wolfe_image-046-as,wolfe_image-046-b,wolfe_image-046-bs,101.906,-1,10,6820,77,471
A1K61OKMPRZUML,NA,NA,wolfe_image-132-a,wolfe_image-132-as,wolfe_image-132-b,wolfe_image-132-bs,110.592,-1,11,6707,629,288
A1K61OKMPRZUML,NA,NA,wolfe_image-106-a,wolfe_image-106-as,wolfe_image-106-b,wolfe_image-106-bs,118.808,-1,12,6651,453,141
A1K61OKMPRZUML,NA,NA,wolfe_image-045-a,wolfe_image-045-as,wolfe_image-045-b,wolfe_image-045-bs,127.259,-1,13,6706,322,400
A1K61OKMPRZUML,NA,NA,wolfe_image-098-a,wolfe_image-098-as,wolfe_image-098-b,wolfe_image-098-bs,135.71,-1,14,6678,266,418
A1K61OKMPRZUML,NA,NA,wolfe_image-008-a,wolfe_image-008-as,wolfe_image-008-b,wolfe_image-008-bs,144.29,-1,15,6786,540,112
A1K61OKMPRZUML,NA,NA,wolfe_image-109-a,wolfe_image-109-as,wolfe_image-109-b,wolfe_image-109-bs,152.971,-1,16,6709,168,261
A1K61OKMPRZUML,NA,NA,wolfe_image-126-a,wolfe_image-126-as,wolfe_image-126-b,wolfe_image-126-bs,162.348,-1,17,6966,627,301
A1K61OKMPRZUML,NA,NA,wolfe_image-015-a,wolfe_image-015-as,wolfe_image-015-b,wolfe_image-015-bs,171.08,-1,18,6663,149,260
A1K61OKMPRZUML,NA,NA,wolfe_image-118-a,wolfe_image-118-as,wolfe_image-118-b,wolfe_image-118-bs,189.074,-1,19,16087,617,307
A1K61OKMPRZUML,NA,NA,wolfe_image-042-a,wolfe_image-042-as,wolfe_image-042-b,wolfe_image-042-bs,197.909,-1,20,6718,219,89
A1K61OKMPRZUML,NA,NA,wolfe_image-093-a,wolfe_image-093-as,wolfe_image-093-b,wolfe_image-093-bs,208.4,-1,21,6653,231,218
A1K61OKMPRZUML,NA,NA,wolfe_image-007-a,wolfe_image-007-as,wolfe_image-007-b,wolfe_image-007-bs,217.61,-1,22,6792,233,208
A1K61OKMPRZUML,NA,NA,wolfe_image-084-a,wolfe_image-084-as,wolfe_image-084-b,wolfe_image-084-bs,226.996,-1,23,6701,211,294
A1K61OKMPRZUML,NA,NA,wolfe_image-044-a,wolfe_image-044-as,wolfe_image-044-b,wolfe_image-044-bs,235.616,-1,24,6721,90,337
A1K61OKMPRZUML,NA,NA,wolfe_image-105-a,wolfe_image-105-as,wolfe_image-105-b,wolfe_image-105-bs,243.859,-1,25,6624,471,212
A1K61OKMPRZUML,NA,NA,wolfe_image-101-a,wolfe_image-101-as,wolfe_image-101-b,wolfe_image-101-bs,252.363,-1,26,6602,592,338
A1K61OKMPRZUML,NA,NA,wolfe_image-097-a,wolfe_image-097-as,wolfe_image-097-b,wolfe_image-097-bs,262.779,-1,27,7321,114,368
A1K61OKMPRZUML,NA,NA,wolfe_image-095-a,wolfe_image-095-as,wolfe_image-095-b,wolfe_image-095-bs,270.991,-1,28,6553,216,299
A1K61OKMPRZUML,NA,NA,wolfe_image-081-a,wolfe_image-081-as,wolfe_image-081-b,wolfe_image-081-bs,284.915,-1,29,12626,470,374
A1K61OKMPRZUML,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,293.459,-1,30,6826,362,243
A1K61OKMPRZUML,NA,NA,wolfe_image-096-a,wolfe_image-096-as,wolfe_image-096-b,wolfe_image-096-bs,304.014,-1,31,8795,305,365
A1K61OKMPRZUML,NA,NA,wolfe_image-103-a,wolfe_image-103-as,wolfe_image-103-b,wolfe_image-103-bs,314.936,-1,32,8760,144,331
A1K61OKMPRZUML,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,323.266,-1,33,6906,388,257
