workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1RKGN3VY39TM1,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,31.234,-1,1,7154,311,206
A1RKGN3VY39TM1,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,41.116,-1,2,8595,382,248
A1RKGN3VY39TM1,NA,NA,wolfe_image-130-a,wolfe_image-130-as,wolfe_image-130-b,wolfe_image-130-bs,49.469,-1,3,6996,433,326
A1RKGN3VY39TM1,NA,NA,wolfe_image-010-a,wolfe_image-010-as,wolfe_image-010-b,wolfe_image-010-bs,58.295,-1,4,7727,526,262
A1RKGN3VY39TM1,NA,NA,wolfe_image-108-a,wolfe_image-108-as,wolfe_image-108-b,wolfe_image-108-bs,67.078,-1,5,7311,579,197
A1RKGN3VY39TM1,NA,NA,wolfe_image-012-a,wolfe_image-012-as,wolfe_image-012-b,wolfe_image-012-bs,75.433,-1,6,7038,526,418
A1RKGN3VY39TM1,NA,NA,wolfe_image-125-a,wolfe_image-125-as,wolfe_image-125-b,wolfe_image-125-bs,84.288,-1,7,7498,541,296
A1RKGN3VY39TM1,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,92.88,-1,8,7026,378,311
A1RKGN3VY39TM1,NA,NA,wolfe_image-090-a,wolfe_image-090-as,wolfe_image-090-b,wolfe_image-090-bs,101.663,-1,9,7391,222,399
A1RKGN3VY39TM1,NA,NA,wolfe_image-013-a,wolfe_image-013-as,wolfe_image-013-b,wolfe_image-013-bs,110.069,-1,10,7191,123,211
A1RKGN3VY39TM1,NA,NA,wolfe_image-030-a,wolfe_image-030-as,wolfe_image-030-b,wolfe_image-030-bs,119.336,-1,11,4667,178,229
A1RKGN3VY39TM1,NA,NA,wolfe_image-083-a,wolfe_image-083-as,wolfe_image-083-b,wolfe_image-083-bs,130.387,-1,12,7766,521,336
A1RKGN3VY39TM1,NA,NA,wolfe_image-020-a,wolfe_image-020-as,wolfe_image-020-b,wolfe_image-020-bs,138.83,-1,13,6815,309,332
A1RKGN3VY39TM1,NA,NA,wolfe_image-098-a,wolfe_image-098-as,wolfe_image-098-b,wolfe_image-098-bs,148.274,-1,14,7684,433,211
A1RKGN3VY39TM1,NA,NA,wolfe_image-025-a,wolfe_image-025-as,wolfe_image-025-b,wolfe_image-025-bs,156.325,-1,15,6798,455,306
A1RKGN3VY39TM1,NA,NA,wolfe_image-019-a,wolfe_image-019-as,wolfe_image-019-b,wolfe_image-019-bs,164.402,-1,16,6706,103,154
A1RKGN3VY39TM1,NA,NA,wolfe_image-045-a,wolfe_image-045-as,wolfe_image-045-b,wolfe_image-045-bs,173.794,-1,17,7600,429,158
A1RKGN3VY39TM1,NA,NA,wolfe_image-035-a,wolfe_image-035-as,wolfe_image-035-b,wolfe_image-035-bs,181.952,-1,18,6654,77,209
A1RKGN3VY39TM1,NA,NA,wolfe_image-037-a,wolfe_image-037-as,wolfe_image-037-b,wolfe_image-037-bs,191.027,-1,19,7400,242,233
A1RKGN3VY39TM1,NA,NA,wolfe_image-115-a,wolfe_image-115-as,wolfe_image-115-b,wolfe_image-115-bs,200.432,-1,20,7828,578,278
A1RKGN3VY39TM1,NA,NA,wolfe_image-128-a,wolfe_image-128-as,wolfe_image-128-b,wolfe_image-128-bs,214.996,-1,21,12861,457,458
A1RKGN3VY39TM1,NA,NA,wolfe_image-100-a,wolfe_image-100-as,wolfe_image-100-b,wolfe_image-100-bs,229.146,-1,22,12756,608,316
A1RKGN3VY39TM1,NA,NA,wolfe_image-133-a,wolfe_image-133-as,wolfe_image-133-b,wolfe_image-133-bs,237.82,-1,23,6646,468,177
A1RKGN3VY39TM1,NA,NA,wolfe_image-038-a,wolfe_image-038-as,wolfe_image-038-b,wolfe_image-038-bs,248.045,-1,24,9217,569,322
A1RKGN3VY39TM1,NA,NA,wolfe_image-042-a,wolfe_image-042-as,wolfe_image-042-b,wolfe_image-042-bs,256.737,-1,25,5046,473,225
A1RKGN3VY39TM1,NA,NA,wolfe_image-123-a,wolfe_image-123-as,wolfe_image-123-b,wolfe_image-123-bs,271.831,-1,26,12944,74,353
A1RKGN3VY39TM1,NA,NA,wolfe_image-007-a,wolfe_image-007-as,wolfe_image-007-b,wolfe_image-007-bs,281.541,-1,27,8561,184,225
A1RKGN3VY39TM1,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,289.783,-1,28,6702,284,228
A1RKGN3VY39TM1,NA,NA,wolfe_image-021-a,wolfe_image-021-as,wolfe_image-021-b,wolfe_image-021-bs,298.161,-1,29,6820,358,231
A1RKGN3VY39TM1,NA,NA,wolfe_image-076-a,wolfe_image-076-as,wolfe_image-076-b,wolfe_image-076-bs,306.657,-1,30,6701,216,97
A1RKGN3VY39TM1,NA,NA,wolfe_image-016-a,wolfe_image-016-as,wolfe_image-016-b,wolfe_image-016-bs,329.549,-1,31,21034,509,266
A1RKGN3VY39TM1,NA,NA,wolfe_image-026-a,wolfe_image-026-as,wolfe_image-026-b,wolfe_image-026-bs,338.068,-1,32,6787,165,294
A1RKGN3VY39TM1,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,346.149,-1,33,6764,339,261
