workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A29SJZ0IEOHGMB,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,202.527,-1,1,49291,368,271
A29SJZ0IEOHGMB,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,221.239,-1,2,16246,372,295
A29SJZ0IEOHGMB,NA,NA,wolfe_image-011-a,wolfe_image-011-as,wolfe_image-011-b,wolfe_image-011-bs,234.989,-1,3,11713,446,242
A29SJZ0IEOHGMB,NA,NA,wolfe_image-033-a,wolfe_image-033-as,wolfe_image-033-b,wolfe_image-033-bs,248.751,-1,4,11566,27,86
A29SJZ0IEOHGMB,NA,NA,wolfe_image-100-a,wolfe_image-100-as,wolfe_image-100-b,wolfe_image-100-bs,284.097,-1,6,30848,176,346
A29SJZ0IEOHGMB,NA,NA,wolfe_image-124-a,wolfe_image-124-as,wolfe_image-124-b,wolfe_image-124-bs,284.093,-1,5,26334,176,346
A29SJZ0IEOHGMB,NA,NA,wolfe_image-132-a,wolfe_image-132-as,wolfe_image-132-b,wolfe_image-132-bs,298.39,-1,7,12576,627,290
A29SJZ0IEOHGMB,NA,NA,wolfe_image-080-a,wolfe_image-080-as,wolfe_image-080-b,wolfe_image-080-bs,312.478,-1,8,12605,15,189
A29SJZ0IEOHGMB,NA,NA,wolfe_image-127-a,wolfe_image-127-as,wolfe_image-127-b,wolfe_image-127-bs,326.686,-1,9,12980,571,243
A29SJZ0IEOHGMB,NA,NA,wolfe_image-096-a,wolfe_image-096-as,wolfe_image-096-b,wolfe_image-096-bs,343.844,-1,10,15780,311,368
A29SJZ0IEOHGMB,NA,NA,wolfe_image-087-a,wolfe_image-087-as,wolfe_image-087-b,wolfe_image-087-bs,356.156,-1,11,10430,221,272
A29SJZ0IEOHGMB,NA,NA,wolfe_image-028-a,wolfe_image-028-as,wolfe_image-028-b,wolfe_image-028-bs,368.702,-1,12,10375,344,472
A29SJZ0IEOHGMB,NA,NA,wolfe_image-095-a,wolfe_image-095-as,wolfe_image-095-b,wolfe_image-095-bs,380.121,-1,13,9648,211,278
A29SJZ0IEOHGMB,NA,NA,wolfe_image-107-a,wolfe_image-107-as,wolfe_image-107-b,wolfe_image-107-bs,394.08,-1,14,12649,269,291
A29SJZ0IEOHGMB,NA,NA,wolfe_image-123-a,wolfe_image-123-as,wolfe_image-123-b,wolfe_image-123-bs,409.912,-1,15,14957,67,355
A29SJZ0IEOHGMB,NA,NA,wolfe_image-114-a,wolfe_image-114-as,wolfe_image-114-b,wolfe_image-114-bs,420.405,-1,16,9647,617,153
A29SJZ0IEOHGMB,NA,NA,wolfe_image-081-a,wolfe_image-081-as,wolfe_image-081-b,wolfe_image-081-bs,449.505,-1,17,22908,182,353
A29SJZ0IEOHGMB,NA,NA,wolfe_image-032-a,wolfe_image-032-as,wolfe_image-032-b,wolfe_image-032-bs,461.896,-1,18,11572,590,468
A29SJZ0IEOHGMB,NA,NA,wolfe_image-004-a,wolfe_image-004-as,wolfe_image-004-b,wolfe_image-004-bs,476.239,-1,19,13367,187,413
A29SJZ0IEOHGMB,NA,NA,wolfe_image-120-a,wolfe_image-120-as,wolfe_image-120-b,wolfe_image-120-bs,489.913,-1,20,12074,515,354
A29SJZ0IEOHGMB,NA,NA,wolfe_image-117-a,wolfe_image-117-as,wolfe_image-117-b,wolfe_image-117-bs,501.105,-1,21,10298,198,233
A29SJZ0IEOHGMB,NA,NA,wolfe_image-092-a,wolfe_image-092-as,wolfe_image-092-b,wolfe_image-092-bs,522.216,-1,22,20287,77,370
A29SJZ0IEOHGMB,NA,NA,wolfe_image-105-a,wolfe_image-105-as,wolfe_image-105-b,wolfe_image-105-bs,536.527,-1,23,13144,476,226
A29SJZ0IEOHGMB,NA,NA,wolfe_image-079-a,wolfe_image-079-as,wolfe_image-079-b,wolfe_image-079-bs,556.688,-1,24,19113,162,183
A29SJZ0IEOHGMB,NA,NA,wolfe_image-012-a,wolfe_image-012-as,wolfe_image-012-b,wolfe_image-012-bs,570.84,-1,25,13389,519,422
A29SJZ0IEOHGMB,NA,NA,wolfe_image-083-a,wolfe_image-083-as,wolfe_image-083-b,wolfe_image-083-bs,582.743,-1,26,11124,231,243
A29SJZ0IEOHGMB,NA,NA,wolfe_image-137-a,wolfe_image-137-as,wolfe_image-137-b,wolfe_image-137-bs,596.679,-1,27,12973,211,253
A29SJZ0IEOHGMB,NA,NA,wolfe_image-099-a,wolfe_image-099-as,wolfe_image-099-b,wolfe_image-099-bs,611.24,-1,28,13176,561,215
A29SJZ0IEOHGMB,NA,NA,wolfe_image-115-a,wolfe_image-115-as,wolfe_image-115-b,wolfe_image-115-bs,622.856,-1,29,10344,126,319
A29SJZ0IEOHGMB,NA,NA,wolfe_image-029-a,wolfe_image-029-as,wolfe_image-029-b,wolfe_image-029-bs,636.655,-1,30,12892,292,120
A29SJZ0IEOHGMB,NA,NA,wolfe_image-116-a,wolfe_image-116-as,wolfe_image-116-b,wolfe_image-116-bs,676.575,-1,31,38854,452,94
A29SJZ0IEOHGMB,NA,NA,wolfe_image-093-a,wolfe_image-093-as,wolfe_image-093-b,wolfe_image-093-bs,700.903,-1,32,23357,235,222
A29SJZ0IEOHGMB,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,711.815,-1,33,10130,412,209
