workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2HHWFGVV9UUC5,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,32.776,-1,1,5748,654,463
A2HHWFGVV9UUC5,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,39.818,-1,2,5664,358,249
A2HHWFGVV9UUC5,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,46.584,-1,3,5453,341,249
A2HHWFGVV9UUC5,NA,NA,wolfe_image-042-a,wolfe_image-042-as,wolfe_image-042-b,wolfe_image-042-bs,57.091,-1,4,8457,208,81
A2HHWFGVV9UUC5,NA,NA,wolfe_image-123-a,wolfe_image-123-as,wolfe_image-123-b,wolfe_image-123-bs,65.919,-1,5,7653,70,354
A2HHWFGVV9UUC5,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,73.954,-1,6,7032,287,220
A2HHWFGVV9UUC5,NA,NA,wolfe_image-100-a,wolfe_image-100-as,wolfe_image-100-b,wolfe_image-100-bs,82.284,-1,7,7272,621,321
A2HHWFGVV9UUC5,NA,NA,wolfe_image-087-a,wolfe_image-087-as,wolfe_image-087-b,wolfe_image-087-bs,90.084,-1,8,6883,207,266
A2HHWFGVV9UUC5,NA,NA,wolfe_image-047-a,wolfe_image-047-as,wolfe_image-047-b,wolfe_image-047-bs,98.138,-1,9,6734,153,333
A2HHWFGVV9UUC5,NA,NA,wolfe_image-043-a,wolfe_image-043-as,wolfe_image-043-b,wolfe_image-043-bs,106.048,-1,10,6646,863,472
A2HHWFGVV9UUC5,NA,NA,wolfe_image-086-a,wolfe_image-086-as,wolfe_image-086-b,wolfe_image-086-bs,114.263,-1,11,6697,469,74
A2HHWFGVV9UUC5,NA,NA,wolfe_image-106-a,wolfe_image-106-as,wolfe_image-106-b,wolfe_image-106-bs,122.21,-1,12,6591,463,140
A2HHWFGVV9UUC5,NA,NA,wolfe_image-122-a,wolfe_image-122-as,wolfe_image-122-b,wolfe_image-122-bs,130.031,-1,13,6622,209,406
A2HHWFGVV9UUC5,NA,NA,wolfe_image-125-a,wolfe_image-125-as,wolfe_image-125-b,wolfe_image-125-bs,137.97,-1,14,6624,101,358
A2HHWFGVV9UUC5,NA,NA,wolfe_image-110-a,wolfe_image-110-as,wolfe_image-110-b,wolfe_image-110-bs,145.714,-1,15,6647,620,227
A2HHWFGVV9UUC5,NA,NA,wolfe_image-032-a,wolfe_image-032-as,wolfe_image-032-b,wolfe_image-032-bs,154.915,-1,16,7901,333,258
A2HHWFGVV9UUC5,NA,NA,wolfe_image-132-a,wolfe_image-132-as,wolfe_image-132-b,wolfe_image-132-bs,162.921,-1,17,6868,621,291
A2HHWFGVV9UUC5,NA,NA,wolfe_image-090-a,wolfe_image-090-as,wolfe_image-090-b,wolfe_image-090-bs,170.734,-1,18,6704,89,353
A2HHWFGVV9UUC5,NA,NA,wolfe_image-109-a,wolfe_image-109-as,wolfe_image-109-b,wolfe_image-109-bs,178.27,-1,19,6617,164,275
A2HHWFGVV9UUC5,NA,NA,wolfe_image-017-a,wolfe_image-017-as,wolfe_image-017-b,wolfe_image-017-bs,186.058,-1,20,6643,127,322
A2HHWFGVV9UUC5,NA,NA,wolfe_image-126-a,wolfe_image-126-as,wolfe_image-126-b,wolfe_image-126-bs,194.073,-1,21,6749,648,281
A2HHWFGVV9UUC5,NA,NA,wolfe_image-040-a,wolfe_image-040-as,wolfe_image-040-b,wolfe_image-040-bs,201.957,-1,22,6642,114,112
A2HHWFGVV9UUC5,NA,NA,wolfe_image-131-a,wolfe_image-131-as,wolfe_image-131-b,wolfe_image-131-bs,210.218,-1,23,6563,359,163
A2HHWFGVV9UUC5,NA,NA,wolfe_image-105-a,wolfe_image-105-as,wolfe_image-105-b,wolfe_image-105-bs,217.895,-1,24,6632,465,221
A2HHWFGVV9UUC5,NA,NA,wolfe_image-024-a,wolfe_image-024-as,wolfe_image-024-b,wolfe_image-024-bs,225.684,-1,25,6609,354,429
A2HHWFGVV9UUC5,NA,NA,wolfe_image-027-a,wolfe_image-027-as,wolfe_image-027-b,wolfe_image-027-bs,233.5,-1,26,6566,316,373
A2HHWFGVV9UUC5,NA,NA,wolfe_image-092-a,wolfe_image-092-as,wolfe_image-092-b,wolfe_image-092-bs,241.936,-1,27,7228,421,226
A2HHWFGVV9UUC5,NA,NA,wolfe_image-120-a,wolfe_image-120-as,wolfe_image-120-b,wolfe_image-120-bs,249.659,-1,28,6643,532,356
A2HHWFGVV9UUC5,NA,NA,wolfe_image-041-a,wolfe_image-041-as,wolfe_image-041-b,wolfe_image-041-bs,257.425,-1,29,6669,77,393
A2HHWFGVV9UUC5,NA,NA,wolfe_image-034-a,wolfe_image-034-as,wolfe_image-034-b,wolfe_image-034-bs,264.986,-1,30,6546,449,351
A2HHWFGVV9UUC5,NA,NA,wolfe_image-096-a,wolfe_image-096-as,wolfe_image-096-b,wolfe_image-096-bs,273.454,-1,31,6582,320,361
A2HHWFGVV9UUC5,NA,NA,wolfe_image-112-a,wolfe_image-112-as,wolfe_image-112-b,wolfe_image-112-bs,280.969,-1,32,6595,431,222
A2HHWFGVV9UUC5,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,289.163,-1,33,6959,358,217
