workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2TA4W441CNS5H,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,61.427,-1,1,13188,312,253
A2TA4W441CNS5H,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,71.741,-1,2,8931,421,266
A2TA4W441CNS5H,NA,NA,wolfe_image-114-a,wolfe_image-114-as,wolfe_image-114-b,wolfe_image-114-bs,83.171,-1,3,10491,620,160
A2TA4W441CNS5H,NA,NA,wolfe_image-014-a,wolfe_image-014-as,wolfe_image-014-b,wolfe_image-014-bs,94.051,-1,4,9183,54,431
A2TA4W441CNS5H,NA,NA,wolfe_image-088-a,wolfe_image-088-as,wolfe_image-088-b,wolfe_image-088-bs,103.227,-1,5,8133,446,368
A2TA4W441CNS5H,NA,NA,wolfe_image-003-a,wolfe_image-003-as,wolfe_image-003-b,wolfe_image-003-bs,114.528,-1,6,10027,60,44
A2TA4W441CNS5H,NA,NA,wolfe_image-126-a,wolfe_image-126-as,wolfe_image-126-b,wolfe_image-126-bs,126.462,-1,7,10431,628,299
A2TA4W441CNS5H,NA,NA,wolfe_image-124-a,wolfe_image-124-as,wolfe_image-124-b,wolfe_image-124-bs,140.687,-1,8,13674,587,194
A2TA4W441CNS5H,NA,NA,wolfe_image-001-a,wolfe_image-001-as,wolfe_image-001-b,wolfe_image-001-bs,150.967,-1,9,9267,149,352
A2TA4W441CNS5H,NA,NA,wolfe_image-007-a,wolfe_image-007-as,wolfe_image-007-b,wolfe_image-007-bs,160.957,-1,10,9032,187,223
A2TA4W441CNS5H,NA,NA,wolfe_image-038-a,wolfe_image-038-as,wolfe_image-038-b,wolfe_image-038-bs,171.128,-1,11,9163,569,319
A2TA4W441CNS5H,NA,NA,wolfe_image-016-a,wolfe_image-016-as,wolfe_image-016-b,wolfe_image-016-bs,181.766,-1,12,8943,412,320
A2TA4W441CNS5H,NA,NA,wolfe_image-044-a,wolfe_image-044-as,wolfe_image-044-b,wolfe_image-044-bs,192.709,-1,13,8968,100,334
A2TA4W441CNS5H,NA,NA,wolfe_image-115-a,wolfe_image-115-as,wolfe_image-115-b,wolfe_image-115-bs,202.397,-1,14,8452,135,332
A2TA4W441CNS5H,NA,NA,wolfe_image-011-a,wolfe_image-011-as,wolfe_image-011-b,wolfe_image-011-bs,213.133,-1,15,9335,444,253
A2TA4W441CNS5H,NA,NA,wolfe_image-097-a,wolfe_image-097-as,wolfe_image-097-b,wolfe_image-097-bs,224.122,-1,16,10061,121,375
A2TA4W441CNS5H,NA,NA,wolfe_image-091-a,wolfe_image-091-as,wolfe_image-091-b,wolfe_image-091-bs,233.147,-1,17,7797,461,363
A2TA4W441CNS5H,NA,NA,wolfe_image-085-a,wolfe_image-085-as,wolfe_image-085-b,wolfe_image-085-bs,244.345,-1,18,9474,55,189
A2TA4W441CNS5H,NA,NA,wolfe_image-050-a,wolfe_image-050-as,wolfe_image-050-b,wolfe_image-050-bs,254.687,-1,19,8982,161,188
A2TA4W441CNS5H,NA,NA,wolfe_image-110-a,wolfe_image-110-as,wolfe_image-110-b,wolfe_image-110-bs,265.367,-1,20,9513,623,234
A2TA4W441CNS5H,NA,NA,wolfe_image-084-a,wolfe_image-084-as,wolfe_image-084-b,wolfe_image-084-bs,273.753,-1,21,7282,225,299
A2TA4W441CNS5H,NA,NA,wolfe_image-121-a,wolfe_image-121-as,wolfe_image-121-b,wolfe_image-121-bs,336.599,-1,22,60000,148,307
A2TA4W441CNS5H,NA,NA,wolfe_image-132-a,wolfe_image-132-as,wolfe_image-132-b,wolfe_image-132-bs,346.911,-1,23,7270,653,283
A2TA4W441CNS5H,NA,NA,wolfe_image-120-a,wolfe_image-120-as,wolfe_image-120-b,wolfe_image-120-bs,359.555,-1,24,11675,539,349
A2TA4W441CNS5H,NA,NA,wolfe_image-023-a,wolfe_image-023-as,wolfe_image-023-b,wolfe_image-023-bs,369.351,-1,25,9141,91,395
A2TA4W441CNS5H,NA,NA,wolfe_image-045-a,wolfe_image-045-as,wolfe_image-045-b,wolfe_image-045-bs,379.257,-1,26,9116,311,399
A2TA4W441CNS5H,NA,NA,wolfe_image-042-a,wolfe_image-042-as,wolfe_image-042-b,wolfe_image-042-bs,389.395,-1,27,8059,220,96
A2TA4W441CNS5H,NA,NA,wolfe_image-020-a,wolfe_image-020-as,wolfe_image-020-b,wolfe_image-020-bs,400.475,-1,28,10138,316,343
A2TA4W441CNS5H,NA,NA,wolfe_image-098-a,wolfe_image-098-as,wolfe_image-098-b,wolfe_image-098-bs,411.749,-1,29,10316,268,435
A2TA4W441CNS5H,NA,NA,wolfe_image-102-a,wolfe_image-102-as,wolfe_image-102-b,wolfe_image-102-bs,423.404,-1,30,10785,569,221
A2TA4W441CNS5H,NA,NA,wolfe_image-031-a,wolfe_image-031-as,wolfe_image-031-b,wolfe_image-031-bs,438.359,-1,31,13825,175,261
A2TA4W441CNS5H,NA,NA,wolfe_image-129-a,wolfe_image-129-as,wolfe_image-129-b,wolfe_image-129-bs,467.932,-1,32,29064,216,305
A2TA4W441CNS5H,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,477.949,-1,33,9127,441,212
