workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A31Z13BGZDNRN9,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,48.9,-1,1,6993,617,373
A31Z13BGZDNRN9,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,58.716,-1,2,8455,415,252
A31Z13BGZDNRN9,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,68.004,-1,3,8388,310,213
A31Z13BGZDNRN9,NA,NA,wolfe_image-099-a,wolfe_image-099-as,wolfe_image-099-b,wolfe_image-099-bs,86.507,-1,4,17417,401,344
A31Z13BGZDNRN9,NA,NA,wolfe_image-114-a,wolfe_image-114-as,wolfe_image-114-b,wolfe_image-114-bs,97.579,-1,5,9281,468,236
A31Z13BGZDNRN9,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,106.763,-1,6,8538,349,194
A31Z13BGZDNRN9,NA,NA,wolfe_image-117-a,wolfe_image-117-as,wolfe_image-117-b,wolfe_image-117-bs,113.674,-1,7,5593,368,247
A31Z13BGZDNRN9,NA,NA,wolfe_image-105-a,wolfe_image-105-as,wolfe_image-105-b,wolfe_image-105-bs,122.874,-1,8,8667,475,214
A31Z13BGZDNRN9,NA,NA,wolfe_image-082-a,wolfe_image-082-as,wolfe_image-082-b,wolfe_image-082-bs,130.818,-1,9,7322,305,268
A31Z13BGZDNRN9,NA,NA,wolfe_image-046-a,wolfe_image-046-as,wolfe_image-046-b,wolfe_image-046-bs,153.498,-1,10,22096,154,243
A31Z13BGZDNRN9,NA,NA,wolfe_image-091-a,wolfe_image-091-as,wolfe_image-091-b,wolfe_image-091-bs,167.065,-1,11,13010,357,379
A31Z13BGZDNRN9,NA,NA,wolfe_image-004-a,wolfe_image-004-as,wolfe_image-004-b,wolfe_image-004-bs,181.401,-1,12,13907,472,196
A31Z13BGZDNRN9,NA,NA,wolfe_image-111-a,wolfe_image-111-as,wolfe_image-111-b,wolfe_image-111-bs,190.945,-1,13,8817,350,257
A31Z13BGZDNRN9,NA,NA,wolfe_image-037-a,wolfe_image-037-as,wolfe_image-037-b,wolfe_image-037-bs,197.873,-1,14,5594,211,249
A31Z13BGZDNRN9,NA,NA,wolfe_image-014-a,wolfe_image-014-as,wolfe_image-014-b,wolfe_image-014-bs,209.497,-1,15,11113,51,437
A31Z13BGZDNRN9,NA,NA,wolfe_image-009-a,wolfe_image-009-as,wolfe_image-009-b,wolfe_image-009-bs,227.393,-1,16,17128,546,431
A31Z13BGZDNRN9,NA,NA,wolfe_image-112-a,wolfe_image-112-as,wolfe_image-112-b,wolfe_image-112-bs,245.024,-1,17,17209,273,120
A31Z13BGZDNRN9,NA,NA,wolfe_image-115-a,wolfe_image-115-as,wolfe_image-115-b,wolfe_image-115-bs,268.464,-1,18,22802,463,204
A31Z13BGZDNRN9,NA,NA,wolfe_image-125-a,wolfe_image-125-as,wolfe_image-125-b,wolfe_image-125-bs,294.783,-1,19,25736,557,314
A31Z13BGZDNRN9,NA,NA,wolfe_image-128-a,wolfe_image-128-as,wolfe_image-128-b,wolfe_image-128-bs,311.71,-1,20,15763,369,298
A31Z13BGZDNRN9,NA,NA,wolfe_image-120-a,wolfe_image-120-as,wolfe_image-120-b,wolfe_image-120-bs,319.678,-1,21,7474,462,243
A31Z13BGZDNRN9,NA,NA,wolfe_image-109-a,wolfe_image-109-as,wolfe_image-109-b,wolfe_image-109-bs,327.862,-1,22,7674,491,291
A31Z13BGZDNRN9,NA,NA,wolfe_image-136-a,wolfe_image-136-as,wolfe_image-136-b,wolfe_image-136-bs,335.31,-1,23,6848,81,348
A31Z13BGZDNRN9,NA,NA,wolfe_image-022-a,wolfe_image-022-as,wolfe_image-022-b,wolfe_image-022-bs,344.742,-1,24,8875,213,282
A31Z13BGZDNRN9,NA,NA,wolfe_image-024-a,wolfe_image-024-as,wolfe_image-024-b,wolfe_image-024-bs,358.446,-1,25,13155,515,223
A31Z13BGZDNRN9,NA,NA,wolfe_image-034-a,wolfe_image-034-as,wolfe_image-034-b,wolfe_image-034-bs,376.15,-1,26,17281,255,64
A31Z13BGZDNRN9,NA,NA,wolfe_image-113-a,wolfe_image-113-as,wolfe_image-113-b,wolfe_image-113-bs,387.622,-1,27,11042,306,302
A31Z13BGZDNRN9,NA,NA,wolfe_image-040-a,wolfe_image-040-as,wolfe_image-040-b,wolfe_image-040-bs,396.87,-1,28,8835,116,123
A31Z13BGZDNRN9,NA,NA,wolfe_image-110-a,wolfe_image-110-as,wolfe_image-110-b,wolfe_image-110-bs,410.197,-1,29,12931,524,363
A31Z13BGZDNRN9,NA,NA,wolfe_image-093-a,wolfe_image-093-as,wolfe_image-093-b,wolfe_image-093-bs,425.621,-1,30,15051,403,239
A31Z13BGZDNRN9,NA,NA,wolfe_image-084-a,wolfe_image-084-as,wolfe_image-084-b,wolfe_image-084-bs,434.837,-1,31,8620,222,306
A31Z13BGZDNRN9,NA,NA,wolfe_image-135-a,wolfe_image-135-as,wolfe_image-135-b,wolfe_image-135-bs,446.43,-1,32,10960,498,335
A31Z13BGZDNRN9,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,453.924,-1,33,6915,432,241
