workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A4158R4Y06ZB4,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,22.33,-1,1,9056,315,243
A4158R4Y06ZB4,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,37.215,-1,2,13519,385,245
A4158R4Y06ZB4,NA,NA,wolfe_image-083-a,wolfe_image-083-as,wolfe_image-083-b,wolfe_image-083-bs,51.235,-1,3,13243,237,241
A4158R4Y06ZB4,NA,NA,wolfe_image-085-a,wolfe_image-085-as,wolfe_image-085-b,wolfe_image-085-bs,63.275,-1,4,11247,66,185
A4158R4Y06ZB4,NA,NA,wolfe_image-120-a,wolfe_image-120-as,wolfe_image-120-b,wolfe_image-120-bs,70.951,-1,5,6895,541,348
A4158R4Y06ZB4,NA,NA,wolfe_image-050-a,wolfe_image-050-as,wolfe_image-050-b,wolfe_image-050-bs,80.706,-1,6,8883,170,183
A4158R4Y06ZB4,NA,NA,wolfe_image-007-a,wolfe_image-007-as,wolfe_image-007-b,wolfe_image-007-bs,90.852,-1,7,8792,191,221
A4158R4Y06ZB4,NA,NA,wolfe_image-034-a,wolfe_image-034-as,wolfe_image-034-b,wolfe_image-034-bs,100.383,-1,8,8886,464,356
A4158R4Y06ZB4,NA,NA,wolfe_image-086-a,wolfe_image-086-as,wolfe_image-086-b,wolfe_image-086-bs,112.376,-1,9,10867,452,72
A4158R4Y06ZB4,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,120.037,-1,10,6866,292,222
A4158R4Y06ZB4,NA,NA,wolfe_image-001-a,wolfe_image-001-as,wolfe_image-001-b,wolfe_image-001-bs,129.895,-1,11,8637,138,346
A4158R4Y06ZB4,NA,NA,wolfe_image-030-a,wolfe_image-030-as,wolfe_image-030-b,wolfe_image-030-bs,139.606,-1,12,8891,446,258
A4158R4Y06ZB4,NA,NA,wolfe_image-081-a,wolfe_image-081-as,wolfe_image-081-b,wolfe_image-081-bs,151.137,-1,13,10844,468,370
A4158R4Y06ZB4,NA,NA,wolfe_image-132-a,wolfe_image-132-as,wolfe_image-132-b,wolfe_image-132-bs,162.541,-1,14,10818,627,287
A4158R4Y06ZB4,NA,NA,wolfe_image-127-a,wolfe_image-127-as,wolfe_image-127-b,wolfe_image-127-bs,169.86,-1,15,6613,578,252
A4158R4Y06ZB4,NA,NA,wolfe_image-026-a,wolfe_image-026-as,wolfe_image-026-b,wolfe_image-026-bs,179.797,-1,16,8694,161,303
A4158R4Y06ZB4,NA,NA,wolfe_image-047-a,wolfe_image-047-as,wolfe_image-047-b,wolfe_image-047-bs,189.714,-1,17,8757,150,326
A4158R4Y06ZB4,NA,NA,wolfe_image-092-a,wolfe_image-092-as,wolfe_image-092-b,wolfe_image-092-bs,199.829,-1,18,8816,79,366
A4158R4Y06ZB4,NA,NA,wolfe_image-113-a,wolfe_image-113-as,wolfe_image-113-b,wolfe_image-113-bs,207.809,-1,19,6622,319,307
A4158R4Y06ZB4,NA,NA,wolfe_image-038-a,wolfe_image-038-as,wolfe_image-038-b,wolfe_image-038-bs,217.793,-1,20,8770,574,317
A4158R4Y06ZB4,NA,NA,wolfe_image-106-a,wolfe_image-106-as,wolfe_image-106-b,wolfe_image-106-bs,231.346,-1,21,12953,443,150
A4158R4Y06ZB4,NA,NA,wolfe_image-043-a,wolfe_image-043-as,wolfe_image-043-b,wolfe_image-043-bs,241.024,-1,22,8744,859,467
A4158R4Y06ZB4,NA,NA,wolfe_image-124-a,wolfe_image-124-as,wolfe_image-124-b,wolfe_image-124-bs,256.754,-1,23,14866,587,185
A4158R4Y06ZB4,NA,NA,wolfe_image-008-a,wolfe_image-008-as,wolfe_image-008-b,wolfe_image-008-bs,266.616,-1,24,8712,549,94
A4158R4Y06ZB4,NA,NA,wolfe_image-039-a,wolfe_image-039-as,wolfe_image-039-b,wolfe_image-039-bs,278.369,-1,25,10778,557,195
A4158R4Y06ZB4,NA,NA,wolfe_image-048-a,wolfe_image-048-as,wolfe_image-048-b,wolfe_image-048-bs,288.311,-1,26,8985,448,52
A4158R4Y06ZB4,NA,NA,wolfe_image-110-a,wolfe_image-110-as,wolfe_image-110-b,wolfe_image-110-bs,298.606,-1,27,8619,615,227
A4158R4Y06ZB4,NA,NA,wolfe_image-099-a,wolfe_image-099-as,wolfe_image-099-b,wolfe_image-099-bs,308.031,-1,28,8676,579,223
A4158R4Y06ZB4,NA,NA,wolfe_image-006-a,wolfe_image-006-as,wolfe_image-006-b,wolfe_image-006-bs,315.293,-1,29,6396,437,139
A4158R4Y06ZB4,NA,NA,wolfe_image-024-a,wolfe_image-024-as,wolfe_image-024-b,wolfe_image-024-bs,371.434,-1,30,55677,365,438
A4158R4Y06ZB4,NA,NA,wolfe_image-119-a,wolfe_image-119-as,wolfe_image-119-b,wolfe_image-119-bs,386.019,-1,31,11377,65,355
A4158R4Y06ZB4,NA,NA,wolfe_image-090-a,wolfe_image-090-as,wolfe_image-090-b,wolfe_image-090-bs,444.799,-1,32,54815,376,293
A4158R4Y06ZB4,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,464.128,-1,33,17027,346,194
