workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A9WIOFVRSYW3L,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,35.446,-1,1,7660,326,239
A9WIOFVRSYW3L,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,44.569,-1,2,8401,425,268
A9WIOFVRSYW3L,NA,NA,wolfe_image-106-a,wolfe_image-106-as,wolfe_image-106-b,wolfe_image-106-bs,81.998,-1,3,36559,456,144
A9WIOFVRSYW3L,NA,NA,wolfe_image-133-a,wolfe_image-133-as,wolfe_image-133-b,wolfe_image-133-bs,104.541,-1,4,20529,470,174
A9WIOFVRSYW3L,NA,NA,wolfe_image-044-a,wolfe_image-044-as,wolfe_image-044-b,wolfe_image-044-bs,115.742,-1,5,9819,103,337
A9WIOFVRSYW3L,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,125.351,-1,6,6889,292,223
A9WIOFVRSYW3L,NA,NA,wolfe_image-135-a,wolfe_image-135-as,wolfe_image-135-b,wolfe_image-135-bs,148.055,-1,7,22097,421,176
A9WIOFVRSYW3L,NA,NA,wolfe_image-022-a,wolfe_image-022-as,wolfe_image-022-b,wolfe_image-022-bs,168.815,-1,8,19849,203,283
A9WIOFVRSYW3L,NA,NA,wolfe_image-023-a,wolfe_image-023-as,wolfe_image-023-b,wolfe_image-023-bs,240.108,-1,9,60000,499,483
A9WIOFVRSYW3L,NA,NA,wolfe_image-027-a,wolfe_image-027-as,wolfe_image-027-b,wolfe_image-027-bs,260.23,-1,10,19246,322,376
A9WIOFVRSYW3L,NA,NA,wolfe_image-009-a,wolfe_image-009-as,wolfe_image-009-b,wolfe_image-009-bs,267.615,-1,11,6792,356,222
A9WIOFVRSYW3L,NA,NA,wolfe_image-032-a,wolfe_image-032-as,wolfe_image-032-b,wolfe_image-032-bs,289.852,-1,12,21394,591,481
A9WIOFVRSYW3L,NA,NA,wolfe_image-080-a,wolfe_image-080-as,wolfe_image-080-b,wolfe_image-080-bs,340.699,-1,13,49548,23,189
A9WIOFVRSYW3L,NA,NA,wolfe_image-095-a,wolfe_image-095-as,wolfe_image-095-b,wolfe_image-095-bs,348.512,-1,14,6374,195,298
A9WIOFVRSYW3L,NA,NA,wolfe_image-101-a,wolfe_image-101-as,wolfe_image-101-b,wolfe_image-101-bs,416.489,-1,16,66903,0,0
A9WIOFVRSYW3L,NA,NA,wolfe_image-122-a,wolfe_image-122-as,wolfe_image-122-b,wolfe_image-122-bs,416.485,-1,15,60000,372,452
A9WIOFVRSYW3L,NA,NA,wolfe_image-079-a,wolfe_image-079-as,wolfe_image-079-b,wolfe_image-079-bs,438.718,-1,17,21679,163,179
A9WIOFVRSYW3L,NA,NA,wolfe_image-129-a,wolfe_image-129-as,wolfe_image-129-b,wolfe_image-129-bs,453.096,-1,18,13891,197,455
A9WIOFVRSYW3L,NA,NA,wolfe_image-110-a,wolfe_image-110-as,wolfe_image-110-b,wolfe_image-110-bs,464.691,-1,19,10904,551,238
A9WIOFVRSYW3L,NA,NA,wolfe_image-026-a,wolfe_image-026-as,wolfe_image-026-b,wolfe_image-026-bs,503.246,-1,20,38027,155,302
A9WIOFVRSYW3L,NA,NA,wolfe_image-119-a,wolfe_image-119-as,wolfe_image-119-b,wolfe_image-119-bs,523.075,-1,21,19073,61,357
A9WIOFVRSYW3L,NA,NA,wolfe_image-134-a,wolfe_image-134-as,wolfe_image-134-b,wolfe_image-134-bs,536.442,-1,22,11589,553,328
A9WIOFVRSYW3L,NA,NA,wolfe_image-001-a,wolfe_image-001-as,wolfe_image-001-b,wolfe_image-001-bs,544.951,-1,23,7223,145,360
A9WIOFVRSYW3L,NA,NA,wolfe_image-137-a,wolfe_image-137-as,wolfe_image-137-b,wolfe_image-137-bs,553.995,-1,24,8575,208,254
A9WIOFVRSYW3L,NA,NA,wolfe_image-008-a,wolfe_image-008-as,wolfe_image-008-b,wolfe_image-008-bs,565.323,-1,25,10737,540,119
A9WIOFVRSYW3L,NA,NA,wolfe_image-021-a,wolfe_image-021-as,wolfe_image-021-b,wolfe_image-021-bs,587.189,-1,26,19901,364,303
A9WIOFVRSYW3L,NA,NA,wolfe_image-114-a,wolfe_image-114-as,wolfe_image-114-b,wolfe_image-114-bs,601.792,-1,27,13780,630,169
A9WIOFVRSYW3L,NA,NA,wolfe_image-016-a,wolfe_image-016-as,wolfe_image-016-b,wolfe_image-016-bs,655.121,-1,28,52697,408,321
A9WIOFVRSYW3L,NA,NA,wolfe_image-131-a,wolfe_image-131-as,wolfe_image-131-b,wolfe_image-131-bs,718.552,-1,29,60000,187,23
A9WIOFVRSYW3L,NA,NA,wolfe_image-115-a,wolfe_image-115-as,wolfe_image-115-b,wolfe_image-115-bs,718.555,-1,30,63159,0,0
A9WIOFVRSYW3L,NA,NA,wolfe_image-130-a,wolfe_image-130-as,wolfe_image-130-b,wolfe_image-130-bs,769.6,-1,31,49528,619,367
A9WIOFVRSYW3L,NA,NA,wolfe_image-050-a,wolfe_image-050-as,wolfe_image-050-b,wolfe_image-050-bs,782.834,-1,32,12831,180,200
A9WIOFVRSYW3L,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,791.105,-1,33,7711,440,256
