workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AM2KK02JXXW48,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,44.22,-1,1,7420,232,277
AM2KK02JXXW48,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,52.419,-1,2,7041,414,268
AM2KK02JXXW48,NA,NA,wolfe_image-090-a,wolfe_image-090-as,wolfe_image-090-b,wolfe_image-090-bs,64.61,-1,3,10463,99,351
AM2KK02JXXW48,NA,NA,wolfe_image-024-a,wolfe_image-024-as,wolfe_image-024-b,wolfe_image-024-bs,94.066,-1,4,28496,358,429
AM2KK02JXXW48,NA,NA,wolfe_image-096-a,wolfe_image-096-as,wolfe_image-096-b,wolfe_image-096-bs,157.235,-1,5,60000,184,261
AM2KK02JXXW48,NA,NA,wolfe_image-104-a,wolfe_image-104-as,wolfe_image-104-b,wolfe_image-104-bs,182.115,-1,6,23832,40,231
AM2KK02JXXW48,NA,NA,wolfe_image-111-a,wolfe_image-111-as,wolfe_image-111-b,wolfe_image-111-bs,192.275,-1,7,9320,224,250
AM2KK02JXXW48,NA,NA,wolfe_image-125-a,wolfe_image-125-as,wolfe_image-125-b,wolfe_image-125-bs,202.475,-1,8,9473,101,372
AM2KK02JXXW48,NA,NA,wolfe_image-128-a,wolfe_image-128-as,wolfe_image-128-b,wolfe_image-128-bs,228.979,-1,9,25711,462,452
AM2KK02JXXW48,NA,NA,wolfe_image-078-a,wolfe_image-078-as,wolfe_image-078-b,wolfe_image-078-bs,239.082,-1,10,8968,388,168
AM2KK02JXXW48,NA,NA,wolfe_image-087-a,wolfe_image-087-as,wolfe_image-087-b,wolfe_image-087-bs,247.586,-1,11,6736,212,272
AM2KK02JXXW48,NA,NA,wolfe_image-137-a,wolfe_image-137-as,wolfe_image-137-b,wolfe_image-137-bs,255.363,-1,12,6697,217,252
AM2KK02JXXW48,NA,NA,wolfe_image-089-a,wolfe_image-089-as,wolfe_image-089-b,wolfe_image-089-bs,265.123,-1,13,8687,376,306
AM2KK02JXXW48,NA,NA,wolfe_image-047-a,wolfe_image-047-as,wolfe_image-047-b,wolfe_image-047-bs,277.035,-1,14,10657,154,329
AM2KK02JXXW48,NA,NA,wolfe_image-081-a,wolfe_image-081-as,wolfe_image-081-b,wolfe_image-081-bs,304.267,-1,15,25441,469,371
AM2KK02JXXW48,NA,NA,wolfe_image-037-a,wolfe_image-037-as,wolfe_image-037-b,wolfe_image-037-bs,318.467,-1,16,13040,216,360
AM2KK02JXXW48,NA,NA,wolfe_image-076-a,wolfe_image-076-as,wolfe_image-076-b,wolfe_image-076-bs,337.24,-1,17,17168,217,95
AM2KK02JXXW48,NA,NA,wolfe_image-116-a,wolfe_image-116-as,wolfe_image-116-b,wolfe_image-116-bs,399.867,-1,18,60000,330,263
AM2KK02JXXW48,NA,NA,wolfe_image-048-a,wolfe_image-048-as,wolfe_image-048-b,wolfe_image-048-bs,411.579,-1,19,10761,453,51
AM2KK02JXXW48,NA,NA,wolfe_image-133-a,wolfe_image-133-as,wolfe_image-133-b,wolfe_image-133-bs,438.059,-1,20,25497,470,175
AM2KK02JXXW48,NA,NA,wolfe_image-028-a,wolfe_image-028-as,wolfe_image-028-b,wolfe_image-028-bs,449.674,-1,21,8663,353,474
AM2KK02JXXW48,NA,NA,wolfe_image-005-a,wolfe_image-005-as,wolfe_image-005-b,wolfe_image-005-bs,458.995,-1,22,8569,284,274
AM2KK02JXXW48,NA,NA,wolfe_image-010-a,wolfe_image-010-as,wolfe_image-010-b,wolfe_image-010-bs,469.211,-1,23,8833,62,154
AM2KK02JXXW48,NA,NA,wolfe_image-039-a,wolfe_image-039-as,wolfe_image-039-b,wolfe_image-039-bs,478.411,-1,24,7216,552,199
AM2KK02JXXW48,NA,NA,wolfe_image-099-a,wolfe_image-099-as,wolfe_image-099-b,wolfe_image-099-bs,486.843,-1,25,7544,582,220
AM2KK02JXXW48,NA,NA,wolfe_image-118-a,wolfe_image-118-as,wolfe_image-118-b,wolfe_image-118-bs,500.13,-1,26,12641,616,307
AM2KK02JXXW48,NA,NA,wolfe_image-030-a,wolfe_image-030-as,wolfe_image-030-b,wolfe_image-030-bs,536.946,-1,27,35858,442,267
AM2KK02JXXW48,NA,NA,wolfe_image-013-a,wolfe_image-013-as,wolfe_image-013-b,wolfe_image-013-bs,546.086,-1,28,8489,79,56
AM2KK02JXXW48,NA,NA,wolfe_image-012-a,wolfe_image-012-as,wolfe_image-012-b,wolfe_image-012-bs,553.803,-1,29,6936,545,439
AM2KK02JXXW48,NA,NA,wolfe_image-015-a,wolfe_image-015-as,wolfe_image-015-b,wolfe_image-015-bs,569.443,-1,30,14921,147,270
AM2KK02JXXW48,NA,NA,wolfe_image-029-a,wolfe_image-029-as,wolfe_image-029-b,wolfe_image-029-bs,582.587,-1,31,12602,295,126
AM2KK02JXXW48,NA,NA,wolfe_image-006-a,wolfe_image-006-as,wolfe_image-006-b,wolfe_image-006-bs,596.619,-1,32,13601,605,159
AM2KK02JXXW48,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,605.691,-1,33,8448,478,182
