workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AR5M3HHTQV9QY,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,47.474,-1,1,7206,278,241
AR5M3HHTQV9QY,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,56.649,-1,2,6648,410,250
AR5M3HHTQV9QY,NA,NA,wolfe_image-122-a,wolfe_image-122-as,wolfe_image-122-b,wolfe_image-122-bs,120.207,-1,3,60000,496,266
AR5M3HHTQV9QY,NA,NA,wolfe_image-131-a,wolfe_image-131-as,wolfe_image-131-b,wolfe_image-131-bs,149.16,-1,4,26879,347,171
AR5M3HHTQV9QY,NA,NA,wolfe_image-102-a,wolfe_image-102-as,wolfe_image-102-b,wolfe_image-102-bs,217.505,-1,5,60000,341,81
AR5M3HHTQV9QY,NA,NA,wolfe_image-101-a,wolfe_image-101-as,wolfe_image-101-b,wolfe_image-101-bs,281.325,-1,6,60000,485,238
AR5M3HHTQV9QY,NA,NA,wolfe_image-132-a,wolfe_image-132-as,wolfe_image-132-b,wolfe_image-132-bs,298.005,-1,7,15010,632,289
AR5M3HHTQV9QY,NA,NA,wolfe_image-020-a,wolfe_image-020-as,wolfe_image-020-b,wolfe_image-020-bs,351.023,-1,8,51191,309,347
AR5M3HHTQV9QY,NA,NA,wolfe_image-121-a,wolfe_image-121-as,wolfe_image-121-b,wolfe_image-121-bs,373.993,-1,9,20184,242,328
AR5M3HHTQV9QY,NA,NA,wolfe_image-037-a,wolfe_image-037-as,wolfe_image-037-b,wolfe_image-037-bs,391.95,-1,10,16798,217,355
AR5M3HHTQV9QY,NA,NA,wolfe_image-109-a,wolfe_image-109-as,wolfe_image-109-b,wolfe_image-109-bs,425.021,-1,11,31564,182,242
AR5M3HHTQV9QY,NA,NA,wolfe_image-133-a,wolfe_image-133-as,wolfe_image-133-b,wolfe_image-133-bs,437.557,-1,12,10720,470,179
AR5M3HHTQV9QY,NA,NA,wolfe_image-130-a,wolfe_image-130-as,wolfe_image-130-b,wolfe_image-130-bs,451.813,-1,13,12745,625,371
AR5M3HHTQV9QY,NA,NA,wolfe_image-045-a,wolfe_image-045-as,wolfe_image-045-b,wolfe_image-045-bs,462.687,-1,14,9024,312,401
AR5M3HHTQV9QY,NA,NA,wolfe_image-088-a,wolfe_image-088-as,wolfe_image-088-b,wolfe_image-088-bs,471.363,-1,15,7230,441,371
AR5M3HHTQV9QY,NA,NA,wolfe_image-022-a,wolfe_image-022-as,wolfe_image-022-b,wolfe_image-022-bs,481.57,-1,16,8523,206,284
AR5M3HHTQV9QY,NA,NA,wolfe_image-013-a,wolfe_image-013-as,wolfe_image-013-b,wolfe_image-013-bs,490.428,-1,17,6930,69,58
AR5M3HHTQV9QY,NA,NA,wolfe_image-018-a,wolfe_image-018-as,wolfe_image-018-b,wolfe_image-018-bs,499.374,-1,18,6646,473,249
AR5M3HHTQV9QY,NA,NA,wolfe_image-028-a,wolfe_image-028-as,wolfe_image-028-b,wolfe_image-028-bs,508.362,-1,19,6812,362,472
AR5M3HHTQV9QY,NA,NA,wolfe_image-034-a,wolfe_image-034-as,wolfe_image-034-b,wolfe_image-034-bs,516.798,-1,20,6635,461,360
AR5M3HHTQV9QY,NA,NA,wolfe_image-087-a,wolfe_image-087-as,wolfe_image-087-b,wolfe_image-087-bs,540.423,-1,21,21701,219,273
AR5M3HHTQV9QY,NA,NA,wolfe_image-049-a,wolfe_image-049-as,wolfe_image-049-b,wolfe_image-049-bs,551.072,-1,22,9231,129,67
AR5M3HHTQV9QY,NA,NA,wolfe_image-092-a,wolfe_image-092-as,wolfe_image-092-b,wolfe_image-092-bs,559.672,-1,23,6989,73,369
AR5M3HHTQV9QY,NA,NA,wolfe_image-097-a,wolfe_image-097-as,wolfe_image-097-b,wolfe_image-097-bs,568.537,-1,24,7061,110,394
AR5M3HHTQV9QY,NA,NA,wolfe_image-126-a,wolfe_image-126-as,wolfe_image-126-b,wolfe_image-126-bs,581.225,-1,25,10696,627,300
AR5M3HHTQV9QY,NA,NA,wolfe_image-129-a,wolfe_image-129-as,wolfe_image-129-b,wolfe_image-129-bs,643.598,-1,26,60000,383,40
AR5M3HHTQV9QY,NA,NA,wolfe_image-124-a,wolfe_image-124-as,wolfe_image-124-b,wolfe_image-124-bs,657.545,-1,27,12768,586,180
AR5M3HHTQV9QY,NA,NA,wolfe_image-025-a,wolfe_image-025-as,wolfe_image-025-b,wolfe_image-025-bs,666.238,-1,28,7050,464,137
AR5M3HHTQV9QY,NA,NA,wolfe_image-004-a,wolfe_image-004-as,wolfe_image-004-b,wolfe_image-004-bs,674.932,-1,29,6942,213,403
AR5M3HHTQV9QY,NA,NA,wolfe_image-119-a,wolfe_image-119-as,wolfe_image-119-b,wolfe_image-119-bs,683.919,-1,30,7001,62,344
AR5M3HHTQV9QY,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,692.442,-1,31,6949,371,316
AR5M3HHTQV9QY,NA,NA,wolfe_image-128-a,wolfe_image-128-as,wolfe_image-128-b,wolfe_image-128-bs,700.724,-1,32,7023,457,455
AR5M3HHTQV9QY,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,709.743,-1,33,7102,364,284
