workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
ASCTCB5BHNS43,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,44.421,-1,1,7249,257,218
ASCTCB5BHNS43,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,53.782,-1,2,8206,410,256
ASCTCB5BHNS43,NA,NA,wolfe_image-113-a,wolfe_image-113-as,wolfe_image-113-b,wolfe_image-113-bs,73.526,-1,3,16791,71,182
ASCTCB5BHNS43,NA,NA,wolfe_image-127-a,wolfe_image-127-as,wolfe_image-127-b,wolfe_image-127-bs,84.041,-1,4,8927,568,248
ASCTCB5BHNS43,NA,NA,wolfe_image-040-a,wolfe_image-040-as,wolfe_image-040-b,wolfe_image-040-bs,95.851,-1,5,10509,110,126
ASCTCB5BHNS43,NA,NA,wolfe_image-039-a,wolfe_image-039-as,wolfe_image-039-b,wolfe_image-039-bs,119.048,-1,6,21398,556,197
ASCTCB5BHNS43,NA,NA,wolfe_image-137-a,wolfe_image-137-as,wolfe_image-137-b,wolfe_image-137-bs,134.244,-1,7,13278,209,257
ASCTCB5BHNS43,NA,NA,wolfe_image-041-a,wolfe_image-041-as,wolfe_image-041-b,wolfe_image-041-bs,142.857,-1,8,6908,71,374
ASCTCB5BHNS43,NA,NA,wolfe_image-013-a,wolfe_image-013-as,wolfe_image-013-b,wolfe_image-013-bs,155.109,-1,9,10637,73,54
ASCTCB5BHNS43,NA,NA,wolfe_image-021-a,wolfe_image-021-as,wolfe_image-021-b,wolfe_image-021-bs,169.986,-1,10,12953,374,293
ASCTCB5BHNS43,NA,NA,wolfe_image-112-a,wolfe_image-112-as,wolfe_image-112-b,wolfe_image-112-bs,180.359,-1,11,8894,431,223
ASCTCB5BHNS43,NA,NA,wolfe_image-037-a,wolfe_image-037-as,wolfe_image-037-b,wolfe_image-037-bs,192.857,-1,12,10779,214,365
ASCTCB5BHNS43,NA,NA,wolfe_image-023-a,wolfe_image-023-as,wolfe_image-023-b,wolfe_image-023-bs,202.977,-1,13,8519,92,410
ASCTCB5BHNS43,NA,NA,wolfe_image-128-a,wolfe_image-128-as,wolfe_image-128-b,wolfe_image-128-bs,213.18,-1,14,8738,459,458
ASCTCB5BHNS43,NA,NA,wolfe_image-100-a,wolfe_image-100-as,wolfe_image-100-b,wolfe_image-100-bs,223.492,-1,15,8788,600,321
ASCTCB5BHNS43,NA,NA,wolfe_image-103-a,wolfe_image-103-as,wolfe_image-103-b,wolfe_image-103-bs,236.126,-1,16,10542,146,332
ASCTCB5BHNS43,NA,NA,wolfe_image-119-a,wolfe_image-119-as,wolfe_image-119-b,wolfe_image-119-bs,247.361,-1,17,8846,62,363
ASCTCB5BHNS43,NA,NA,wolfe_image-003-a,wolfe_image-003-as,wolfe_image-003-b,wolfe_image-003-bs,258.565,-1,18,9486,47,33
ASCTCB5BHNS43,NA,NA,wolfe_image-029-a,wolfe_image-029-as,wolfe_image-029-b,wolfe_image-029-bs,271.461,-1,19,11117,291,128
ASCTCB5BHNS43,NA,NA,wolfe_image-028-a,wolfe_image-028-as,wolfe_image-028-b,wolfe_image-028-bs,283.836,-1,20,10490,349,474
ASCTCB5BHNS43,NA,NA,wolfe_image-049-a,wolfe_image-049-as,wolfe_image-049-b,wolfe_image-049-bs,298.372,-1,21,12970,114,43
ASCTCB5BHNS43,NA,NA,wolfe_image-107-a,wolfe_image-107-as,wolfe_image-107-b,wolfe_image-107-bs,313.062,-1,22,12807,255,311
ASCTCB5BHNS43,NA,NA,wolfe_image-001-a,wolfe_image-001-as,wolfe_image-001-b,wolfe_image-001-bs,323.481,-1,23,8449,135,351
ASCTCB5BHNS43,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,349.035,-1,24,23471,371,320
ASCTCB5BHNS43,NA,NA,wolfe_image-089-a,wolfe_image-089-as,wolfe_image-089-b,wolfe_image-089-bs,360.385,-1,25,10251,347,311
ASCTCB5BHNS43,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,372.751,-1,26,10968,291,225
ASCTCB5BHNS43,NA,NA,wolfe_image-136-a,wolfe_image-136-as,wolfe_image-136-b,wolfe_image-136-bs,381.123,-1,27,6698,57,352
ASCTCB5BHNS43,NA,NA,wolfe_image-102-a,wolfe_image-102-as,wolfe_image-102-b,wolfe_image-102-bs,391.727,-1,28,8541,569,227
ASCTCB5BHNS43,NA,NA,wolfe_image-096-a,wolfe_image-096-as,wolfe_image-096-b,wolfe_image-096-bs,406.564,-1,29,12597,305,370
ASCTCB5BHNS43,NA,NA,wolfe_image-026-a,wolfe_image-026-as,wolfe_image-026-b,wolfe_image-026-bs,419.075,-1,30,10488,160,302
ASCTCB5BHNS43,NA,NA,wolfe_image-034-a,wolfe_image-034-as,wolfe_image-034-b,wolfe_image-034-bs,435.199,-1,31,14901,452,353
ASCTCB5BHNS43,NA,NA,wolfe_image-097-a,wolfe_image-097-as,wolfe_image-097-b,wolfe_image-097-bs,451.989,-1,32,14734,110,366
ASCTCB5BHNS43,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,460.239,-1,33,7031,418,218
