workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
ATWH33XQ93WMF,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,90.749,-1,1,26118,273,278
ATWH33XQ93WMF,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,90.76,-1,2,26701,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-104-a,wolfe_image-104-as,wolfe_image-104-b,wolfe_image-104-bs,90.762,-1,3,26934,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-043-a,wolfe_image-043-as,wolfe_image-043-b,wolfe_image-043-bs,90.763,-1,4,27014,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-011-a,wolfe_image-011-as,wolfe_image-011-b,wolfe_image-011-bs,90.765,-1,5,27113,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-078-a,wolfe_image-078-as,wolfe_image-078-b,wolfe_image-078-bs,90.766,-1,6,27212,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-010-a,wolfe_image-010-as,wolfe_image-010-b,wolfe_image-010-bs,90.768,-1,7,27311,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-048-a,wolfe_image-048-as,wolfe_image-048-b,wolfe_image-048-bs,90.769,-1,8,27501,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-135-a,wolfe_image-135-as,wolfe_image-135-b,wolfe_image-135-bs,90.771,-1,9,27670,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-044-a,wolfe_image-044-as,wolfe_image-044-b,wolfe_image-044-bs,90.772,-1,10,27860,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-079-a,wolfe_image-079-as,wolfe_image-079-b,wolfe_image-079-bs,90.773,-1,11,28030,273,278
ATWH33XQ93WMF,NA,NA,wolfe_image-103-a,wolfe_image-103-as,wolfe_image-103-b,wolfe_image-103-bs,117.895,-1,12,14778,389,240
ATWH33XQ93WMF,NA,NA,wolfe_image-110-a,wolfe_image-110-as,wolfe_image-110-b,wolfe_image-110-bs,117.897,-1,13,15037,389,240
ATWH33XQ93WMF,NA,NA,wolfe_image-047-a,wolfe_image-047-as,wolfe_image-047-b,wolfe_image-047-bs,117.899,-1,14,15683,389,240
ATWH33XQ93WMF,NA,NA,wolfe_image-084-a,wolfe_image-084-as,wolfe_image-084-b,wolfe_image-084-bs,117.9,-1,15,16891,389,240
ATWH33XQ93WMF,NA,NA,wolfe_image-076-a,wolfe_image-076-as,wolfe_image-076-b,wolfe_image-076-bs,117.902,-1,16,21498,389,240
ATWH33XQ93WMF,NA,NA,wolfe_image-041-a,wolfe_image-041-as,wolfe_image-041-b,wolfe_image-041-bs,117.903,-1,17,21804,389,240
ATWH33XQ93WMF,NA,NA,wolfe_image-040-a,wolfe_image-040-as,wolfe_image-040-b,wolfe_image-040-bs,163.073,-1,18,21066,380,279
ATWH33XQ93WMF,NA,NA,wolfe_image-050-a,wolfe_image-050-as,wolfe_image-050-b,wolfe_image-050-bs,163.077,-1,19,21481,380,279
ATWH33XQ93WMF,NA,NA,wolfe_image-100-a,wolfe_image-100-as,wolfe_image-100-b,wolfe_image-100-bs,163.079,-1,20,22585,380,279
ATWH33XQ93WMF,NA,NA,wolfe_image-127-a,wolfe_image-127-as,wolfe_image-127-b,wolfe_image-127-bs,163.081,-1,21,43755,380,279
ATWH33XQ93WMF,NA,NA,wolfe_image-108-a,wolfe_image-108-as,wolfe_image-108-b,wolfe_image-108-bs,163.083,-1,22,44025,380,279
ATWH33XQ93WMF,NA,NA,wolfe_image-032-a,wolfe_image-032-as,wolfe_image-032-b,wolfe_image-032-bs,179.902,-1,23,8429,328,296
ATWH33XQ93WMF,NA,NA,wolfe_image-099-a,wolfe_image-099-as,wolfe_image-099-b,wolfe_image-099-bs,179.905,-1,24,8865,328,296
ATWH33XQ93WMF,NA,NA,wolfe_image-031-a,wolfe_image-031-as,wolfe_image-031-b,wolfe_image-031-bs,207.457,-1,25,14473,297,265
ATWH33XQ93WMF,NA,NA,wolfe_image-017-a,wolfe_image-017-as,wolfe_image-017-b,wolfe_image-017-bs,207.46,-1,26,15008,297,265
ATWH33XQ93WMF,NA,NA,wolfe_image-029-a,wolfe_image-029-as,wolfe_image-029-b,wolfe_image-029-bs,220.413,-1,27,10845,265,372
ATWH33XQ93WMF,NA,NA,wolfe_image-035-a,wolfe_image-035-as,wolfe_image-035-b,wolfe_image-035-bs,220.415,-1,28,11191,265,372
ATWH33XQ93WMF,NA,NA,wolfe_image-136-a,wolfe_image-136-as,wolfe_image-136-b,wolfe_image-136-bs,228.466,-1,29,6788,320,309
ATWH33XQ93WMF,NA,NA,wolfe_image-096-a,wolfe_image-096-as,wolfe_image-096-b,wolfe_image-096-bs,234.66,-1,30,4537,338,277
ATWH33XQ93WMF,NA,NA,wolfe_image-024-a,wolfe_image-024-as,wolfe_image-024-b,wolfe_image-024-bs,234.663,-1,31,5362,338,277
ATWH33XQ93WMF,NA,NA,wolfe_image-123-a,wolfe_image-123-as,wolfe_image-123-b,wolfe_image-123-bs,240.906,-1,32,5270,348,255
ATWH33XQ93WMF,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,247.187,-1,33,5285,355,259
