workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1T7EB1WEDCMXV,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,128.759,-1,1,8297,274,253
A1T7EB1WEDCMXV,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,137.51,-1,2,6477,438,270
A1T7EB1WEDCMXV,NA,NA,wolfe_image-116-a,wolfe_image-116-as,wolfe_image-116-b,wolfe_image-116-bs,169.407,-1,3,29722,460,95
A1T7EB1WEDCMXV,NA,NA,wolfe_image-097-a,wolfe_image-097-as,wolfe_image-097-b,wolfe_image-097-bs,193.83,-1,4,23184,114,368
A1T7EB1WEDCMXV,NA,NA,wolfe_image-109-a,wolfe_image-109-as,wolfe_image-109-b,wolfe_image-109-bs,209.263,-1,5,14728,174,240
A1T7EB1WEDCMXV,NA,NA,wolfe_image-041-a,wolfe_image-041-as,wolfe_image-041-b,wolfe_image-041-bs,219.407,-1,6,8949,72,386
A1T7EB1WEDCMXV,NA,NA,wolfe_image-040-a,wolfe_image-040-as,wolfe_image-040-b,wolfe_image-040-bs,229.375,-1,7,8812,119,129
A1T7EB1WEDCMXV,NA,NA,wolfe_image-006-a,wolfe_image-006-as,wolfe_image-006-b,wolfe_image-006-bs,239.127,-1,8,8819,595,161
A1T7EB1WEDCMXV,NA,NA,wolfe_image-128-a,wolfe_image-128-as,wolfe_image-128-b,wolfe_image-128-bs,253.591,-1,9,12597,463,452
A1T7EB1WEDCMXV,NA,NA,wolfe_image-018-a,wolfe_image-018-as,wolfe_image-018-b,wolfe_image-018-bs,263.679,-1,10,8846,472,259
A1T7EB1WEDCMXV,NA,NA,wolfe_image-094-a,wolfe_image-094-as,wolfe_image-094-b,wolfe_image-094-bs,272.624,-1,11,6622,234,213
A1T7EB1WEDCMXV,NA,NA,wolfe_image-115-a,wolfe_image-115-as,wolfe_image-115-b,wolfe_image-115-bs,281.648,-1,12,8506,136,335
A1T7EB1WEDCMXV,NA,NA,wolfe_image-076-a,wolfe_image-076-as,wolfe_image-076-b,wolfe_image-076-bs,294.079,-1,13,10878,215,93
A1T7EB1WEDCMXV,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,303.951,-1,14,8907,289,227
A1T7EB1WEDCMXV,NA,NA,wolfe_image-104-a,wolfe_image-104-as,wolfe_image-104-b,wolfe_image-104-bs,367.543,-1,15,60000,453,115
A1T7EB1WEDCMXV,NA,NA,wolfe_image-101-a,wolfe_image-101-as,wolfe_image-101-b,wolfe_image-101-bs,379.207,-1,16,10454,596,342
A1T7EB1WEDCMXV,NA,NA,wolfe_image-103-a,wolfe_image-103-as,wolfe_image-103-b,wolfe_image-103-bs,394.735,-1,17,14740,146,332
A1T7EB1WEDCMXV,NA,NA,wolfe_image-014-a,wolfe_image-014-as,wolfe_image-014-b,wolfe_image-014-bs,404.735,-1,18,9275,50,439
A1T7EB1WEDCMXV,NA,NA,wolfe_image-011-a,wolfe_image-011-as,wolfe_image-011-b,wolfe_image-011-bs,414.495,-1,19,8696,449,252
A1T7EB1WEDCMXV,NA,NA,wolfe_image-107-a,wolfe_image-107-as,wolfe_image-107-b,wolfe_image-107-bs,422.793,-1,20,6563,251,309
A1T7EB1WEDCMXV,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,450.295,-1,21,25739,375,319
A1T7EB1WEDCMXV,NA,NA,wolfe_image-106-a,wolfe_image-106-as,wolfe_image-106-b,wolfe_image-106-bs,462.415,-1,22,11111,455,139
A1T7EB1WEDCMXV,NA,NA,wolfe_image-031-a,wolfe_image-031-as,wolfe_image-031-b,wolfe_image-031-bs,472.487,-1,23,8597,175,260
A1T7EB1WEDCMXV,NA,NA,wolfe_image-003-a,wolfe_image-003-as,wolfe_image-003-b,wolfe_image-003-bs,482.183,-1,24,8548,61,39
A1T7EB1WEDCMXV,NA,NA,wolfe_image-086-a,wolfe_image-086-as,wolfe_image-086-b,wolfe_image-086-bs,491.375,-1,25,8587,452,81
A1T7EB1WEDCMXV,NA,NA,wolfe_image-085-a,wolfe_image-085-as,wolfe_image-085-b,wolfe_image-085-bs,499.111,-1,26,6652,64,192
A1T7EB1WEDCMXV,NA,NA,wolfe_image-095-a,wolfe_image-095-as,wolfe_image-095-b,wolfe_image-095-bs,509.119,-1,27,8648,222,301
A1T7EB1WEDCMXV,NA,NA,wolfe_image-123-a,wolfe_image-123-as,wolfe_image-123-b,wolfe_image-123-bs,518.959,-1,28,8628,71,356
A1T7EB1WEDCMXV,NA,NA,wolfe_image-122-a,wolfe_image-122-as,wolfe_image-122-b,wolfe_image-122-bs,534.359,-1,29,14792,209,402
A1T7EB1WEDCMXV,NA,NA,wolfe_image-100-a,wolfe_image-100-as,wolfe_image-100-b,wolfe_image-100-bs,543.655,-1,30,8757,619,316
A1T7EB1WEDCMXV,NA,NA,wolfe_image-131-a,wolfe_image-131-as,wolfe_image-131-b,wolfe_image-131-bs,551.871,-1,31,6738,364,168
A1T7EB1WEDCMXV,NA,NA,wolfe_image-110-a,wolfe_image-110-as,wolfe_image-110-b,wolfe_image-110-bs,561.479,-1,32,8439,583,232
A1T7EB1WEDCMXV,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,568.887,-1,33,6574,442,194
