workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AT6LDQNLKTUSE,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,24.819,-1,1,7378,319,241
AT6LDQNLKTUSE,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,24.822,-1,2,8241,319,241
AT6LDQNLKTUSE,NA,NA,wolfe_image-109-a,wolfe_image-109-as,wolfe_image-109-b,wolfe_image-109-bs,40.815,-1,3,15381,177,247
AT6LDQNLKTUSE,NA,NA,wolfe_image-118-a,wolfe_image-118-as,wolfe_image-118-b,wolfe_image-118-bs,50.803,-1,4,9372,620,304
AT6LDQNLKTUSE,NA,NA,wolfe_image-042-a,wolfe_image-042-as,wolfe_image-042-b,wolfe_image-042-bs,63.176,-1,5,10873,206,97
AT6LDQNLKTUSE,NA,NA,wolfe_image-081-a,wolfe_image-081-as,wolfe_image-081-b,wolfe_image-081-bs,72.065,-1,6,4159,296,405
AT6LDQNLKTUSE,NA,NA,wolfe_image-041-a,wolfe_image-041-as,wolfe_image-041-b,wolfe_image-041-bs,84.192,-1,7,10740,84,376
AT6LDQNLKTUSE,NA,NA,wolfe_image-095-a,wolfe_image-095-as,wolfe_image-095-b,wolfe_image-095-bs,94.217,-1,8,8761,216,278
AT6LDQNLKTUSE,NA,NA,wolfe_image-112-a,wolfe_image-112-as,wolfe_image-112-b,wolfe_image-112-bs,102.389,-1,9,6677,435,229
AT6LDQNLKTUSE,NA,NA,wolfe_image-078-a,wolfe_image-078-as,wolfe_image-078-b,wolfe_image-078-bs,112.464,-1,10,8561,387,169
AT6LDQNLKTUSE,NA,NA,wolfe_image-113-a,wolfe_image-113-as,wolfe_image-113-b,wolfe_image-113-bs,123.146,-1,11,9141,295,299
AT6LDQNLKTUSE,NA,NA,wolfe_image-002-a,wolfe_image-002-as,wolfe_image-002-b,wolfe_image-002-bs,133.278,-1,12,8700,292,218
AT6LDQNLKTUSE,NA,NA,wolfe_image-046-a,wolfe_image-046-as,wolfe_image-046-b,wolfe_image-046-bs,143.634,-1,13,8814,75,485
AT6LDQNLKTUSE,NA,NA,wolfe_image-026-a,wolfe_image-026-as,wolfe_image-026-b,wolfe_image-026-bs,154.064,-1,14,9018,177,308
AT6LDQNLKTUSE,NA,NA,wolfe_image-008-a,wolfe_image-008-as,wolfe_image-008-b,wolfe_image-008-bs,164.061,-1,15,8688,541,105
AT6LDQNLKTUSE,NA,NA,wolfe_image-011-a,wolfe_image-011-as,wolfe_image-011-b,wolfe_image-011-bs,174.132,-1,16,8643,455,252
AT6LDQNLKTUSE,NA,NA,wolfe_image-017-a,wolfe_image-017-as,wolfe_image-017-b,wolfe_image-017-bs,184.671,-1,17,8671,142,324
AT6LDQNLKTUSE,NA,NA,wolfe_image-123-a,wolfe_image-123-as,wolfe_image-123-b,wolfe_image-123-bs,197.664,-1,18,10829,72,357
AT6LDQNLKTUSE,NA,NA,wolfe_image-128-a,wolfe_image-128-as,wolfe_image-128-b,wolfe_image-128-bs,220.748,-1,19,21208,452,441
AT6LDQNLKTUSE,NA,NA,wolfe_image-083-a,wolfe_image-083-as,wolfe_image-083-b,wolfe_image-083-bs,229.999,-1,20,6595,232,247
AT6LDQNLKTUSE,NA,NA,wolfe_image-077-a,wolfe_image-077-as,wolfe_image-077-b,wolfe_image-077-bs,238.06,-1,21,6564,376,315
AT6LDQNLKTUSE,NA,NA,wolfe_image-103-a,wolfe_image-103-as,wolfe_image-103-b,wolfe_image-103-bs,248.794,-1,22,9038,152,337
AT6LDQNLKTUSE,NA,NA,wolfe_image-106-a,wolfe_image-106-as,wolfe_image-106-b,wolfe_image-106-bs,259.384,-1,23,8721,453,150
AT6LDQNLKTUSE,NA,NA,wolfe_image-114-a,wolfe_image-114-as,wolfe_image-114-b,wolfe_image-114-bs,268.875,-1,24,6772,624,160
AT6LDQNLKTUSE,NA,NA,wolfe_image-030-a,wolfe_image-030-as,wolfe_image-030-b,wolfe_image-030-bs,279.146,-1,25,8635,437,270
AT6LDQNLKTUSE,NA,NA,wolfe_image-029-a,wolfe_image-029-as,wolfe_image-029-b,wolfe_image-029-bs,289.67,-1,26,8776,295,125
AT6LDQNLKTUSE,NA,NA,wolfe_image-096-a,wolfe_image-096-as,wolfe_image-096-b,wolfe_image-096-bs,297.892,-1,27,6987,326,379
AT6LDQNLKTUSE,NA,NA,wolfe_image-085-a,wolfe_image-085-as,wolfe_image-085-b,wolfe_image-085-bs,314.571,-1,28,15263,66,195
AT6LDQNLKTUSE,NA,NA,wolfe_image-018-a,wolfe_image-018-as,wolfe_image-018-b,wolfe_image-018-bs,323.112,-1,29,6747,524,273
AT6LDQNLKTUSE,NA,NA,wolfe_image-102-a,wolfe_image-102-as,wolfe_image-102-b,wolfe_image-102-bs,333.844,-1,30,8904,567,221
AT6LDQNLKTUSE,NA,NA,wolfe_image-034-a,wolfe_image-034-as,wolfe_image-034-b,wolfe_image-034-bs,344.633,-1,31,8650,458,352
AT6LDQNLKTUSE,NA,NA,wolfe_image-038-a,wolfe_image-038-as,wolfe_image-038-b,wolfe_image-038-bs,355.521,-1,32,8670,576,317
AT6LDQNLKTUSE,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,363.86,-1,33,6689,358,221
