workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1OJFN3L7YW143,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,28.375,-1,1,6116,266,359
A1OJFN3L7YW143,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,28.379,-1,2,6436,266,359
A1OJFN3L7YW143,NA,NA,wolfe_123_L_pot-a,wolfe_123_L_pot-as,wolfe_123_L_pot-b,wolfe_123_L_pot-bs,28.381,-1,3,6673,266,359
A1OJFN3L7YW143,NA,NA,wolfe_016_L_art-a,wolfe_016_L_art-as,wolfe_016_L_art-b,wolfe_016_L_art-bs,28.384,-1,5,7064,266,359
A1OJFN3L7YW143,NA,NA,wolfe_002_L_napkin-a,wolfe_002_L_napkin-as,wolfe_002_L_napkin-b,wolfe_002_L_napkin-bs,28.382,-1,4,6868,266,359
A1OJFN3L7YW143,NA,NA,wolfe_112_L_basket-a,wolfe_112_L_basket-as,wolfe_112_L_basket-b,wolfe_112_L_basket-bs,28.385,-1,6,7313,266,359
A1OJFN3L7YW143,NA,NA,wolfe_070_L_lamp-a,wolfe_070_L_lamp-as,wolfe_070_L_lamp-b,wolfe_070_L_lamp-bs,28.387,-1,7,7667,266,359
A1OJFN3L7YW143,NA,NA,wolfe_004_L_electricalgrid-a,wolfe_004_L_electricalgrid-as,wolfe_004_L_electricalgrid-b,wolfe_004_L_electricalgrid-bs,28.388,-1,8,8321,266,359
A1OJFN3L7YW143,NA,NA,wolfe_082_L_bowl-a,wolfe_082_L_bowl-as,wolfe_082_L_bowl-b,wolfe_082_L_bowl-bs,28.39,-1,9,8633,266,359
A1OJFN3L7YW143,NA,NA,wolfe_015_L_ceilinglight-a,wolfe_015_L_ceilinglight-as,wolfe_015_L_ceilinglight-b,wolfe_015_L_ceilinglight-bs,28.391,-1,10,8913,266,359
A1OJFN3L7YW143,NA,NA,wolfe_035_L_fruit-a,wolfe_035_L_fruit-as,wolfe_035_L_fruit-b,wolfe_035_L_fruit-bs,28.393,-1,11,9188,266,359
