workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1WOCD9SAYI07V,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,27.16,-1,1,6771,273,201
A1WOCD9SAYI07V,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,35.79,-1,2,6528,420,261
A1WOCD9SAYI07V,NA,NA,wolfe_069_R_things-a,wolfe_069_R_things-as,wolfe_069_R_things-b,wolfe_069_R_things-bs,45.108,-1,3,7731,583,118
A1WOCD9SAYI07V,NA,NA,wolfe_028_R_vase-a,wolfe_028_R_vase-as,wolfe_028_R_vase-b,wolfe_028_R_vase-bs,54.054,-1,4,6712,496,300
A1WOCD9SAYI07V,NA,NA,wolfe_053_R_handle-a,wolfe_053_R_handle-as,wolfe_053_R_handle-b,wolfe_053_R_handle-bs,62.273,-1,5,7439,301,202
A1WOCD9SAYI07V,NA,NA,wolfe_035_R_fruit-a,wolfe_035_R_fruit-as,wolfe_035_R_fruit-b,wolfe_035_R_fruit-bs,69.924,-1,6,6951,524,282
A1WOCD9SAYI07V,NA,NA,wolfe_091_R_airfreshener-a,wolfe_091_R_airfreshener-as,wolfe_091_R_airfreshener-b,wolfe_091_R_airfreshener-bs,77.816,-1,7,6815,492,184
A1WOCD9SAYI07V,NA,NA,wolfe_096_R_painting-a,wolfe_096_R_painting-as,wolfe_096_R_painting-b,wolfe_096_R_painting-bs,85.118,-1,8,6723,608,227
A1WOCD9SAYI07V,NA,NA,wolfe_002_R_napkin-a,wolfe_002_R_napkin-as,wolfe_002_R_napkin-b,wolfe_002_R_napkin-bs,94.282,-1,9,7733,315,268
A1WOCD9SAYI07V,NA,NA,wolfe_082_R_bowl-a,wolfe_082_R_bowl-as,wolfe_082_R_bowl-b,wolfe_082_R_bowl-bs,101.5,-1,10,6741,573,375
A1WOCD9SAYI07V,NA,NA,wolfe_019_R_lamp_sized-a,wolfe_019_R_lamp_sized-as,wolfe_019_R_lamp_sized-b,wolfe_019_R_lamp_sized-bs,109.19,-1,11,6838,473,136
A1WOCD9SAYI07V,NA,NA,wolfe_052_R_speaker-a,wolfe_052_R_speaker-as,wolfe_052_R_speaker-b,wolfe_052_R_speaker-bs,116.618,-1,12,6682,463,331
A1WOCD9SAYI07V,NA,NA,wolfe_048_R_art-a,wolfe_048_R_art-as,wolfe_048_R_art-b,wolfe_048_R_art-bs,124.144,-1,13,6610,631,224
A1WOCD9SAYI07V,NA,NA,wolfe_074_R_book-a,wolfe_074_R_book-as,wolfe_074_R_book-b,wolfe_074_R_book-bs,131.68,-1,14,6606,426,320
A1WOCD9SAYI07V,NA,NA,wolfe_021_R_keyboard-a,wolfe_021_R_keyboard-as,wolfe_021_R_keyboard-b,wolfe_021_R_keyboard-bs,139.642,-1,15,6631,535,350
A1WOCD9SAYI07V,NA,NA,wolfe_011_R_parfum-a,wolfe_011_R_parfum-as,wolfe_011_R_parfum-b,wolfe_011_R_parfum-bs,148.092,-1,16,6719,446,364
A1WOCD9SAYI07V,NA,NA,wolfe_015_R_ceilinglight-a,wolfe_015_R_ceilinglight-as,wolfe_015_R_ceilinglight-b,wolfe_015_R_ceilinglight-bs,157.936,-1,17,9269,593,86
A1WOCD9SAYI07V,NA,NA,wolfe_038_R_art-a,wolfe_038_R_art-as,wolfe_038_R_art-b,wolfe_038_R_art-bs,165.186,-1,18,6610,366,157
A1WOCD9SAYI07V,NA,NA,wolfe_100_R_mirror-a,wolfe_100_R_mirror-as,wolfe_100_R_mirror-b,wolfe_100_R_mirror-bs,172.63,-1,19,6524,332,284
A1WOCD9SAYI07V,NA,NA,wolfe_047_R_handle-a,wolfe_047_R_handle-as,wolfe_047_R_handle-b,wolfe_047_R_handle-bs,180.066,-1,20,6677,555,428
A1WOCD9SAYI07V,NA,NA,wolfe_109_R_pillow-a,wolfe_109_R_pillow-as,wolfe_109_R_pillow-b,wolfe_109_R_pillow-bs,187.633,-1,21,6636,394,291
A1WOCD9SAYI07V,NA,NA,wolfe_062_R_flowers-a,wolfe_062_R_flowers-as,wolfe_062_R_flowers-b,wolfe_062_R_flowers-bs,195.208,-1,22,6665,539,278
A1WOCD9SAYI07V,NA,NA,wolfe_123_R_pot-a,wolfe_123_R_pot-as,wolfe_123_R_pot-b,wolfe_123_R_pot-bs,202.652,-1,23,6632,629,389
A1WOCD9SAYI07V,NA,NA,wolfe_095_R_candle-a,wolfe_095_R_candle-as,wolfe_095_R_candle-b,wolfe_095_R_candle-bs,210.356,-1,24,6868,423,156
A1WOCD9SAYI07V,NA,NA,wolfe_105_R_hat-a,wolfe_105_R_hat-as,wolfe_105_R_hat-b,wolfe_105_R_hat-bs,217.638,-1,25,6634,535,434
A1WOCD9SAYI07V,NA,NA,wolfe_045_R_musicdock-a,wolfe_045_R_musicdock-as,wolfe_045_R_musicdock-b,wolfe_045_R_musicdock-bs,225.152,-1,26,6651,585,260
