workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A25XUZYL1Q2HBW,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,67.908,-1,1,4692,339,199
A25XUZYL1Q2HBW,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,76.277,-1,2,5991,549,404
A25XUZYL1Q2HBW,NA,NA,wolfe_039_R_ventilator-a,wolfe_039_R_ventilator-as,wolfe_039_R_ventilator-b,wolfe_039_R_ventilator-bs,119.124,-1,3,38275,566,166
A25XUZYL1Q2HBW,NA,NA,wolfe_105_R_hat-a,wolfe_105_R_hat-as,wolfe_105_R_hat-b,wolfe_105_R_hat-bs,127.389,-1,4,6212,383,189
A25XUZYL1Q2HBW,NA,NA,wolfe_037_R_towel-a,wolfe_037_R_towel-as,wolfe_037_R_towel-b,wolfe_037_R_towel-bs,147.245,-1,5,13911,385,103
A25XUZYL1Q2HBW,NA,NA,wolfe_029_R_glass-a,wolfe_029_R_glass-as,wolfe_029_R_glass-b,wolfe_029_R_glass-bs,147.248,-1,6,14991,385,103
A25XUZYL1Q2HBW,NA,NA,wolfe_069_R_things-a,wolfe_069_R_things-as,wolfe_069_R_things-b,wolfe_069_R_things-bs,170.16,-1,8,14361,378,110
A25XUZYL1Q2HBW,NA,NA,wolfe_110_R_plant-a,wolfe_110_R_plant-as,wolfe_110_R_plant-b,wolfe_110_R_plant-bs,170.156,-1,7,6856,378,110
A25XUZYL1Q2HBW,NA,NA,wolfe_125_R_sofa-a,wolfe_125_R_sofa-as,wolfe_125_R_sofa-b,wolfe_125_R_sofa-bs,170.165,-1,9,18517,378,110
A25XUZYL1Q2HBW,NA,NA,wolfe_070_R_lamp-a,wolfe_070_R_lamp-as,wolfe_070_R_lamp-b,wolfe_070_R_lamp-bs,198.013,-1,10,4635,288,140
A25XUZYL1Q2HBW,NA,NA,wolfe_099_R_sconce-a,wolfe_099_R_sconce-as,wolfe_099_R_sconce-b,wolfe_099_R_sconce-bs,211.428,-1,11,12199,401,183
A25XUZYL1Q2HBW,NA,NA,wolfe_027_R_soapdish-a,wolfe_027_R_soapdish-as,wolfe_027_R_soapdish-b,wolfe_027_R_soapdish-bs,216.748,-1,12,4512,449,159
A25XUZYL1Q2HBW,NA,NA,wolfe_042_R_tap-a,wolfe_042_R_tap-as,wolfe_042_R_tap-b,wolfe_042_R_tap-bs,225.956,-1,13,8160,598,169
A25XUZYL1Q2HBW,NA,NA,wolfe_118_R_shoes-a,wolfe_118_R_shoes-as,wolfe_118_R_shoes-b,wolfe_118_R_shoes-bs,235.372,-1,14,8249,395,349
A25XUZYL1Q2HBW,NA,NA,wolfe_128_R_pot-a,wolfe_128_R_pot-as,wolfe_128_R_pot-b,wolfe_128_R_pot-bs,244.628,-1,15,8690,509,267
A25XUZYL1Q2HBW,NA,NA,wolfe_088_R_clock-a,wolfe_088_R_clock-as,wolfe_088_R_clock-b,wolfe_088_R_clock-bs,253.843,-1,16,7084,401,110
A25XUZYL1Q2HBW,NA,NA,wolfe_092_R_candles-a,wolfe_092_R_candles-as,wolfe_092_R_candles-b,wolfe_092_R_candles-bs,261.845,-1,17,7016,648,431
A25XUZYL1Q2HBW,NA,NA,wolfe_014_R_lamp-a,wolfe_014_R_lamp-as,wolfe_014_R_lamp-b,wolfe_014_R_lamp-bs,269.725,-1,18,6899,497,113
A25XUZYL1Q2HBW,NA,NA,wolfe_090_R_lamp-a,wolfe_090_R_lamp-as,wolfe_090_R_lamp-b,wolfe_090_R_lamp-bs,284.397,-1,19,11894,439,302
A25XUZYL1Q2HBW,NA,NA,wolfe_021_R_keyboard-a,wolfe_021_R_keyboard-as,wolfe_021_R_keyboard-b,wolfe_021_R_keyboard-bs,300.453,-1,20,14975,538,353
A25XUZYL1Q2HBW,NA,NA,wolfe_112_R_basket-a,wolfe_112_R_basket-as,wolfe_112_R_basket-b,wolfe_112_R_basket-bs,308.54,-1,21,6734,611,401
A25XUZYL1Q2HBW,NA,NA,wolfe_017_R_wood-a,wolfe_017_R_wood-as,wolfe_017_R_wood-b,wolfe_017_R_wood-bs,327.213,-1,22,12585,619,341
A25XUZYL1Q2HBW,NA,NA,wolfe_022_R_lamp-a,wolfe_022_R_lamp-as,wolfe_022_R_lamp-b,wolfe_022_R_lamp-bs,327.218,-1,23,15731,619,341
A25XUZYL1Q2HBW,NA,NA,wolfe_097_R_light-a,wolfe_097_R_light-as,wolfe_097_R_light-b,wolfe_097_R_light-bs,342.988,-1,24,15274,344,173
A25XUZYL1Q2HBW,NA,NA,wolfe_030_R_drawer-a,wolfe_030_R_drawer-as,wolfe_030_R_drawer-b,wolfe_030_R_drawer-bs,368.982,-1,25,25617,412,325
A25XUZYL1Q2HBW,NA,NA,wolfe_098_R_slippers-a,wolfe_098_R_slippers-as,wolfe_098_R_slippers-b,wolfe_098_R_slippers-bs,378.732,-1,26,9124,400,376
A25XUZYL1Q2HBW,NA,NA,wolfe_018_R_plant-a,wolfe_018_R_plant-as,wolfe_018_R_plant-b,wolfe_018_R_plant-bs,386.213,-1,27,6896,630,225
A25XUZYL1Q2HBW,NA,NA,wolfe_065_R_cd-a,wolfe_065_R_cd-as,wolfe_065_R_cd-b,wolfe_065_R_cd-bs,394.133,-1,28,7449,491,194
A25XUZYL1Q2HBW,NA,NA,wolfe_102_R_shoppingbag-a,wolfe_102_R_shoppingbag-as,wolfe_102_R_shoppingbag-b,wolfe_102_R_shoppingbag-bs,403.101,-1,29,8606,487,358
A25XUZYL1Q2HBW,NA,NA,wolfe_086_R_book-a,wolfe_086_R_book-as,wolfe_086_R_book-b,wolfe_086_R_book-bs,412.828,-1,30,8049,419,307
A25XUZYL1Q2HBW,NA,NA,wolfe_046_R_remote-a,wolfe_046_R_remote-as,wolfe_046_R_remote-b,wolfe_046_R_remote-bs,424.189,-1,31,10318,362,317
A25XUZYL1Q2HBW,NA,NA,wolfe_003_R_ducks-a,wolfe_003_R_ducks-as,wolfe_003_R_ducks-b,wolfe_003_R_ducks-bs,435.508,-1,32,8373,416,325
A25XUZYL1Q2HBW,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,435.514,-1,33,9443,416,325
