workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A28RL79ONUXTET,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,39.432,-1,1,9252,269,261
A28RL79ONUXTET,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,49.677,-1,2,9162,416,257
A28RL79ONUXTET,NA,NA,wolfe_075_R_light-a,wolfe_075_R_light-as,wolfe_075_R_light-b,wolfe_075_R_light-bs,75.098,-1,3,23886,530,53
A28RL79ONUXTET,NA,NA,wolfe_031_R_log-a,wolfe_031_R_log-as,wolfe_031_R_log-b,wolfe_031_R_log-bs,124.751,-1,4,48959,100,258
A28RL79ONUXTET,NA,NA,wolfe_107_R_shirts-a,wolfe_107_R_shirts-as,wolfe_107_R_shirts-b,wolfe_107_R_shirts-bs,136.74,-1,5,11235,530,248
A28RL79ONUXTET,NA,NA,wolfe_073_R_coffeemug-a,wolfe_073_R_coffeemug-as,wolfe_073_R_coffeemug-b,wolfe_073_R_coffeemug-bs,158.999,-1,6,21734,632,225
A28RL79ONUXTET,NA,NA,wolfe_089_R_poster-a,wolfe_089_R_poster-as,wolfe_089_R_poster-b,wolfe_089_R_poster-bs,166.843,-1,7,7002,354,124
A28RL79ONUXTET,NA,NA,wolfe_044_R_light-a,wolfe_044_R_light-as,wolfe_044_R_light-b,wolfe_044_R_light-bs,178.859,-1,8,11264,375,382
A28RL79ONUXTET,NA,NA,wolfe_087_R_towelhandle-a,wolfe_087_R_towelhandle-as,wolfe_087_R_towelhandle-b,wolfe_087_R_towelhandle-bs,188.467,-1,9,9038,612,351
A28RL79ONUXTET,NA,NA,wolfe_003_R_ducks-a,wolfe_003_R_ducks-as,wolfe_003_R_ducks-b,wolfe_003_R_ducks-bs,196.256,-1,10,6910,427,330
A28RL79ONUXTET,NA,NA,wolfe_037_R_towel-a,wolfe_037_R_towel-as,wolfe_037_R_towel-b,wolfe_037_R_towel-bs,208.268,-1,11,10930,345,227
A28RL79ONUXTET,NA,NA,wolfe_118_R_shoes-a,wolfe_118_R_shoes-as,wolfe_118_R_shoes-b,wolfe_118_R_shoes-bs,218.032,-1,12,9022,389,361
A28RL79ONUXTET,NA,NA,wolfe_049_R_painting-a,wolfe_049_R_painting-as,wolfe_049_R_painting-b,wolfe_049_R_painting-bs,225.736,-1,13,7049,520,136
A28RL79ONUXTET,NA,NA,wolfe_081_R_football-a,wolfe_081_R_football-as,wolfe_081_R_football-b,wolfe_081_R_football-bs,237.455,-1,14,10929,364,360
A28RL79ONUXTET,NA,NA,wolfe_101_R_cup-a,wolfe_101_R_cup-as,wolfe_101_R_cup-b,wolfe_101_R_cup-bs,247.066,-1,15,8962,347,147
A28RL79ONUXTET,NA,NA,wolfe_070_R_lamp-a,wolfe_070_R_lamp-as,wolfe_070_R_lamp-b,wolfe_070_R_lamp-bs,256.466,-1,16,8839,603,152
A28RL79ONUXTET,NA,NA,wolfe_012_R_tubaccesory-a,wolfe_012_R_tubaccesory-as,wolfe_012_R_tubaccesory-b,wolfe_012_R_tubaccesory-bs,266.095,-1,17,8767,446,350
A28RL79ONUXTET,NA,NA,wolfe_010_R_candle-a,wolfe_010_R_candle-as,wolfe_010_R_candle-b,wolfe_010_R_candle-bs,275.565,-1,18,8889,597,243
A28RL79ONUXTET,NA,NA,wolfe_040_R_painting-a,wolfe_040_R_painting-as,wolfe_040_R_painting-b,wolfe_040_R_painting-bs,285.409,-1,19,8939,516,73
A28RL79ONUXTET,NA,NA,wolfe_006_R_vase-a,wolfe_006_R_vase-as,wolfe_006_R_vase-b,wolfe_006_R_vase-bs,292.597,-1,20,6719,474,247
A28RL79ONUXTET,NA,NA,wolfe_100_R_mirror-a,wolfe_100_R_mirror-as,wolfe_100_R_mirror-b,wolfe_100_R_mirror-bs,302.348,-1,21,9220,328,287
A28RL79ONUXTET,NA,NA,wolfe_015_R_ceilinglight-a,wolfe_015_R_ceilinglight-as,wolfe_015_R_ceilinglight-b,wolfe_015_R_ceilinglight-bs,320.25,-1,22,17270,574,86
A28RL79ONUXTET,NA,NA,wolfe_043_R_clock-a,wolfe_043_R_clock-as,wolfe_043_R_clock-b,wolfe_043_R_clock-bs,336.199,-1,23,15279,456,216
A28RL79ONUXTET,NA,NA,wolfe_028_R_vase-a,wolfe_028_R_vase-as,wolfe_028_R_vase-b,wolfe_028_R_vase-bs,344.35,-1,24,7514,480,299
A28RL79ONUXTET,NA,NA,wolfe_090_R_lamp-a,wolfe_090_R_lamp-as,wolfe_090_R_lamp-b,wolfe_090_R_lamp-bs,353.873,-1,25,8785,438,300
A28RL79ONUXTET,NA,NA,wolfe_084_R_light-a,wolfe_084_R_light-as,wolfe_084_R_light-b,wolfe_084_R_light-bs,363.393,-1,26,8807,531,150
A28RL79ONUXTET,NA,NA,wolfe_095_R_candle-a,wolfe_095_R_candle-as,wolfe_095_R_candle-b,wolfe_095_R_candle-bs,370.933,-1,27,6912,474,284
A28RL79ONUXTET,NA,NA,wolfe_008_R_bottle-a,wolfe_008_R_bottle-as,wolfe_008_R_bottle-b,wolfe_008_R_bottle-bs,378.165,-1,28,6770,575,307
A28RL79ONUXTET,NA,NA,wolfe_017_R_wood-a,wolfe_017_R_wood-as,wolfe_017_R_wood-b,wolfe_017_R_wood-bs,415.234,-1,29,36275,630,314
A28RL79ONUXTET,NA,NA,wolfe_004_R_electricalgrid-a,wolfe_004_R_electricalgrid-as,wolfe_004_R_electricalgrid-b,wolfe_004_R_electricalgrid-bs,427.139,-1,30,10703,416,37
A28RL79ONUXTET,NA,NA,wolfe_046_R_remote-a,wolfe_046_R_remote-as,wolfe_046_R_remote-b,wolfe_046_R_remote-bs,434.592,-1,31,6740,372,323
A28RL79ONUXTET,NA,NA,wolfe_071_R_art-a,wolfe_071_R_art-as,wolfe_071_R_art-b,wolfe_071_R_art-bs,444.077,-1,32,8807,509,271
A28RL79ONUXTET,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,451.626,-1,33,6787,422,236
