workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2G7DTL156PTKA,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,422.455,-1,1,7611,238,235
A2G7DTL156PTKA,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,430.44,-1,2,6822,408,261
A2G7DTL156PTKA,NA,NA,wolfe_070_R_lamp-a,wolfe_070_R_lamp-as,wolfe_070_R_lamp-b,wolfe_070_R_lamp-bs,446.725,-1,3,15347,610,153
A2G7DTL156PTKA,NA,NA,wolfe_127_R_light-a,wolfe_127_R_light-as,wolfe_127_R_light-b,wolfe_127_R_light-bs,456.105,-1,4,8583,465,208
A2G7DTL156PTKA,NA,NA,wolfe_061_R_glass-a,wolfe_061_R_glass-as,wolfe_061_R_glass-b,wolfe_061_R_glass-bs,463.931,-1,5,6747,417,208
A2G7DTL156PTKA,NA,NA,wolfe_029_R_glass-a,wolfe_029_R_glass-as,wolfe_029_R_glass-b,wolfe_029_R_glass-bs,473.555,-1,6,8722,489,265
A2G7DTL156PTKA,NA,NA,wolfe_032_R_bottle-a,wolfe_032_R_bottle-as,wolfe_032_R_bottle-b,wolfe_032_R_bottle-bs,481.154,-1,7,6621,417,145
A2G7DTL156PTKA,NA,NA,wolfe_071_R_art-a,wolfe_071_R_art-as,wolfe_071_R_art-b,wolfe_071_R_art-bs,491.016,-1,8,8718,503,266
A2G7DTL156PTKA,NA,NA,wolfe_010_R_candle-a,wolfe_010_R_candle-as,wolfe_010_R_candle-b,wolfe_010_R_candle-bs,503.412,-1,9,10889,593,239
A2G7DTL156PTKA,NA,NA,wolfe_125_R_sofa-a,wolfe_125_R_sofa-as,wolfe_125_R_sofa-b,wolfe_125_R_sofa-bs,517.306,-1,10,13086,578,347
A2G7DTL156PTKA,NA,NA,wolfe_051_R_owl-a,wolfe_051_R_owl-as,wolfe_051_R_owl-b,wolfe_051_R_owl-bs,530.714,-1,11,12653,388,300
A2G7DTL156PTKA,NA,NA,wolfe_116_R_basket-a,wolfe_116_R_basket-as,wolfe_116_R_basket-b,wolfe_116_R_basket-bs,540.817,-1,12,9380,536,433
A2G7DTL156PTKA,NA,NA,wolfe_055_R_carpet-a,wolfe_055_R_carpet-as,wolfe_055_R_carpet-b,wolfe_055_R_carpet-bs,550.322,-1,13,8567,425,400
A2G7DTL156PTKA,NA,NA,wolfe_112_R_basket-a,wolfe_112_R_basket-as,wolfe_112_R_basket-b,wolfe_112_R_basket-bs,560.193,-1,14,9098,605,403
A2G7DTL156PTKA,NA,NA,wolfe_047_R_handle-a,wolfe_047_R_handle-as,wolfe_047_R_handle-b,wolfe_047_R_handle-bs,567.999,-1,15,6816,543,424
A2G7DTL156PTKA,NA,NA,wolfe_050_R_book-a,wolfe_050_R_book-as,wolfe_050_R_book-b,wolfe_050_R_book-bs,577.924,-1,16,8736,559,51
A2G7DTL156PTKA,NA,NA,wolfe_126_R_candles-a,wolfe_126_R_candles-as,wolfe_126_R_candles-b,wolfe_126_R_candles-bs,585.563,-1,17,6912,635,277
A2G7DTL156PTKA,NA,NA,wolfe_104_R_bottle-a,wolfe_104_R_bottle-as,wolfe_104_R_bottle-b,wolfe_104_R_bottle-bs,595.143,-1,18,8652,340,281
