workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2LF84L3K71GR2,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,32.927,-1,1,6634,260,253
A2LF84L3K71GR2,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,42.353,-1,2,6632,426,254
A2LF84L3K71GR2,NA,NA,wolfe_073_R_coffeemug-a,wolfe_073_R_coffeemug-as,wolfe_073_R_coffeemug-b,wolfe_073_R_coffeemug-bs,54.369,-1,3,6600,570,269
A2LF84L3K71GR2,NA,NA,wolfe_053_R_handle-a,wolfe_053_R_handle-as,wolfe_053_R_handle-b,wolfe_053_R_handle-bs,66.908,-1,4,6627,94,246
A2LF84L3K71GR2,NA,NA,wolfe_113_R_plant-a,wolfe_113_R_plant-as,wolfe_113_R_plant-b,wolfe_113_R_plant-bs,77.634,-1,5,6684,317,291
A2LF84L3K71GR2,NA,NA,wolfe_042_R_tap-a,wolfe_042_R_tap-as,wolfe_042_R_tap-b,wolfe_042_R_tap-bs,87.335,-1,6,6870,309,231
A2LF84L3K71GR2,NA,NA,wolfe_011_R_parfum-a,wolfe_011_R_parfum-as,wolfe_011_R_parfum-b,wolfe_011_R_parfum-bs,96.979,-1,7,6885,352,318
A2LF84L3K71GR2,NA,NA,wolfe_120_R_art-a,wolfe_120_R_art-as,wolfe_120_R_art-b,wolfe_120_R_art-bs,106.815,-1,8,7386,90,210
A2LF84L3K71GR2,NA,NA,wolfe_005_R_mirror-a,wolfe_005_R_mirror-as,wolfe_005_R_mirror-b,wolfe_005_R_mirror-bs,116.175,-1,9,7468,531,227
A2LF84L3K71GR2,NA,NA,wolfe_037_R_towel-a,wolfe_037_R_towel-as,wolfe_037_R_towel-b,wolfe_037_R_towel-bs,126.121,-1,10,7050,52,135
A2LF84L3K71GR2,NA,NA,wolfe_007_R_soap-a,wolfe_007_R_soap-as,wolfe_007_R_soap-b,wolfe_007_R_soap-bs,135.813,-1,11,7116,515,482
A2LF84L3K71GR2,NA,NA,wolfe_125_R_sofa-a,wolfe_125_R_sofa-as,wolfe_125_R_sofa-b,wolfe_125_R_sofa-bs,146.2,-1,12,8233,591,349
A2LF84L3K71GR2,NA,NA,wolfe_066_R_vase-a,wolfe_066_R_vase-as,wolfe_066_R_vase-b,wolfe_066_R_vase-bs,155.616,-1,13,7113,596,165
A2LF84L3K71GR2,NA,NA,wolfe_104_R_bottle-a,wolfe_104_R_bottle-as,wolfe_104_R_bottle-b,wolfe_104_R_bottle-bs,165.034,-1,14,7355,348,269
A2LF84L3K71GR2,NA,NA,wolfe_109_R_pillow-a,wolfe_109_R_pillow-as,wolfe_109_R_pillow-b,wolfe_109_R_pillow-bs,177.083,-1,15,8174,535,272
A2LF84L3K71GR2,NA,NA,wolfe_031_R_log-a,wolfe_031_R_log-as,wolfe_031_R_log-b,wolfe_031_R_log-bs,200.283,-1,16,21964,386,348
A2LF84L3K71GR2,NA,NA,wolfe_043_R_clock-a,wolfe_043_R_clock-as,wolfe_043_R_clock-b,wolfe_043_R_clock-bs,215.964,-1,17,13179,450,215
A2LF84L3K71GR2,NA,NA,wolfe_107_R_shirts-a,wolfe_107_R_shirts-as,wolfe_107_R_shirts-b,wolfe_107_R_shirts-bs,225.981,-1,18,7026,530,255
A2LF84L3K71GR2,NA,NA,wolfe_044_R_light-a,wolfe_044_R_light-as,wolfe_044_R_light-b,wolfe_044_R_light-bs,239.438,-1,19,11421,382,385
A2LF84L3K71GR2,NA,NA,wolfe_063_R_laptop-a,wolfe_063_R_laptop-as,wolfe_063_R_laptop-b,wolfe_063_R_laptop-bs,249.175,-1,20,7019,610,275
A2LF84L3K71GR2,NA,NA,wolfe_118_R_shoes-a,wolfe_118_R_shoes-as,wolfe_118_R_shoes-b,wolfe_118_R_shoes-bs,260.557,-1,21,8925,389,359
A2LF84L3K71GR2,NA,NA,wolfe_079_R_bowl-a,wolfe_079_R_bowl-as,wolfe_079_R_bowl-b,wolfe_079_R_bowl-bs,283.749,-1,22,18429,400,105
A2LF84L3K71GR2,NA,NA,wolfe_049_R_painting-a,wolfe_049_R_painting-as,wolfe_049_R_painting-b,wolfe_049_R_painting-bs,297.675,-1,23,11049,515,135
A2LF84L3K71GR2,NA,NA,wolfe_116_R_basket-a,wolfe_116_R_basket-as,wolfe_116_R_basket-b,wolfe_116_R_basket-bs,308.859,-1,24,8793,535,437
A2LF84L3K71GR2,NA,NA,wolfe_076_R_hook-a,wolfe_076_R_hook-as,wolfe_076_R_hook-b,wolfe_076_R_hook-bs,324.288,-1,25,13015,624,204
A2LF84L3K71GR2,NA,NA,wolfe_108_R_boa-a,wolfe_108_R_boa-as,wolfe_108_R_boa-b,wolfe_108_R_boa-bs,343.98,-1,26,17319,343,215
A2LF84L3K71GR2,NA,NA,wolfe_002_R_napkin-a,wolfe_002_R_napkin-as,wolfe_002_R_napkin-b,wolfe_002_R_napkin-bs,355.344,-1,27,9321,398,418
A2LF84L3K71GR2,NA,NA,wolfe_065_R_cd-a,wolfe_065_R_cd-as,wolfe_065_R_cd-b,wolfe_065_R_cd-bs,371.013,-1,28,13191,483,193
A2LF84L3K71GR2,NA,NA,wolfe_105_R_hat-a,wolfe_105_R_hat-as,wolfe_105_R_hat-b,wolfe_105_R_hat-bs,382.225,-1,29,8644,530,435
A2LF84L3K71GR2,NA,NA,wolfe_056_R_comforter-a,wolfe_056_R_comforter-as,wolfe_056_R_comforter-b,wolfe_056_R_comforter-bs,391.585,-1,30,6828,514,343
A2LF84L3K71GR2,NA,NA,wolfe_110_R_plant-a,wolfe_110_R_plant-as,wolfe_110_R_plant-b,wolfe_110_R_plant-bs,404.974,-1,31,10792,466,366
A2LF84L3K71GR2,NA,NA,wolfe_041_R_fruit-a,wolfe_041_R_fruit-as,wolfe_041_R_fruit-b,wolfe_041_R_fruit-bs,420.602,-1,32,13233,593,338
A2LF84L3K71GR2,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,429.582,-1,33,6799,412,197
