workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A35CRYBHUZZZHO,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,32.56,-1,1,6710,215,229
A35CRYBHUZZZHO,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,40.269,-1,2,4787,393,268
A35CRYBHUZZZHO,NA,NA,wolfe_029_R_glass-a,wolfe_029_R_glass-as,wolfe_029_R_glass-b,wolfe_029_R_glass-bs,58.555,-1,3,8667,484,265
A35CRYBHUZZZHO,NA,NA,wolfe_069_R_things-a,wolfe_069_R_things-as,wolfe_069_R_things-b,wolfe_069_R_things-bs,67.069,-1,4,6615,603,122
A35CRYBHUZZZHO,NA,NA,wolfe_084_R_light-a,wolfe_084_R_light-as,wolfe_084_R_light-b,wolfe_084_R_light-bs,73.844,-1,5,4732,539,145
A35CRYBHUZZZHO,NA,NA,wolfe_101_R_cup-a,wolfe_101_R_cup-as,wolfe_101_R_cup-b,wolfe_101_R_cup-bs,80.53,-1,6,4640,344,141
A35CRYBHUZZZHO,NA,NA,wolfe_127_R_light-a,wolfe_127_R_light-as,wolfe_127_R_light-b,wolfe_127_R_light-bs,87.151,-1,7,4780,464,197
A35CRYBHUZZZHO,NA,NA,wolfe_057_R_bin-a,wolfe_057_R_bin-as,wolfe_057_R_bin-b,wolfe_057_R_bin-bs,94.069,-1,8,4744,400,337
A35CRYBHUZZZHO,NA,NA,wolfe_113_R_plant-a,wolfe_113_R_plant-as,wolfe_113_R_plant-b,wolfe_113_R_plant-bs,100.936,-1,9,4710,366,261
A35CRYBHUZZZHO,NA,NA,wolfe_028_R_vase-a,wolfe_028_R_vase-as,wolfe_028_R_vase-b,wolfe_028_R_vase-bs,107.417,-1,10,4748,472,297
A35CRYBHUZZZHO,NA,NA,wolfe_098_R_slippers-a,wolfe_098_R_slippers-as,wolfe_098_R_slippers-b,wolfe_098_R_slippers-bs,116.343,-1,11,6442,405,372
A35CRYBHUZZZHO,NA,NA,wolfe_034_R_handle-a,wolfe_034_R_handle-as,wolfe_034_R_handle-b,wolfe_034_R_handle-bs,122.955,-1,12,4664,573,329
A35CRYBHUZZZHO,NA,NA,wolfe_035_R_fruit-a,wolfe_035_R_fruit-as,wolfe_035_R_fruit-b,wolfe_035_R_fruit-bs,129.265,-1,13,4566,520,281
A35CRYBHUZZZHO,NA,NA,wolfe_011_R_parfum-a,wolfe_011_R_parfum-as,wolfe_011_R_parfum-b,wolfe_011_R_parfum-bs,135.906,-1,14,4532,396,362
A35CRYBHUZZZHO,NA,NA,wolfe_051_R_owl-a,wolfe_051_R_owl-as,wolfe_051_R_owl-b,wolfe_051_R_owl-bs,142.813,-1,15,4572,399,311
A35CRYBHUZZZHO,NA,NA,wolfe_105_R_hat-a,wolfe_105_R_hat-as,wolfe_105_R_hat-b,wolfe_105_R_hat-bs,149.508,-1,16,4675,497,442
A35CRYBHUZZZHO,NA,NA,wolfe_066_R_vase-a,wolfe_066_R_vase-as,wolfe_066_R_vase-b,wolfe_066_R_vase-bs,156.118,-1,17,4654,557,170
A35CRYBHUZZZHO,NA,NA,wolfe_027_R_soapdish-a,wolfe_027_R_soapdish-as,wolfe_027_R_soapdish-b,wolfe_027_R_soapdish-bs,164.453,-1,18,6457,629,268
A35CRYBHUZZZHO,NA,NA,wolfe_041_R_fruit-a,wolfe_041_R_fruit-as,wolfe_041_R_fruit-b,wolfe_041_R_fruit-bs,170.8,-1,19,4696,607,335
A35CRYBHUZZZHO,NA,NA,wolfe_013_R_lamp-a,wolfe_013_R_lamp-as,wolfe_013_R_lamp-b,wolfe_013_R_lamp-bs,177.453,-1,20,4661,506,176
A35CRYBHUZZZHO,NA,NA,wolfe_068_R_faucet-a,wolfe_068_R_faucet-as,wolfe_068_R_faucet-b,wolfe_068_R_faucet-bs,184.299,-1,21,4618,378,305
A35CRYBHUZZZHO,NA,NA,wolfe_072_R_handle-a,wolfe_072_R_handle-as,wolfe_072_R_handle-b,wolfe_072_R_handle-bs,191.105,-1,22,4703,563,433
A35CRYBHUZZZHO,NA,NA,wolfe_031_R_log-a,wolfe_031_R_log-as,wolfe_031_R_log-b,wolfe_031_R_log-bs,199.39,-1,23,6467,512,18
A35CRYBHUZZZHO,NA,NA,wolfe_064_R_bottles-a,wolfe_064_R_bottles-as,wolfe_064_R_bottles-b,wolfe_064_R_bottles-bs,208.024,-1,24,5468,549,221
A35CRYBHUZZZHO,NA,NA,wolfe_071_R_art-a,wolfe_071_R_art-as,wolfe_071_R_art-b,wolfe_071_R_art-bs,214.615,-1,25,4747,516,269
A35CRYBHUZZZHO,NA,NA,wolfe_108_R_boa-a,wolfe_108_R_boa-as,wolfe_108_R_boa-b,wolfe_108_R_boa-bs,221.338,-1,26,4648,345,213
A35CRYBHUZZZHO,NA,NA,wolfe_123_R_pot-a,wolfe_123_R_pot-as,wolfe_123_R_pot-b,wolfe_123_R_pot-bs,227.94,-1,27,4708,643,377
A35CRYBHUZZZHO,NA,NA,wolfe_007_R_soap-a,wolfe_007_R_soap-as,wolfe_007_R_soap-b,wolfe_007_R_soap-bs,234.397,-1,28,4604,488,471
A35CRYBHUZZZHO,NA,NA,wolfe_107_R_shirts-a,wolfe_107_R_shirts-as,wolfe_107_R_shirts-b,wolfe_107_R_shirts-bs,243.602,-1,29,4712,529,260
A35CRYBHUZZZHO,NA,NA,wolfe_008_R_bottle-a,wolfe_008_R_bottle-as,wolfe_008_R_bottle-b,wolfe_008_R_bottle-bs,253.839,-1,30,8584,581,321
A35CRYBHUZZZHO,NA,NA,wolfe_006_R_vase-a,wolfe_006_R_vase-as,wolfe_006_R_vase-b,wolfe_006_R_vase-bs,260.409,-1,31,4713,466,254
A35CRYBHUZZZHO,NA,NA,wolfe_070_R_lamp-a,wolfe_070_R_lamp-as,wolfe_070_R_lamp-b,wolfe_070_R_lamp-bs,267.368,-1,32,4647,583,153
A35CRYBHUZZZHO,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,273.714,-1,33,4894,573,205
