workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A3H35QRODK1C4K,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,140.331,-1,1,7086,292,190
A3H35QRODK1C4K,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,148.95,-1,2,7200,401,226
A3H35QRODK1C4K,NA,NA,wolfe_033_R_vase-a,wolfe_033_R_vase-as,wolfe_033_R_vase-b,wolfe_033_R_vase-bs,163.686,-1,3,8384,488,294
A3H35QRODK1C4K,NA,NA,wolfe_095_R_candle-a,wolfe_095_R_candle-as,wolfe_095_R_candle-b,wolfe_095_R_candle-bs,185.485,-1,4,17789,136,284
A3H35QRODK1C4K,NA,NA,wolfe_035_R_fruit-a,wolfe_035_R_fruit-as,wolfe_035_R_fruit-b,wolfe_035_R_fruit-bs,185.487,-1,5,18913,136,284
A3H35QRODK1C4K,NA,NA,wolfe_073_R_coffeemug-a,wolfe_073_R_coffeemug-as,wolfe_073_R_coffeemug-b,wolfe_073_R_coffeemug-bs,201.246,-1,6,13217,625,231
A3H35QRODK1C4K,NA,NA,wolfe_082_R_bowl-a,wolfe_082_R_bowl-as,wolfe_082_R_bowl-b,wolfe_082_R_bowl-bs,217.08,-1,7,13239,573,424
A3H35QRODK1C4K,NA,NA,wolfe_125_R_sofa-a,wolfe_125_R_sofa-as,wolfe_125_R_sofa-b,wolfe_125_R_sofa-bs,230.015,-1,8,11235,575,358
A3H35QRODK1C4K,NA,NA,wolfe_008_R_bottle-a,wolfe_008_R_bottle-as,wolfe_008_R_bottle-b,wolfe_008_R_bottle-bs,243.142,-1,9,11542,583,300
A3H35QRODK1C4K,NA,NA,wolfe_128_R_pot-a,wolfe_128_R_pot-as,wolfe_128_R_pot-b,wolfe_128_R_pot-bs,252.185,-1,10,7254,485,267
A3H35QRODK1C4K,NA,NA,wolfe_093_R_switch-a,wolfe_093_R_switch-as,wolfe_093_R_switch-b,wolfe_093_R_switch-bs,268.67,-1,11,14841,540,359
A3H35QRODK1C4K,NA,NA,wolfe_013_R_lamp-a,wolfe_013_R_lamp-as,wolfe_013_R_lamp-b,wolfe_013_R_lamp-bs,305.317,-1,12,33850,523,173
A3H35QRODK1C4K,NA,NA,wolfe_076_R_hook-a,wolfe_076_R_hook-as,wolfe_076_R_hook-b,wolfe_076_R_hook-bs,316.213,-1,13,9455,621,218
A3H35QRODK1C4K,NA,NA,wolfe_087_R_towelhandle-a,wolfe_087_R_towelhandle-as,wolfe_087_R_towelhandle-b,wolfe_087_R_towelhandle-bs,326.816,-1,14,8886,617,334
A3H35QRODK1C4K,NA,NA,wolfe_028_R_vase-a,wolfe_028_R_vase-as,wolfe_028_R_vase-b,wolfe_028_R_vase-bs,338.458,-1,15,9092,487,297
A3H35QRODK1C4K,NA,NA,wolfe_089_R_poster-a,wolfe_089_R_poster-as,wolfe_089_R_poster-b,wolfe_089_R_poster-bs,351.169,-1,16,10899,363,119
A3H35QRODK1C4K,NA,NA,wolfe_053_R_handle-a,wolfe_053_R_handle-as,wolfe_053_R_handle-b,wolfe_053_R_handle-bs,365.399,-1,17,11467,495,329
A3H35QRODK1C4K,NA,NA,wolfe_110_R_plant-a,wolfe_110_R_plant-as,wolfe_110_R_plant-b,wolfe_110_R_plant-bs,394.81,-1,18,27801,470,372
A3H35QRODK1C4K,NA,NA,wolfe_043_R_clock-a,wolfe_043_R_clock-as,wolfe_043_R_clock-b,wolfe_043_R_clock-bs,412.193,-1,19,15224,457,214
A3H35QRODK1C4K,NA,NA,wolfe_074_R_book-a,wolfe_074_R_book-as,wolfe_074_R_book-b,wolfe_074_R_book-bs,422.827,-1,20,8513,417,326
A3H35QRODK1C4K,NA,NA,wolfe_064_R_bottles-a,wolfe_064_R_bottles-as,wolfe_064_R_bottles-b,wolfe_064_R_bottles-bs,431.715,-1,21,7044,547,229
A3H35QRODK1C4K,NA,NA,wolfe_020_R_walldeco-a,wolfe_020_R_walldeco-as,wolfe_020_R_walldeco-b,wolfe_020_R_walldeco-bs,447.728,-1,22,14710,656,133
