workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A3O5RKGH6VB19C,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,21.606,-1,1,10139,659,456
A3O5RKGH6VB19C,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,35.106,-1,2,12462,414,248
A3O5RKGH6VB19C,NA,NA,wolfe_076_L_hook-a,wolfe_076_L_hook-as,wolfe_076_L_hook-b,wolfe_076_L_hook-bs,66.16,-1,3,29701,42,209
A3O5RKGH6VB19C,NA,NA,wolfe_082_L_bowl-a,wolfe_082_L_bowl-as,wolfe_082_L_bowl-b,wolfe_082_L_bowl-bs,80.95,-1,4,13626,96,417
A3O5RKGH6VB19C,NA,NA,wolfe_063_L_laptop-a,wolfe_063_L_laptop-as,wolfe_063_L_laptop-b,wolfe_063_L_laptop-bs,101.991,-1,5,19883,52,280
A3O5RKGH6VB19C,NA,NA,wolfe_073_L_coffeemug-a,wolfe_073_L_coffeemug-as,wolfe_073_L_coffeemug-b,wolfe_073_L_coffeemug-bs,129.478,-1,6,26408,41,229
A3O5RKGH6VB19C,NA,NA,wolfe_079_L_bowl-a,wolfe_079_L_bowl-as,wolfe_079_L_bowl-b,wolfe_079_L_bowl-bs,148.2,-1,7,17522,267,105
A3O5RKGH6VB19C,NA,NA,wolfe_083_L_knob-a,wolfe_083_L_knob-as,wolfe_083_L_knob-b,wolfe_083_L_knob-bs,171.997,-1,8,21720,75,377
A3O5RKGH6VB19C,NA,NA,wolfe_124_L_vase-a,wolfe_124_L_vase-as,wolfe_124_L_vase-b,wolfe_124_L_vase-bs,180.498,-1,9,6855,193,363
A3O5RKGH6VB19C,NA,NA,wolfe_068_L_faucet-a,wolfe_068_L_faucet-as,wolfe_068_L_faucet-b,wolfe_068_L_faucet-bs,212.402,-1,10,29787,288,307
A3O5RKGH6VB19C,NA,NA,wolfe_028_L_vase-a,wolfe_028_L_vase-as,wolfe_028_L_vase-b,wolfe_028_L_vase-bs,233.843,-1,11,19408,188,298
A3O5RKGH6VB19C,NA,NA,wolfe_034_L_handle-a,wolfe_034_L_handle-as,wolfe_034_L_handle-b,wolfe_034_L_handle-bs,258.068,-1,12,23774,97,323
A3O5RKGH6VB19C,NA,NA,wolfe_008_L_bottle-a,wolfe_008_L_bottle-as,wolfe_008_L_bottle-b,wolfe_008_L_bottle-bs,276.456,-1,13,17203,82,297
A3O5RKGH6VB19C,NA,NA,wolfe_074_L_book-a,wolfe_074_L_book-as,wolfe_074_L_book-b,wolfe_074_L_book-bs,288.588,-1,14,10866,254,322
A3O5RKGH6VB19C,NA,NA,wolfe_035_L_fruit-a,wolfe_035_L_fruit-as,wolfe_035_L_fruit-b,wolfe_035_L_fruit-bs,296.923,-1,15,7028,137,288
A3O5RKGH6VB19C,NA,NA,wolfe_114_L_bird-a,wolfe_114_L_bird-as,wolfe_114_L_bird-b,wolfe_114_L_bird-bs,307.638,-1,16,8787,294,356
A3O5RKGH6VB19C,NA,NA,wolfe_102_L_shoppingbag-a,wolfe_102_L_shoppingbag-as,wolfe_102_L_shoppingbag-b,wolfe_102_L_shoppingbag-bs,321.028,-1,17,12585,181,363
A3O5RKGH6VB19C,NA,NA,wolfe_120_L_art-a,wolfe_120_L_art-as,wolfe_120_L_art-b,wolfe_120_L_art-bs,333.462,-1,18,10962,215,145
A3O5RKGH6VB19C,NA,NA,wolfe_056_L_comforter-a,wolfe_056_L_comforter-as,wolfe_056_L_comforter-b,wolfe_056_L_comforter-bs,345.917,-1,19,10949,154,335
A3O5RKGH6VB19C,NA,NA,wolfe_121_L_car-a,wolfe_121_L_car-as,wolfe_121_L_car-b,wolfe_121_L_car-bs,356.143,-1,20,9074,47,350
A3O5RKGH6VB19C,NA,NA,wolfe_025_L_vase-a,wolfe_025_L_vase-as,wolfe_025_L_vase-b,wolfe_025_L_vase-bs,376.346,-1,21,18905,36,315
A3O5RKGH6VB19C,NA,NA,wolfe_090_L_lamp-a,wolfe_090_L_lamp-as,wolfe_090_L_lamp-b,wolfe_090_L_lamp-bs,385.843,-1,22,8726,228,299
A3O5RKGH6VB19C,NA,NA,wolfe_014_L_lamp-a,wolfe_014_L_lamp-as,wolfe_014_L_lamp-b,wolfe_014_L_lamp-bs,397.47,-1,23,10631,165,120
A3O5RKGH6VB19C,NA,NA,wolfe_103_L_hook-a,wolfe_103_L_hook-as,wolfe_103_L_hook-b,wolfe_103_L_hook-bs,439.034,-1,24,39948,18,99
A3O5RKGH6VB19C,NA,NA,wolfe_112_L_basket-a,wolfe_112_L_basket-as,wolfe_112_L_basket-b,wolfe_112_L_basket-bs,453.403,-1,25,13289,60,395
