workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AUFOO8PU2BK37,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,132.634,-1,1,52372,360,229
AUFOO8PU2BK37,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,146.617,-1,2,12223,408,248
AUFOO8PU2BK37,NA,NA,wolfe_010_R_candle-a,wolfe_010_R_candle-as,wolfe_010_R_candle-b,wolfe_010_R_candle-bs,174.826,-1,3,26273,266,208
AUFOO8PU2BK37,NA,NA,wolfe_012_R_tubaccesory-a,wolfe_012_R_tubaccesory-as,wolfe_012_R_tubaccesory-b,wolfe_012_R_tubaccesory-bs,191.122,-1,4,14898,547,241
AUFOO8PU2BK37,NA,NA,wolfe_045_R_musicdock-a,wolfe_045_R_musicdock-as,wolfe_045_R_musicdock-b,wolfe_045_R_musicdock-bs,204.21,-1,5,10122,587,270
AUFOO8PU2BK37,NA,NA,wolfe_051_R_owl-a,wolfe_051_R_owl-as,wolfe_051_R_owl-b,wolfe_051_R_owl-bs,215.386,-1,6,9669,391,303
AUFOO8PU2BK37,NA,NA,wolfe_107_R_shirts-a,wolfe_107_R_shirts-as,wolfe_107_R_shirts-b,wolfe_107_R_shirts-bs,224.914,-1,7,7639,517,249
AUFOO8PU2BK37,NA,NA,wolfe_041_R_fruit-a,wolfe_041_R_fruit-as,wolfe_041_R_fruit-b,wolfe_041_R_fruit-bs,233.962,-1,8,7552,611,350
AUFOO8PU2BK37,NA,NA,wolfe_043_R_clock-a,wolfe_043_R_clock-as,wolfe_043_R_clock-b,wolfe_043_R_clock-bs,257.538,-1,9,22225,446,207
AUFOO8PU2BK37,NA,NA,wolfe_068_R_faucet-a,wolfe_068_R_faucet-as,wolfe_068_R_faucet-b,wolfe_068_R_faucet-bs,283.538,-1,10,24376,376,307
AUFOO8PU2BK37,NA,NA,wolfe_009_R_carpet-a,wolfe_009_R_carpet-as,wolfe_009_R_carpet-b,wolfe_009_R_carpet-bs,293.242,-1,11,8495,414,435
AUFOO8PU2BK37,NA,NA,wolfe_110_R_plant-a,wolfe_110_R_plant-as,wolfe_110_R_plant-b,wolfe_110_R_plant-bs,305.594,-1,12,11138,468,367
AUFOO8PU2BK37,NA,NA,wolfe_093_R_switch-a,wolfe_093_R_switch-as,wolfe_093_R_switch-b,wolfe_093_R_switch-bs,326.49,-1,13,19285,541,357
AUFOO8PU2BK37,NA,NA,wolfe_049_R_painting-a,wolfe_049_R_painting-as,wolfe_049_R_painting-b,wolfe_049_R_painting-bs,339.842,-1,14,11678,532,137
AUFOO8PU2BK37,NA,NA,wolfe_050_R_book-a,wolfe_050_R_book-as,wolfe_050_R_book-b,wolfe_050_R_book-bs,349.834,-1,15,8517,567,65
AUFOO8PU2BK37,NA,NA,wolfe_071_R_art-a,wolfe_071_R_art-as,wolfe_071_R_art-b,wolfe_071_R_art-bs,360.57,-1,16,8772,500,264
AUFOO8PU2BK37,NA,NA,wolfe_074_R_book-a,wolfe_074_R_book-as,wolfe_074_R_book-b,wolfe_074_R_book-bs,371.17,-1,17,8742,431,328
AUFOO8PU2BK37,NA,NA,wolfe_054_R_firewood-a,wolfe_054_R_firewood-as,wolfe_054_R_firewood-b,wolfe_054_R_firewood-bs,383.738,-1,18,11103,600,313
AUFOO8PU2BK37,NA,NA,wolfe_062_R_flowers-a,wolfe_062_R_flowers-as,wolfe_062_R_flowers-b,wolfe_062_R_flowers-bs,393.715,-1,19,8585,553,278
AUFOO8PU2BK37,NA,NA,wolfe_070_R_lamp-a,wolfe_070_R_lamp-as,wolfe_070_R_lamp-b,wolfe_070_R_lamp-bs,402.482,-1,20,6838,590,157
AUFOO8PU2BK37,NA,NA,wolfe_011_R_parfum-a,wolfe_011_R_parfum-as,wolfe_011_R_parfum-b,wolfe_011_R_parfum-bs,414.666,-1,21,10556,384,327
AUFOO8PU2BK37,NA,NA,wolfe_016_R_art-a,wolfe_016_R_art-as,wolfe_016_R_art-b,wolfe_016_R_art-bs,429.066,-1,22,12655,612,200
