workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A17M8NL5LMUB8S,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,57.533,-1,1,11282,309,231
A17M8NL5LMUB8S,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,68.646,-1,2,9081,410,253
A17M8NL5LMUB8S,NA,NA,wolfe_013_R_lamp-a,wolfe_013_R_lamp-as,wolfe_013_R_lamp-b,wolfe_013_R_lamp-bs,82.35,-1,3,10786,520,173
A17M8NL5LMUB8S,NA,NA,wolfe_122_R_chair-a,wolfe_122_R_chair-as,wolfe_122_R_chair-b,wolfe_122_R_chair-bs,91.077,-1,4,6490,400,162
A17M8NL5LMUB8S,NA,NA,wolfe_111_R_pot-a,wolfe_111_R_pot-as,wolfe_111_R_pot-b,wolfe_111_R_pot-bs,101.87,-1,5,8547,469,385
A17M8NL5LMUB8S,NA,NA,wolfe_078_R_faucet-a,wolfe_078_R_faucet-as,wolfe_078_R_faucet-b,wolfe_078_R_faucet-bs,112.886,-1,6,6668,400,383
A17M8NL5LMUB8S,NA,NA,wolfe_112_R_basket-a,wolfe_112_R_basket-as,wolfe_112_R_basket-b,wolfe_112_R_basket-bs,121.478,-1,7,6473,596,397
A17M8NL5LMUB8S,NA,NA,wolfe_105_R_hat-a,wolfe_105_R_hat-as,wolfe_105_R_hat-b,wolfe_105_R_hat-bs,132.038,-1,8,8664,549,424
A17M8NL5LMUB8S,NA,NA,wolfe_065_R_cd-a,wolfe_065_R_cd-as,wolfe_065_R_cd-b,wolfe_065_R_cd-bs,140.246,-1,9,6517,486,197
A17M8NL5LMUB8S,NA,NA,wolfe_114_R_bird-a,wolfe_114_R_bird-as,wolfe_114_R_bird-b,wolfe_114_R_bird-bs,148.566,-1,10,6570,374,362
A17M8NL5LMUB8S,NA,NA,wolfe_018_R_plant-a,wolfe_018_R_plant-as,wolfe_018_R_plant-b,wolfe_018_R_plant-bs,154.198,-1,11,4675,592,253
A17M8NL5LMUB8S,NA,NA,wolfe_117_R_plant_sized-a,wolfe_117_R_plant_sized-as,wolfe_117_R_plant_sized-b,wolfe_117_R_plant_sized-bs,159.414,-1,12,4606,585,331
A17M8NL5LMUB8S,NA,NA,wolfe_071_R_art-a,wolfe_071_R_art-as,wolfe_071_R_art-b,wolfe_071_R_art-bs,164.75,-1,13,4612,504,264
A17M8NL5LMUB8S,NA,NA,wolfe_088_R_clock-a,wolfe_088_R_clock-as,wolfe_088_R_clock-b,wolfe_088_R_clock-bs,171.533,-1,14,6498,411,71
A17M8NL5LMUB8S,NA,NA,wolfe_115_R_pot-a,wolfe_115_R_pot-as,wolfe_115_R_pot-b,wolfe_115_R_pot-bs,178.174,-1,15,6463,540,235
A17M8NL5LMUB8S,NA,NA,wolfe_005_R_mirror-a,wolfe_005_R_mirror-as,wolfe_005_R_mirror-b,wolfe_005_R_mirror-bs,186.021,-1,16,7300,515,231
A17M8NL5LMUB8S,NA,NA,wolfe_072_R_handle-a,wolfe_072_R_handle-as,wolfe_072_R_handle-b,wolfe_072_R_handle-bs,193.511,-1,17,6836,577,445
A17M8NL5LMUB8S,NA,NA,wolfe_076_R_hook-a,wolfe_076_R_hook-as,wolfe_076_R_hook-b,wolfe_076_R_hook-bs,200.366,-1,18,6478,627,197
A17M8NL5LMUB8S,NA,NA,wolfe_081_R_football-a,wolfe_081_R_football-as,wolfe_081_R_football-b,wolfe_081_R_football-bs,208.254,-1,19,6832,361,353
A17M8NL5LMUB8S,NA,NA,wolfe_003_R_ducks-a,wolfe_003_R_ducks-as,wolfe_003_R_ducks-b,wolfe_003_R_ducks-bs,215.781,-1,20,6563,426,329
A17M8NL5LMUB8S,NA,NA,wolfe_017_R_wood-a,wolfe_017_R_wood-as,wolfe_017_R_wood-b,wolfe_017_R_wood-bs,239.285,-1,21,18663,54,348
A17M8NL5LMUB8S,NA,NA,wolfe_040_R_painting-a,wolfe_040_R_painting-as,wolfe_040_R_painting-b,wolfe_040_R_painting-bs,246.19,-1,22,6400,541,78
A17M8NL5LMUB8S,NA,NA,wolfe_037_R_towel-a,wolfe_037_R_towel-as,wolfe_037_R_towel-b,wolfe_037_R_towel-bs,253.67,-1,23,6893,341,225
A17M8NL5LMUB8S,NA,NA,wolfe_043_R_clock-a,wolfe_043_R_clock-as,wolfe_043_R_clock-b,wolfe_043_R_clock-bs,260.934,-1,24,6931,453,209
