workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A1XVEKS9O73ERE,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,35.182,-1,1,4539,514,301
A1XVEKS9O73ERE,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,45.022,-1,2,7350,311,243
A1XVEKS9O73ERE,NA,NA,wolfe_028_L_vase-a,wolfe_028_L_vase-as,wolfe_028_L_vase-b,wolfe_028_L_vase-bs,54.318,-1,3,6407,237,264
A1XVEKS9O73ERE,NA,NA,wolfe_061_L_glass-a,wolfe_061_L_glass-as,wolfe_061_L_glass-b,wolfe_061_L_glass-bs,64.174,-1,4,7515,252,208
A1XVEKS9O73ERE,NA,NA,wolfe_009_L_carpet-a,wolfe_009_L_carpet-as,wolfe_009_L_carpet-b,wolfe_009_L_carpet-bs,73.966,-1,5,7672,150,290
A1XVEKS9O73ERE,NA,NA,wolfe_116_L_basket-a,wolfe_116_L_basket-as,wolfe_116_L_basket-b,wolfe_116_L_basket-bs,82.863,-1,6,7247,136,444
A1XVEKS9O73ERE,NA,NA,wolfe_085_L_switchboard-a,wolfe_085_L_switchboard-as,wolfe_085_L_switchboard-b,wolfe_085_L_switchboard-bs,92.166,-1,7,7055,180,292
A1XVEKS9O73ERE,NA,NA,wolfe_020_L_walldeco-a,wolfe_020_L_walldeco-as,wolfe_020_L_walldeco-b,wolfe_020_L_walldeco-bs,100.646,-1,8,6733,13,118
A1XVEKS9O73ERE,NA,NA,wolfe_106_L_toweldispenser-a,wolfe_106_L_toweldispenser-as,wolfe_106_L_toweldispenser-b,wolfe_106_L_toweldispenser-bs,109.182,-1,9,6639,262,145
A1XVEKS9O73ERE,NA,NA,wolfe_058_L_clutch-a,wolfe_058_L_clutch-as,wolfe_058_L_clutch-b,wolfe_058_L_clutch-bs,115.926,-1,10,5043,179,366
A1XVEKS9O73ERE,NA,NA,wolfe_056_L_comforter-a,wolfe_056_L_comforter-as,wolfe_056_L_comforter-b,wolfe_056_L_comforter-bs,122.486,-1,11,5167,165,331
A1XVEKS9O73ERE,NA,NA,wolfe_023_L_remote-a,wolfe_023_L_remote-as,wolfe_023_L_remote-b,wolfe_023_L_remote-bs,129.462,-1,12,5037,249,447
A1XVEKS9O73ERE,NA,NA,wolfe_049_L_painting-a,wolfe_049_L_painting-as,wolfe_049_L_painting-b,wolfe_049_L_painting-bs,136.334,-1,13,5214,152,142
A1XVEKS9O73ERE,NA,NA,wolfe_105_L_hat-a,wolfe_105_L_hat-as,wolfe_105_L_hat-b,wolfe_105_L_hat-bs,143.022,-1,14,5103,136,417
A1XVEKS9O73ERE,NA,NA,wolfe_101_L_cup-a,wolfe_101_L_cup-as,wolfe_101_L_cup-b,wolfe_101_L_cup-bs,151.494,-1,15,6684,312,146
A1XVEKS9O73ERE,NA,NA,wolfe_046_L_remote-a,wolfe_046_L_remote-as,wolfe_046_L_remote-b,wolfe_046_L_remote-bs,159.438,-1,16,6034,293,321
A1XVEKS9O73ERE,NA,NA,wolfe_014_L_lamp-a,wolfe_014_L_lamp-as,wolfe_014_L_lamp-b,wolfe_014_L_lamp-bs,166.829,-1,17,5016,190,140
A1XVEKS9O73ERE,NA,NA,wolfe_062_L_flowers-a,wolfe_062_L_flowers-as,wolfe_062_L_flowers-b,wolfe_062_L_flowers-bs,173.31,-1,18,4808,103,277
A1XVEKS9O73ERE,NA,NA,wolfe_016_L_art-a,wolfe_016_L_art-as,wolfe_016_L_art-b,wolfe_016_L_art-bs,179.99,-1,19,4775,66,176
