workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A288RSAGJBLY9,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,25.564,-1,1,7488,309,294
A288RSAGJBLY9,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,34.002,-1,2,6781,407,270
A288RSAGJBLY9,NA,NA,wolfe_123_L_pot-a,wolfe_123_L_pot-as,wolfe_123_L_pot-b,wolfe_123_L_pot-bs,42.564,-1,3,6759,27,382
A288RSAGJBLY9,NA,NA,wolfe_126_L_candles-a,wolfe_126_L_candles-as,wolfe_126_L_candles-b,wolfe_126_L_candles-bs,50.372,-1,4,6445,32,285
A288RSAGJBLY9,NA,NA,wolfe_121_L_car-a,wolfe_121_L_car-as,wolfe_121_L_car-b,wolfe_121_L_car-bs,59.688,-1,5,7963,43,341
A288RSAGJBLY9,NA,NA,wolfe_073_L_coffeemug-a,wolfe_073_L_coffeemug-as,wolfe_073_L_coffeemug-b,wolfe_073_L_coffeemug-bs,81.121,-1,6,19462,44,229
A288RSAGJBLY9,NA,NA,wolfe_089_L_poster-a,wolfe_089_L_poster-as,wolfe_089_L_poster-b,wolfe_089_L_poster-bs,89.098,-1,7,6566,295,133
A288RSAGJBLY9,NA,NA,wolfe_053_L_handle-a,wolfe_053_L_handle-as,wolfe_053_L_handle-b,wolfe_053_L_handle-bs,97.401,-1,8,6646,175,327
A288RSAGJBLY9,NA,NA,wolfe_024_L_towels-a,wolfe_024_L_towels-as,wolfe_024_L_towels-b,wolfe_024_L_towels-bs,103.802,-1,9,4913,293,426
A288RSAGJBLY9,NA,NA,wolfe_068_L_faucet-a,wolfe_068_L_faucet-as,wolfe_068_L_faucet-b,wolfe_068_L_faucet-bs,110.462,-1,10,4768,309,306
A288RSAGJBLY9,NA,NA,wolfe_033_L_vase-a,wolfe_033_L_vase-as,wolfe_033_L_vase-b,wolfe_033_L_vase-bs,118.607,-1,11,6591,78,205
A288RSAGJBLY9,NA,NA,wolfe_087_L_towelhandle-a,wolfe_087_L_towelhandle-as,wolfe_087_L_towelhandle-b,wolfe_087_L_towelhandle-bs,126.416,-1,12,6423,42,347
A288RSAGJBLY9,NA,NA,wolfe_080_L_plant-a,wolfe_080_L_plant-as,wolfe_080_L_plant-b,wolfe_080_L_plant-bs,134.709,-1,13,6612,314,248
A288RSAGJBLY9,NA,NA,wolfe_050_L_book-a,wolfe_050_L_book-as,wolfe_050_L_book-b,wolfe_050_L_book-bs,142.809,-1,14,6602,109,60
