workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2B4GWF7MF7AOB,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,307.338,-1,1,7837,336,308
A2B4GWF7MF7AOB,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,314.796,-1,2,6698,387,257
A2B4GWF7MF7AOB,NA,NA,wolfe_112_R_basket-a,wolfe_112_R_basket-as,wolfe_112_R_basket-b,wolfe_112_R_basket-bs,328.737,-1,3,12908,620,412
A2B4GWF7MF7AOB,NA,NA,wolfe_104_R_bottle-a,wolfe_104_R_bottle-as,wolfe_104_R_bottle-b,wolfe_104_R_bottle-bs,342.939,-1,4,13551,345,275
A2B4GWF7MF7AOB,NA,NA,wolfe_013_R_lamp-a,wolfe_013_R_lamp-as,wolfe_013_R_lamp-b,wolfe_013_R_lamp-bs,365.984,-1,5,21975,515,175
A2B4GWF7MF7AOB,NA,NA,wolfe_117_R_plant_sized-a,wolfe_117_R_plant_sized-as,wolfe_117_R_plant_sized-b,wolfe_117_R_plant_sized-bs,375.536,-1,6,8942,602,314
A2B4GWF7MF7AOB,NA,NA,wolfe_043_R_clock-a,wolfe_043_R_clock-as,wolfe_043_R_clock-b,wolfe_043_R_clock-bs,386.716,-1,7,10221,457,202
A2B4GWF7MF7AOB,NA,NA,wolfe_091_R_airfreshener-a,wolfe_091_R_airfreshener-as,wolfe_091_R_airfreshener-b,wolfe_091_R_airfreshener-bs,432.973,-1,8,45650,425,282
A2B4GWF7MF7AOB,NA,NA,wolfe_037_R_towel-a,wolfe_037_R_towel-as,wolfe_037_R_towel-b,wolfe_037_R_towel-bs,447.747,-1,9,13777,345,226
A2B4GWF7MF7AOB,NA,NA,wolfe_044_R_light-a,wolfe_044_R_light-as,wolfe_044_R_light-b,wolfe_044_R_light-bs,480.527,-1,10,31871,379,371
A2B4GWF7MF7AOB,NA,NA,wolfe_005_R_mirror-a,wolfe_005_R_mirror-as,wolfe_005_R_mirror-b,wolfe_005_R_mirror-bs,492.752,-1,11,11441,517,213
A2B4GWF7MF7AOB,NA,NA,wolfe_015_R_ceilinglight-a,wolfe_015_R_ceilinglight-as,wolfe_015_R_ceilinglight-b,wolfe_015_R_ceilinglight-bs,508.71,-1,12,15234,395,226
A2B4GWF7MF7AOB,NA,NA,wolfe_082_R_bowl-a,wolfe_082_R_bowl-as,wolfe_082_R_bowl-b,wolfe_082_R_bowl-bs,516.459,-1,13,6979,580,431
A2B4GWF7MF7AOB,NA,NA,wolfe_071_R_art-a,wolfe_071_R_art-as,wolfe_071_R_art-b,wolfe_071_R_art-bs,524.152,-1,14,6911,494,261
A2B4GWF7MF7AOB,NA,NA,wolfe_118_R_shoes-a,wolfe_118_R_shoes-as,wolfe_118_R_shoes-b,wolfe_118_R_shoes-bs,536.092,-1,15,10940,393,348
A2B4GWF7MF7AOB,NA,NA,wolfe_098_R_slippers-a,wolfe_098_R_slippers-as,wolfe_098_R_slippers-b,wolfe_098_R_slippers-bs,546.246,-1,16,9285,399,361
A2B4GWF7MF7AOB,NA,NA,wolfe_008_R_bottle-a,wolfe_008_R_bottle-as,wolfe_008_R_bottle-b,wolfe_008_R_bottle-bs,560.126,-1,17,12858,577,305
A2B4GWF7MF7AOB,NA,NA,wolfe_047_R_handle-a,wolfe_047_R_handle-as,wolfe_047_R_handle-b,wolfe_047_R_handle-bs,568.245,-1,18,7080,542,415
A2B4GWF7MF7AOB,NA,NA,wolfe_066_R_vase-a,wolfe_066_R_vase-as,wolfe_066_R_vase-b,wolfe_066_R_vase-bs,576.617,-1,19,6985,603,175
A2B4GWF7MF7AOB,NA,NA,wolfe_067_R_painting-a,wolfe_067_R_painting-as,wolfe_067_R_painting-b,wolfe_067_R_painting-bs,584.275,-1,20,6759,619,315
A2B4GWF7MF7AOB,NA,NA,wolfe_079_R_bowl-a,wolfe_079_R_bowl-as,wolfe_079_R_bowl-b,wolfe_079_R_bowl-bs,598.162,-1,21,12861,405,97
A2B4GWF7MF7AOB,NA,NA,wolfe_030_R_drawer-a,wolfe_030_R_drawer-as,wolfe_030_R_drawer-b,wolfe_030_R_drawer-bs,619.752,-1,22,20900,405,188
A2B4GWF7MF7AOB,NA,NA,wolfe_004_R_electricalgrid-a,wolfe_004_R_electricalgrid-as,wolfe_004_R_electricalgrid-b,wolfe_004_R_electricalgrid-bs,638.273,-1,23,17764,434,12
A2B4GWF7MF7AOB,NA,NA,wolfe_070_R_lamp-a,wolfe_070_R_lamp-as,wolfe_070_R_lamp-b,wolfe_070_R_lamp-bs,646.045,-1,24,6982,590,149
A2B4GWF7MF7AOB,NA,NA,wolfe_063_R_laptop-a,wolfe_063_R_laptop-as,wolfe_063_R_laptop-b,wolfe_063_R_laptop-bs,653.91,-1,25,6772,597,271
A2B4GWF7MF7AOB,NA,NA,wolfe_111_R_pot-a,wolfe_111_R_pot-as,wolfe_111_R_pot-b,wolfe_111_R_pot-bs,663.685,-1,26,8697,463,379
A2B4GWF7MF7AOB,NA,NA,wolfe_110_R_plant-a,wolfe_110_R_plant-as,wolfe_110_R_plant-b,wolfe_110_R_plant-bs,675.823,-1,27,11526,471,344
A2B4GWF7MF7AOB,NA,NA,wolfe_115_R_pot-a,wolfe_115_R_pot-as,wolfe_115_R_pot-b,wolfe_115_R_pot-bs,685.762,-1,28,8830,538,219
A2B4GWF7MF7AOB,NA,NA,wolfe_059_R_car-a,wolfe_059_R_car-as,wolfe_059_R_car-b,wolfe_059_R_car-bs,731.387,-1,29,44744,453,147
A2B4GWF7MF7AOB,NA,NA,wolfe_060_R_pillow-a,wolfe_060_R_pillow-as,wolfe_060_R_pillow-b,wolfe_060_R_pillow-bs,745.998,-1,30,13964,392,282
A2B4GWF7MF7AOB,NA,NA,wolfe_108_R_boa-a,wolfe_108_R_boa-as,wolfe_108_R_boa-b,wolfe_108_R_boa-bs,763.832,-1,31,17197,334,201
A2B4GWF7MF7AOB,NA,NA,wolfe_028_R_vase-a,wolfe_028_R_vase-as,wolfe_028_R_vase-b,wolfe_028_R_vase-bs,773.973,-1,32,9004,482,294
A2B4GWF7MF7AOB,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,781.777,-1,33,7182,401,251
