workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2DWDTU1KVNISP,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,89.815,-1,1,6689,268,241
A2DWDTU1KVNISP,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,98.319,-1,2,6474,405,273
A2DWDTU1KVNISP,NA,NA,wolfe_070_L_lamp-a,wolfe_070_L_lamp-as,wolfe_070_L_lamp-b,wolfe_070_L_lamp-bs,107.201,-1,3,6542,413,255
A2DWDTU1KVNISP,NA,NA,wolfe_082_L_bowl-a,wolfe_082_L_bowl-as,wolfe_082_L_bowl-b,wolfe_082_L_bowl-bs,117.208,-1,4,8056,119,416
A2DWDTU1KVNISP,NA,NA,wolfe_099_L_sconce-a,wolfe_099_L_sconce-as,wolfe_099_L_sconce-b,wolfe_099_L_sconce-bs,126.295,-1,5,7166,189,180
A2DWDTU1KVNISP,NA,NA,wolfe_069_L_things-a,wolfe_069_L_things-as,wolfe_069_L_things-b,wolfe_069_L_things-bs,134.795,-1,6,6977,103,128
A2DWDTU1KVNISP,NA,NA,wolfe_078_L_faucet-a,wolfe_078_L_faucet-as,wolfe_078_L_faucet-b,wolfe_078_L_faucet-bs,142.911,-1,7,6790,580,210
A2DWDTU1KVNISP,NA,NA,wolfe_128_L_pot-a,wolfe_128_L_pot-as,wolfe_128_L_pot-b,wolfe_128_L_pot-bs,153.413,-1,8,6619,141,112
A2DWDTU1KVNISP,NA,NA,wolfe_041_L_fruit-a,wolfe_041_L_fruit-as,wolfe_041_L_fruit-b,wolfe_041_L_fruit-bs,161.863,-1,9,6840,52,339
A2DWDTU1KVNISP,NA,NA,wolfe_102_L_shoppingbag-a,wolfe_102_L_shoppingbag-as,wolfe_102_L_shoppingbag-b,wolfe_102_L_shoppingbag-bs,170.323,-1,10,6620,192,370
A2DWDTU1KVNISP,NA,NA,wolfe_027_L_soapdish-a,wolfe_027_L_soapdish-as,wolfe_027_L_soapdish-b,wolfe_027_L_soapdish-bs,178.708,-1,11,6653,40,278
