workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2H6B2E7W89FJ0,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,42.296,-1,1,4911,284,259
A2H6B2E7W89FJ0,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,50.176,-1,2,6741,372,267
A2H6B2E7W89FJ0,NA,NA,wolfe_055_R_carpet-a,wolfe_055_R_carpet-as,wolfe_055_R_carpet-b,wolfe_055_R_carpet-bs,63.833,-1,3,12902,406,392
A2H6B2E7W89FJ0,NA,NA,wolfe_084_R_light-a,wolfe_084_R_light-as,wolfe_084_R_light-b,wolfe_084_R_light-bs,79.701,-1,4,15476,529,158
A2H6B2E7W89FJ0,NA,NA,wolfe_080_R_plant-a,wolfe_080_R_plant-as,wolfe_080_R_plant-b,wolfe_080_R_plant-bs,88.935,-1,5,8614,351,237
A2H6B2E7W89FJ0,NA,NA,wolfe_050_R_book-a,wolfe_050_R_book-as,wolfe_050_R_book-b,wolfe_050_R_book-bs,98.413,-1,6,8755,561,60
A2H6B2E7W89FJ0,NA,NA,wolfe_065_R_cd-a,wolfe_065_R_cd-as,wolfe_065_R_cd-b,wolfe_065_R_cd-bs,105.748,-1,7,6866,486,191
A2H6B2E7W89FJ0,NA,NA,wolfe_004_R_electricalgrid-a,wolfe_004_R_electricalgrid-as,wolfe_004_R_electricalgrid-b,wolfe_004_R_electricalgrid-bs,115.12,-1,8,8805,412,37
A2H6B2E7W89FJ0,NA,NA,wolfe_001_R_mirror-a,wolfe_001_R_mirror-as,wolfe_001_R_mirror-b,wolfe_001_R_mirror-bs,180.902,-1,10,65191,411,134
A2H6B2E7W89FJ0,NA,NA,wolfe_039_R_ventilator-a,wolfe_039_R_ventilator-as,wolfe_039_R_ventilator-b,wolfe_039_R_ventilator-bs,180.901,-1,9,60000,411,134
A2H6B2E7W89FJ0,NA,NA,wolfe_107_R_shirts-a,wolfe_107_R_shirts-as,wolfe_107_R_shirts-b,wolfe_107_R_shirts-bs,190.092,-1,11,8664,524,245
A2H6B2E7W89FJ0,NA,NA,wolfe_119_R_painting-a,wolfe_119_R_painting-as,wolfe_119_R_painting-b,wolfe_119_R_painting-bs,199.58,-1,12,9123,410,244
A2H6B2E7W89FJ0,NA,NA,wolfe_020_R_walldeco-a,wolfe_020_R_walldeco-as,wolfe_020_R_walldeco-b,wolfe_020_R_walldeco-bs,211.04,-1,13,10997,655,112
