workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A2LO8K013TX9FA,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,55.002,-1,1,6941,340,222
A2LO8K013TX9FA,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,62.502,-1,2,6613,370,264
A2LO8K013TX9FA,NA,NA,wolfe_122_R_chair-a,wolfe_122_R_chair-as,wolfe_122_R_chair-b,wolfe_122_R_chair-bs,70.304,-1,3,6531,536,125
A2LO8K013TX9FA,NA,NA,wolfe_061_R_glass-a,wolfe_061_R_glass-as,wolfe_061_R_glass-b,wolfe_061_R_glass-bs,77.873,-1,4,6699,416,207
A2LO8K013TX9FA,NA,NA,wolfe_124_R_vase-a,wolfe_124_R_vase-as,wolfe_124_R_vase-b,wolfe_124_R_vase-bs,85.506,-1,5,6714,464,356
A2LO8K013TX9FA,NA,NA,wolfe_026_R_rack-a,wolfe_026_R_rack-as,wolfe_026_R_rack-b,wolfe_026_R_rack-bs,93.628,-1,6,7104,545,404
A2LO8K013TX9FA,NA,NA,wolfe_003_R_ducks-a,wolfe_003_R_ducks-as,wolfe_003_R_ducks-b,wolfe_003_R_ducks-bs,103.76,-1,7,9794,419,328
A2LO8K013TX9FA,NA,NA,wolfe_035_R_fruit-a,wolfe_035_R_fruit-as,wolfe_035_R_fruit-b,wolfe_035_R_fruit-bs,113.039,-1,8,8769,527,285
A2LO8K013TX9FA,NA,NA,wolfe_102_R_shoppingbag-a,wolfe_102_R_shoppingbag-as,wolfe_102_R_shoppingbag-b,wolfe_102_R_shoppingbag-bs,120.689,-1,9,6804,490,248
A2LO8K013TX9FA,NA,NA,wolfe_052_R_speaker-a,wolfe_052_R_speaker-as,wolfe_052_R_speaker-b,wolfe_052_R_speaker-bs,127.821,-1,10,6701,484,332
A2LO8K013TX9FA,NA,NA,wolfe_088_R_clock-a,wolfe_088_R_clock-as,wolfe_088_R_clock-b,wolfe_088_R_clock-bs,135.117,-1,11,6602,398,75
A2LO8K013TX9FA,NA,NA,wolfe_054_R_firewood-a,wolfe_054_R_firewood-as,wolfe_054_R_firewood-b,wolfe_054_R_firewood-bs,142.201,-1,12,6669,651,319
A2LO8K013TX9FA,NA,NA,wolfe_045_R_musicdock-a,wolfe_045_R_musicdock-as,wolfe_045_R_musicdock-b,wolfe_045_R_musicdock-bs,149.568,-1,13,6501,589,260
A2LO8K013TX9FA,NA,NA,wolfe_034_R_handle-a,wolfe_034_R_handle-as,wolfe_034_R_handle-b,wolfe_034_R_handle-bs,156.891,-1,14,6633,566,275
A2LO8K013TX9FA,NA,NA,wolfe_016_R_art-a,wolfe_016_R_art-as,wolfe_016_R_art-b,wolfe_016_R_art-bs,163.965,-1,15,6591,609,191
