workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A34LV51D4PO2R,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,38.908,-1,1,10991,276,169
A34LV51D4PO2R,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,55.846,-1,2,15001,436,255
A34LV51D4PO2R,NA,NA,wolfe_032_R_bottle-a,wolfe_032_R_bottle-as,wolfe_032_R_bottle-b,wolfe_032_R_bottle-bs,68.415,-1,3,11449,407,135
A34LV51D4PO2R,NA,NA,wolfe_120_R_art-a,wolfe_120_R_art-as,wolfe_120_R_art-b,wolfe_120_R_art-bs,82.27,-1,4,10842,440,149
A34LV51D4PO2R,NA,NA,wolfe_047_R_handle-a,wolfe_047_R_handle-as,wolfe_047_R_handle-b,wolfe_047_R_handle-bs,97.529,-1,5,13938,545,425
A34LV51D4PO2R,NA,NA,wolfe_002_R_napkin-a,wolfe_002_R_napkin-as,wolfe_002_R_napkin-b,wolfe_002_R_napkin-bs,110.961,-1,6,8188,398,399
A34LV51D4PO2R,NA,NA,wolfe_036_R_bowl-a,wolfe_036_R_bowl-as,wolfe_036_R_bowl-b,wolfe_036_R_bowl-bs,120.986,-1,7,7993,352,197
A34LV51D4PO2R,NA,NA,wolfe_116_R_basket-a,wolfe_116_R_basket-as,wolfe_116_R_basket-b,wolfe_116_R_basket-bs,132.756,-1,9,10563,572,319
A34LV51D4PO2R,NA,NA,wolfe_034_R_handle-a,wolfe_034_R_handle-as,wolfe_034_R_handle-b,wolfe_034_R_handle-bs,132.747,-1,8,8243,572,319
A34LV51D4PO2R,NA,NA,wolfe_067_R_painting-a,wolfe_067_R_painting-as,wolfe_067_R_painting-b,wolfe_067_R_painting-bs,147.454,-1,10,8869,631,326
