workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A3BZVFD82AVLT8,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,520.894,-1,1,6616,270,262
A3BZVFD82AVLT8,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,528.557,-1,2,6458,399,269
A3BZVFD82AVLT8,NA,NA,wolfe_083_R_knob-a,wolfe_083_R_knob-as,wolfe_083_R_knob-b,wolfe_083_R_knob-bs,537.463,-1,3,7540,374,148
A3BZVFD82AVLT8,NA,NA,wolfe_110_R_plant-a,wolfe_110_R_plant-as,wolfe_110_R_plant-b,wolfe_110_R_plant-bs,547.589,-1,4,7601,594,391
A3BZVFD82AVLT8,NA,NA,wolfe_049_R_painting-a,wolfe_049_R_painting-as,wolfe_049_R_painting-b,wolfe_049_R_painting-bs,568.839,-1,5,20199,572,247
A3BZVFD82AVLT8,NA,NA,wolfe_088_R_clock-a,wolfe_088_R_clock-as,wolfe_088_R_clock-b,wolfe_088_R_clock-bs,580.023,-1,6,8968,414,77
A3BZVFD82AVLT8,NA,NA,wolfe_021_R_keyboard-a,wolfe_021_R_keyboard-as,wolfe_021_R_keyboard-b,wolfe_021_R_keyboard-bs,589.236,-1,7,7621,565,358
A3BZVFD82AVLT8,NA,NA,wolfe_042_R_tap-a,wolfe_042_R_tap-as,wolfe_042_R_tap-b,wolfe_042_R_tap-bs,599.997,-1,8,9677,344,231
A3BZVFD82AVLT8,NA,NA,wolfe_035_R_fruit-a,wolfe_035_R_fruit-as,wolfe_035_R_fruit-b,wolfe_035_R_fruit-bs,607.579,-1,9,6712,536,280
A3BZVFD82AVLT8,NA,NA,wolfe_006_R_vase-a,wolfe_006_R_vase-as,wolfe_006_R_vase-b,wolfe_006_R_vase-bs,615.178,-1,10,6821,465,241
A3BZVFD82AVLT8,NA,NA,wolfe_108_R_boa-a,wolfe_108_R_boa-as,wolfe_108_R_boa-b,wolfe_108_R_boa-bs,622.445,-1,11,6898,343,206
A3BZVFD82AVLT8,NA,NA,wolfe_033_R_vase-a,wolfe_033_R_vase-as,wolfe_033_R_vase-b,wolfe_033_R_vase-bs,631.765,-1,12,8783,584,207
A3BZVFD82AVLT8,NA,NA,wolfe_075_R_light-a,wolfe_075_R_light-as,wolfe_075_R_light-b,wolfe_075_R_light-bs,638.99,-1,13,6616,522,53
A3BZVFD82AVLT8,NA,NA,wolfe_096_R_painting-a,wolfe_096_R_painting-as,wolfe_096_R_painting-b,wolfe_096_R_painting-bs,646.349,-1,14,6658,574,214
A3BZVFD82AVLT8,NA,NA,wolfe_059_R_car-a,wolfe_059_R_car-as,wolfe_059_R_car-b,wolfe_059_R_car-bs,656.509,-1,15,8639,473,390
A3BZVFD82AVLT8,NA,NA,wolfe_005_R_mirror-a,wolfe_005_R_mirror-as,wolfe_005_R_mirror-b,wolfe_005_R_mirror-bs,663.437,-1,16,6522,477,222
A3BZVFD82AVLT8,NA,NA,wolfe_058_R_clutch-a,wolfe_058_R_clutch-as,wolfe_058_R_clutch-b,wolfe_058_R_clutch-bs,671.029,-1,17,7069,482,377
A3BZVFD82AVLT8,NA,NA,wolfe_063_R_laptop-a,wolfe_063_R_laptop-as,wolfe_063_R_laptop-b,wolfe_063_R_laptop-bs,681.432,-1,18,9808,613,278
