workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A3C5G8LGIAW0XL,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,32.221,-1,1,6475,210,403
A3C5G8LGIAW0XL,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,46.529,-1,2,10495,436,251
A3C5G8LGIAW0XL,NA,NA,wolfe_091_R_airfreshener-a,wolfe_091_R_airfreshener-as,wolfe_091_R_airfreshener-b,wolfe_091_R_airfreshener-bs,57.325,-1,3,7084,319,331
A3C5G8LGIAW0XL,NA,NA,wolfe_086_R_book-a,wolfe_086_R_book-as,wolfe_086_R_book-b,wolfe_086_R_book-bs,67.885,-1,4,8000,529,98
A3C5G8LGIAW0XL,NA,NA,wolfe_036_R_bowl-a,wolfe_036_R_bowl-as,wolfe_036_R_bowl-b,wolfe_036_R_bowl-bs,79.369,-1,5,7827,594,272
A3C5G8LGIAW0XL,NA,NA,wolfe_089_R_poster-a,wolfe_089_R_poster-as,wolfe_089_R_poster-b,wolfe_089_R_poster-bs,89.906,-1,6,7518,354,99
A3C5G8LGIAW0XL,NA,NA,wolfe_033_R_vase-a,wolfe_033_R_vase-as,wolfe_033_R_vase-b,wolfe_033_R_vase-bs,99.005,-1,7,6974,573,201
A3C5G8LGIAW0XL,NA,NA,wolfe_032_R_bottle-a,wolfe_032_R_bottle-as,wolfe_032_R_bottle-b,wolfe_032_R_bottle-bs,108.398,-1,8,7507,411,146
A3C5G8LGIAW0XL,NA,NA,wolfe_056_R_comforter-a,wolfe_056_R_comforter-as,wolfe_056_R_comforter-b,wolfe_056_R_comforter-bs,117.99,-1,9,7414,600,221
A3C5G8LGIAW0XL,NA,NA,wolfe_057_R_bin-a,wolfe_057_R_bin-as,wolfe_057_R_bin-b,wolfe_057_R_bin-bs,126.197,-1,10,6729,568,93
A3C5G8LGIAW0XL,NA,NA,wolfe_098_R_slippers-a,wolfe_098_R_slippers-as,wolfe_098_R_slippers-b,wolfe_098_R_slippers-bs,134.228,-1,11,6995,409,348
A3C5G8LGIAW0XL,NA,NA,wolfe_017_R_wood-a,wolfe_017_R_wood-as,wolfe_017_R_wood-b,wolfe_017_R_wood-bs,142.682,-1,12,6703,489,176
A3C5G8LGIAW0XL,NA,NA,wolfe_088_R_clock-a,wolfe_088_R_clock-as,wolfe_088_R_clock-b,wolfe_088_R_clock-bs,151.04,-1,13,7367,96,196
A3C5G8LGIAW0XL,NA,NA,wolfe_062_R_flowers-a,wolfe_062_R_flowers-as,wolfe_062_R_flowers-b,wolfe_062_R_flowers-bs,159.832,-1,14,8047,191,232
A3C5G8LGIAW0XL,NA,NA,wolfe_120_R_art-a,wolfe_120_R_art-as,wolfe_120_R_art-b,wolfe_120_R_art-bs,167.738,-1,15,6733,538,272
A3C5G8LGIAW0XL,NA,NA,wolfe_110_R_plant-a,wolfe_110_R_plant-as,wolfe_110_R_plant-b,wolfe_110_R_plant-bs,176.056,-1,16,6386,157,353
A3C5G8LGIAW0XL,NA,NA,wolfe_061_R_glass-a,wolfe_061_R_glass-as,wolfe_061_R_glass-b,wolfe_061_R_glass-bs,183.827,-1,17,6681,418,215
A3C5G8LGIAW0XL,NA,NA,wolfe_010_R_candle-a,wolfe_010_R_candle-as,wolfe_010_R_candle-b,wolfe_010_R_candle-bs,191.594,-1,18,6729,597,308
A3C5G8LGIAW0XL,NA,NA,wolfe_035_R_fruit-a,wolfe_035_R_fruit-as,wolfe_035_R_fruit-b,wolfe_035_R_fruit-bs,203.618,-1,19,11077,528,305
A3C5G8LGIAW0XL,NA,NA,wolfe_027_R_soapdish-a,wolfe_027_R_soapdish-as,wolfe_027_R_soapdish-b,wolfe_027_R_soapdish-bs,211.542,-1,20,6734,620,257
