workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A9HIJETW998RR,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,45.897,-1,1,10935,343,134
A9HIJETW998RR,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,65.078,-1,2,17882,428,243
A9HIJETW998RR,NA,NA,wolfe_032_L_bottle-a,wolfe_032_L_bottle-as,wolfe_032_L_bottle-b,wolfe_032_L_bottle-bs,79.68,-1,3,13417,241,145
A9HIJETW998RR,NA,NA,wolfe_115_L_pot-a,wolfe_115_L_pot-as,wolfe_115_L_pot-b,wolfe_115_L_pot-bs,92.086,-1,4,11797,123,232
A9HIJETW998RR,NA,NA,wolfe_033_L_vase-a,wolfe_033_L_vase-as,wolfe_033_L_vase-b,wolfe_033_L_vase-bs,112.447,-1,5,19991,72,197
A9HIJETW998RR,NA,NA,wolfe_013_L_lamp-a,wolfe_013_L_lamp-as,wolfe_013_L_lamp-b,wolfe_013_L_lamp-bs,126.768,-1,6,14065,134,191
A9HIJETW998RR,NA,NA,wolfe_045_L_musicdock-a,wolfe_045_L_musicdock-as,wolfe_045_L_musicdock-b,wolfe_045_L_musicdock-bs,134.429,-1,7,7465,78,316
A9HIJETW998RR,NA,NA,wolfe_047_L_handle-a,wolfe_047_L_handle-as,wolfe_047_L_handle-b,wolfe_047_L_handle-bs,142.165,-1,8,7508,412,415
A9HIJETW998RR,NA,NA,wolfe_077_L_footrest-a,wolfe_077_L_footrest-as,wolfe_077_L_footrest-b,wolfe_077_L_footrest-bs,158.474,-1,9,15950,329,359
A9HIJETW998RR,NA,NA,wolfe_006_L_vase-a,wolfe_006_L_vase-as,wolfe_006_L_vase-b,wolfe_006_L_vase-bs,185.425,-1,10,26392,192,251
A9HIJETW998RR,NA,NA,wolfe_104_L_bottle-a,wolfe_104_L_bottle-as,wolfe_104_L_bottle-b,wolfe_104_L_bottle-bs,202.125,-1,11,16129,393,176
A9HIJETW998RR,NA,NA,wolfe_107_L_shirts-a,wolfe_107_L_shirts-as,wolfe_107_L_shirts-b,wolfe_107_L_shirts-bs,210.057,-1,12,7211,139,206
A9HIJETW998RR,NA,NA,wolfe_056_L_comforter-a,wolfe_056_L_comforter-as,wolfe_056_L_comforter-b,wolfe_056_L_comforter-bs,217.469,-1,13,7251,62,231
A9HIJETW998RR,NA,NA,wolfe_090_L_lamp-a,wolfe_090_L_lamp-as,wolfe_090_L_lamp-b,wolfe_090_L_lamp-bs,235.514,-1,14,17608,232,318
A9HIJETW998RR,NA,NA,wolfe_030_L_drawer-a,wolfe_030_L_drawer-as,wolfe_030_L_drawer-b,wolfe_030_L_drawer-bs,243.178,-1,15,7379,257,313
A9HIJETW998RR,NA,NA,wolfe_080_L_plant-a,wolfe_080_L_plant-as,wolfe_080_L_plant-b,wolfe_080_L_plant-bs,264.592,-1,16,21217,308,239
A9HIJETW998RR,NA,NA,wolfe_020_L_walldeco-a,wolfe_020_L_walldeco-as,wolfe_020_L_walldeco-b,wolfe_020_L_walldeco-bs,283.983,-1,17,18687,12,122
A9HIJETW998RR,NA,NA,wolfe_055_L_carpet-a,wolfe_055_L_carpet-as,wolfe_055_L_carpet-b,wolfe_055_L_carpet-bs,295.996,-1,19,11429,20,383
A9HIJETW998RR,NA,NA,wolfe_123_L_pot-a,wolfe_123_L_pot-as,wolfe_123_L_pot-b,wolfe_123_L_pot-bs,295.993,-1,18,11250,20,383
A9HIJETW998RR,NA,NA,wolfe_049_L_painting-a,wolfe_049_L_painting-as,wolfe_049_L_painting-b,wolfe_049_L_painting-bs,319.459,-1,20,22606,145,128
A9HIJETW998RR,NA,NA,wolfe_117_L_plant_sized-a,wolfe_117_L_plant_sized-as,wolfe_117_L_plant_sized-b,wolfe_117_L_plant_sized-bs,330.216,-1,21,9928,82,346
A9HIJETW998RR,NA,NA,wolfe_106_L_toweldispenser-a,wolfe_106_L_toweldispenser-as,wolfe_106_L_toweldispenser-b,wolfe_106_L_toweldispenser-bs,354.629,-1,22,23714,250,129
A9HIJETW998RR,NA,NA,wolfe_071_L_art-a,wolfe_071_L_art-as,wolfe_071_L_art-b,wolfe_071_L_art-bs,372.751,-1,23,17915,163,266
A9HIJETW998RR,NA,NA,wolfe_009_L_carpet-a,wolfe_009_L_carpet-as,wolfe_009_L_carpet-b,wolfe_009_L_carpet-bs,380.344,-1,24,7455,111,407
A9HIJETW998RR,NA,NA,wolfe_073_L_coffeemug-a,wolfe_073_L_coffeemug-as,wolfe_073_L_coffeemug-b,wolfe_073_L_coffeemug-bs,387.907,-1,25,7402,44,219
A9HIJETW998RR,NA,NA,wolfe_085_L_switchboard-a,wolfe_085_L_switchboard-as,wolfe_085_L_switchboard-b,wolfe_085_L_switchboard-bs,411.509,-1,26,23093,163,371
A9HIJETW998RR,NA,NA,wolfe_017_L_wood-a,wolfe_017_L_wood-as,wolfe_017_L_wood-b,wolfe_017_L_wood-bs,422.863,-1,27,10941,41,316
A9HIJETW998RR,NA,NA,wolfe_108_L_boa-a,wolfe_108_L_boa-as,wolfe_108_L_boa-b,wolfe_108_L_boa-bs,455.387,-1,28,32096,317,216
A9HIJETW998RR,NA,NA,wolfe_048_L_art-a,wolfe_048_L_art-as,wolfe_048_L_art-b,wolfe_048_L_art-bs,467.118,-1,29,11335,43,210
A9HIJETW998RR,NA,NA,wolfe_025_L_vase-a,wolfe_025_L_vase-as,wolfe_025_L_vase-b,wolfe_025_L_vase-bs,476.11,-1,30,8643,47,314
A9HIJETW998RR,NA,NA,wolfe_042_L_tap-a,wolfe_042_L_tap-as,wolfe_042_L_tap-b,wolfe_042_L_tap-bs,484.935,-1,31,8579,321,222
A9HIJETW998RR,NA,NA,wolfe_093_L_switch-a,wolfe_093_L_switch-as,wolfe_093_L_switch-b,wolfe_093_L_switch-bs,494.424,-1,32,9135,136,359
A9HIJETW998RR,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,502.944,-1,33,8029,459,272
