workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AAO99PANYUZQ3,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,37.303,-1,1,7437,305,246
AAO99PANYUZQ3,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,44.599,-1,2,6716,385,262
AAO99PANYUZQ3,NA,NA,wolfe_096_L_painting-a,wolfe_096_L_painting-as,wolfe_096_L_painting-b,wolfe_096_L_painting-bs,52.415,-1,3,7087,72,218
AAO99PANYUZQ3,NA,NA,wolfe_116_L_basket-a,wolfe_116_L_basket-as,wolfe_116_L_basket-b,wolfe_116_L_basket-bs,59.959,-1,4,6583,126,454
AAO99PANYUZQ3,NA,NA,wolfe_127_L_light-a,wolfe_127_L_light-as,wolfe_127_L_light-b,wolfe_127_L_light-bs,67.215,-1,5,6791,210,208
AAO99PANYUZQ3,NA,NA,wolfe_108_L_boa-a,wolfe_108_L_boa-as,wolfe_108_L_boa-b,wolfe_108_L_boa-bs,74.495,-1,6,6719,314,221
AAO99PANYUZQ3,NA,NA,wolfe_009_L_carpet-a,wolfe_009_L_carpet-as,wolfe_009_L_carpet-b,wolfe_009_L_carpet-bs,81.767,-1,7,6543,197,473
AAO99PANYUZQ3,NA,NA,wolfe_055_L_carpet-a,wolfe_055_L_carpet-as,wolfe_055_L_carpet-b,wolfe_055_L_carpet-bs,88.887,-1,8,6582,218,400
AAO99PANYUZQ3,NA,NA,wolfe_024_L_towels-a,wolfe_024_L_towels-as,wolfe_024_L_towels-b,wolfe_024_L_towels-bs,95.958,-1,9,6503,285,430
AAO99PANYUZQ3,NA,NA,wolfe_113_L_plant-a,wolfe_113_L_plant-as,wolfe_113_L_plant-b,wolfe_113_L_plant-bs,103.262,-1,10,6486,301,257
AAO99PANYUZQ3,NA,NA,wolfe_106_L_toweldispenser-a,wolfe_106_L_toweldispenser-as,wolfe_106_L_toweldispenser-b,wolfe_106_L_toweldispenser-bs,110.678,-1,11,6600,258,150
AAO99PANYUZQ3,NA,NA,wolfe_008_L_bottle-a,wolfe_008_L_bottle-as,wolfe_008_L_bottle-b,wolfe_008_L_bottle-bs,117.822,-1,12,6615,62,313
AAO99PANYUZQ3,NA,NA,wolfe_123_L_pot-a,wolfe_123_L_pot-as,wolfe_123_L_pot-b,wolfe_123_L_pot-bs,125.118,-1,13,6462,17,396
AAO99PANYUZQ3,NA,NA,wolfe_033_L_vase-a,wolfe_033_L_vase-as,wolfe_033_L_vase-b,wolfe_033_L_vase-bs,132.382,-1,14,6447,76,203
AAO99PANYUZQ3,NA,NA,wolfe_041_L_fruit-a,wolfe_041_L_fruit-as,wolfe_041_L_fruit-b,wolfe_041_L_fruit-bs,139.43,-1,15,6447,55,345
AAO99PANYUZQ3,NA,NA,wolfe_110_L_plant-a,wolfe_110_L_plant-as,wolfe_110_L_plant-b,wolfe_110_L_plant-bs,146.358,-1,16,6446,191,359
