workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AF6CWERDIMNIZ,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,49.673,-1,1,11170,318,207
AF6CWERDIMNIZ,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,58.93,-1,2,7285,448,251
AF6CWERDIMNIZ,NA,NA,wolfe_019_R_lamp_sized-a,wolfe_019_R_lamp_sized-as,wolfe_019_R_lamp_sized-b,wolfe_019_R_lamp_sized-bs,67.664,-1,3,7477,475,137
AF6CWERDIMNIZ,NA,NA,wolfe_063_R_laptop-a,wolfe_063_R_laptop-as,wolfe_063_R_laptop-b,wolfe_063_R_laptop-bs,78.484,-1,4,9477,614,282
AF6CWERDIMNIZ,NA,NA,wolfe_109_R_pillow-a,wolfe_109_R_pillow-as,wolfe_109_R_pillow-b,wolfe_109_R_pillow-bs,87.07,-1,5,7836,388,299
AF6CWERDIMNIZ,NA,NA,wolfe_064_R_bottles-a,wolfe_064_R_bottles-as,wolfe_064_R_bottles-b,wolfe_064_R_bottles-bs,97.084,-1,6,9553,534,226
AF6CWERDIMNIZ,NA,NA,wolfe_075_R_light-a,wolfe_075_R_light-as,wolfe_075_R_light-b,wolfe_075_R_light-bs,104.726,-1,7,6992,530,55
AF6CWERDIMNIZ,NA,NA,wolfe_097_R_light-a,wolfe_097_R_light-as,wolfe_097_R_light-b,wolfe_097_R_light-bs,112.468,-1,8,6953,338,173
AF6CWERDIMNIZ,NA,NA,wolfe_006_R_vase-a,wolfe_006_R_vase-as,wolfe_006_R_vase-b,wolfe_006_R_vase-bs,120.226,-1,9,6704,474,245
AF6CWERDIMNIZ,NA,NA,wolfe_099_R_sconce-a,wolfe_099_R_sconce-as,wolfe_099_R_sconce-b,wolfe_099_R_sconce-bs,127.962,-1,10,6891,460,174
AF6CWERDIMNIZ,NA,NA,wolfe_002_R_napkin-a,wolfe_002_R_napkin-as,wolfe_002_R_napkin-b,wolfe_002_R_napkin-bs,135.617,-1,11,6710,400,412
AF6CWERDIMNIZ,NA,NA,wolfe_059_R_car-a,wolfe_059_R_car-as,wolfe_059_R_car-b,wolfe_059_R_car-bs,143.719,-1,12,6711,432,166
AF6CWERDIMNIZ,NA,NA,wolfe_070_R_lamp-a,wolfe_070_R_lamp-as,wolfe_070_R_lamp-b,wolfe_070_R_lamp-bs,151.103,-1,13,6644,604,152
AF6CWERDIMNIZ,NA,NA,wolfe_030_R_drawer-a,wolfe_030_R_drawer-as,wolfe_030_R_drawer-b,wolfe_030_R_drawer-bs,158.879,-1,14,6679,410,319
AF6CWERDIMNIZ,NA,NA,wolfe_098_R_slippers-a,wolfe_098_R_slippers-as,wolfe_098_R_slippers-b,wolfe_098_R_slippers-bs,166.677,-1,15,6907,402,376
AF6CWERDIMNIZ,NA,NA,wolfe_022_R_lamp-a,wolfe_022_R_lamp-as,wolfe_022_R_lamp-b,wolfe_022_R_lamp-bs,174.419,-1,16,6651,436,56
AF6CWERDIMNIZ,NA,NA,wolfe_008_R_bottle-a,wolfe_008_R_bottle-as,wolfe_008_R_bottle-b,wolfe_008_R_bottle-bs,182.494,-1,17,6759,587,309
AF6CWERDIMNIZ,NA,NA,wolfe_067_R_painting-a,wolfe_067_R_painting-as,wolfe_067_R_painting-b,wolfe_067_R_painting-bs,190.134,-1,18,6855,629,328
AF6CWERDIMNIZ,NA,NA,wolfe_026_R_rack-a,wolfe_026_R_rack-as,wolfe_026_R_rack-b,wolfe_026_R_rack-bs,197.592,-1,19,6748,617,293
AF6CWERDIMNIZ,NA,NA,wolfe_128_R_pot-a,wolfe_128_R_pot-as,wolfe_128_R_pot-b,wolfe_128_R_pot-bs,205.354,-1,20,6672,501,258
AF6CWERDIMNIZ,NA,NA,wolfe_016_R_art-a,wolfe_016_R_art-as,wolfe_016_R_art-b,wolfe_016_R_art-bs,212.816,-1,21,6717,614,192
AF6CWERDIMNIZ,NA,NA,wolfe_119_R_painting-a,wolfe_119_R_painting-as,wolfe_119_R_painting-b,wolfe_119_R_painting-bs,220.51,-1,22,6702,412,240
AF6CWERDIMNIZ,NA,NA,wolfe_124_R_vase-a,wolfe_124_R_vase-as,wolfe_124_R_vase-b,wolfe_124_R_vase-bs,228.898,-1,23,7558,446,385
AF6CWERDIMNIZ,NA,NA,wolfe_043_R_clock-a,wolfe_043_R_clock-as,wolfe_043_R_clock-b,wolfe_043_R_clock-bs,236.434,-1,24,6728,452,217
AF6CWERDIMNIZ,NA,NA,wolfe_092_R_candles-a,wolfe_092_R_candles-as,wolfe_092_R_candles-b,wolfe_092_R_candles-bs,244.236,-1,25,6707,643,445
AF6CWERDIMNIZ,NA,NA,wolfe_004_R_electricalgrid-a,wolfe_004_R_electricalgrid-as,wolfe_004_R_electricalgrid-b,wolfe_004_R_electricalgrid-bs,251.929,-1,26,6874,419,34
AF6CWERDIMNIZ,NA,NA,wolfe_036_R_bowl-a,wolfe_036_R_bowl-as,wolfe_036_R_bowl-b,wolfe_036_R_bowl-bs,260.196,-1,27,6692,352,202
AF6CWERDIMNIZ,NA,NA,wolfe_126_R_candles-a,wolfe_126_R_candles-as,wolfe_126_R_candles-b,wolfe_126_R_candles-bs,268.002,-1,28,6640,646,307
AF6CWERDIMNIZ,NA,NA,wolfe_052_R_speaker-a,wolfe_052_R_speaker-as,wolfe_052_R_speaker-b,wolfe_052_R_speaker-bs,275.273,-1,29,6910,504,343
AF6CWERDIMNIZ,NA,NA,wolfe_078_R_faucet-a,wolfe_078_R_faucet-as,wolfe_078_R_faucet-b,wolfe_078_R_faucet-bs,282.898,-1,30,6729,403,371
AF6CWERDIMNIZ,NA,NA,wolfe_083_R_knob-a,wolfe_083_R_knob-as,wolfe_083_R_knob-b,wolfe_083_R_knob-bs,290.39,-1,31,6729,584,384
AF6CWERDIMNIZ,NA,NA,wolfe_034_R_handle-a,wolfe_034_R_handle-as,wolfe_034_R_handle-b,wolfe_034_R_handle-bs,298.444,-1,32,6645,563,321
AF6CWERDIMNIZ,NA,NA,catchCow-a,catchCow-as,catchCow-b,catchCow-bs,305.793,-1,33,6890,416,194
