workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AOB5RZ3WSAZPS,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,37.212,-1,1,6866,318,281
AOB5RZ3WSAZPS,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,72.988,-1,2,33453,380,236
AOB5RZ3WSAZPS,NA,NA,wolfe_011_R_parfum-a,wolfe_011_R_parfum-as,wolfe_011_R_parfum-b,wolfe_011_R_parfum-bs,72.989,-1,3,34116,380,236
AOB5RZ3WSAZPS,NA,NA,wolfe_062_R_flowers-a,wolfe_062_R_flowers-as,wolfe_062_R_flowers-b,wolfe_062_R_flowers-bs,85.217,-1,4,11561,557,277
AOB5RZ3WSAZPS,NA,NA,wolfe_101_R_cup-a,wolfe_101_R_cup-as,wolfe_101_R_cup-b,wolfe_101_R_cup-bs,138.004,-1,5,51222,350,154
AOB5RZ3WSAZPS,NA,NA,wolfe_121_R_car-a,wolfe_121_R_car-as,wolfe_121_R_car-b,wolfe_121_R_car-bs,150.88,-1,6,10951,624,347
AOB5RZ3WSAZPS,NA,NA,wolfe_060_R_pillow-a,wolfe_060_R_pillow-as,wolfe_060_R_pillow-b,wolfe_060_R_pillow-bs,163.635,-1,7,11021,394,286
AOB5RZ3WSAZPS,NA,NA,wolfe_054_R_firewood-a,wolfe_054_R_firewood-as,wolfe_054_R_firewood-b,wolfe_054_R_firewood-bs,171.961,-1,8,7206,631,311
AOB5RZ3WSAZPS,NA,NA,wolfe_012_R_tubaccesory-a,wolfe_012_R_tubaccesory-as,wolfe_012_R_tubaccesory-b,wolfe_012_R_tubaccesory-bs,180.183,-1,9,7024,444,352
AOB5RZ3WSAZPS,NA,NA,wolfe_066_R_vase-a,wolfe_066_R_vase-as,wolfe_066_R_vase-b,wolfe_066_R_vase-bs,192.33,-1,10,10546,590,189
AOB5RZ3WSAZPS,NA,NA,wolfe_093_R_switch-a,wolfe_093_R_switch-as,wolfe_093_R_switch-b,wolfe_093_R_switch-bs,213.355,-1,11,19381,543,356
AOB5RZ3WSAZPS,NA,NA,wolfe_009_R_carpet-a,wolfe_009_R_carpet-as,wolfe_009_R_carpet-b,wolfe_009_R_carpet-bs,224.932,-1,12,10658,444,454
AOB5RZ3WSAZPS,NA,NA,wolfe_017_R_wood-a,wolfe_017_R_wood-as,wolfe_017_R_wood-b,wolfe_017_R_wood-bs,237.45,-1,13,11076,626,320
AOB5RZ3WSAZPS,NA,NA,wolfe_089_R_poster-a,wolfe_089_R_poster-as,wolfe_089_R_poster-b,wolfe_089_R_poster-bs,275.156,-1,14,36046,358,119
AOB5RZ3WSAZPS,NA,NA,wolfe_070_R_lamp-a,wolfe_070_R_lamp-as,wolfe_070_R_lamp-b,wolfe_070_R_lamp-bs,283.164,-1,15,7077,608,158
AOB5RZ3WSAZPS,NA,NA,wolfe_124_R_vase-a,wolfe_124_R_vase-as,wolfe_124_R_vase-b,wolfe_124_R_vase-bs,292.867,-1,16,8502,482,363
