workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
AOR0FSL893AJ2,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,151.237,-1,1,30329,224,256
AOR0FSL893AJ2,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,169.439,-1,2,11450,382,285
AOR0FSL893AJ2,NA,NA,wolfe_089_L_poster-a,wolfe_089_L_poster-as,wolfe_089_L_poster-b,wolfe_089_L_poster-bs,192.848,-1,3,21100,308,125
AOR0FSL893AJ2,NA,NA,wolfe_010_L_candle-a,wolfe_010_L_candle-as,wolfe_010_L_candle-b,wolfe_010_L_candle-bs,220.307,-1,4,25397,85,278
AOR0FSL893AJ2,NA,NA,wolfe_065_L_cd-a,wolfe_065_L_cd-as,wolfe_065_L_cd-b,wolfe_065_L_cd-bs,230.86,-1,5,8543,182,189
AOR0FSL893AJ2,NA,NA,wolfe_067_L_painting-a,wolfe_067_L_painting-as,wolfe_067_L_painting-b,wolfe_067_L_painting-bs,241.183,-1,6,8540,43,331
AOR0FSL893AJ2,NA,NA,wolfe_011_L_parfum-a,wolfe_011_L_parfum-as,wolfe_011_L_parfum-b,wolfe_011_L_parfum-bs,265.82,-1,7,21785,263,336
AOR0FSL893AJ2,NA,NA,wolfe_074_L_book-a,wolfe_074_L_book-as,wolfe_074_L_book-b,wolfe_074_L_book-bs,306.105,-1,8,38490,251,320
AOR0FSL893AJ2,NA,NA,wolfe_024_L_towels-a,wolfe_024_L_towels-as,wolfe_024_L_towels-b,wolfe_024_L_towels-bs,326.233,-1,9,16879,277,417
AOR0FSL893AJ2,NA,NA,wolfe_090_L_lamp-a,wolfe_090_L_lamp-as,wolfe_090_L_lamp-b,wolfe_090_L_lamp-bs,340.161,-1,10,11110,223,297
AOR0FSL893AJ2,NA,NA,wolfe_069_L_things-a,wolfe_069_L_things-as,wolfe_069_L_things-b,wolfe_069_L_things-bs,351.8,-1,11,9352,63,127
AOR0FSL893AJ2,NA,NA,wolfe_007_L_soap-a,wolfe_007_L_soap-as,wolfe_007_L_soap-b,wolfe_007_L_soap-bs,368.601,-1,12,12848,168,478
AOR0FSL893AJ2,NA,NA,wolfe_039_L_ventilator-a,wolfe_039_L_ventilator-as,wolfe_039_L_ventilator-b,wolfe_039_L_ventilator-bs,380.189,-1,13,8631,284,59
AOR0FSL893AJ2,NA,NA,wolfe_124_L_vase-a,wolfe_124_L_vase-as,wolfe_124_L_vase-b,wolfe_124_L_vase-bs,390.014,-1,14,7154,193,384
AOR0FSL893AJ2,NA,NA,wolfe_087_L_towelhandle-a,wolfe_087_L_towelhandle-as,wolfe_087_L_towelhandle-b,wolfe_087_L_towelhandle-bs,403.376,-1,15,10771,56,339
AOR0FSL893AJ2,NA,NA,wolfe_121_L_car-a,wolfe_121_L_car-as,wolfe_121_L_car-b,wolfe_121_L_car-bs,412.229,-1,16,7261,37,341
AOR0FSL893AJ2,NA,NA,wolfe_059_L_car-a,wolfe_059_L_car-as,wolfe_059_L_car-b,wolfe_059_L_car-bs,423.414,-1,17,8660,224,159
AOR0FSL893AJ2,NA,NA,wolfe_001_L_mirror-a,wolfe_001_L_mirror-as,wolfe_001_L_mirror-b,wolfe_001_L_mirror-bs,433.621,-1,18,8633,288,183
AOR0FSL893AJ2,NA,NA,wolfe_042_L_tap-a,wolfe_042_L_tap-as,wolfe_042_L_tap-b,wolfe_042_L_tap-bs,443.761,-1,19,8616,318,212
AOR0FSL893AJ2,NA,NA,wolfe_028_L_vase-a,wolfe_028_L_vase-as,wolfe_028_L_vase-b,wolfe_028_L_vase-bs,454.251,-1,20,8744,188,298
AOR0FSL893AJ2,NA,NA,wolfe_014_L_lamp-a,wolfe_014_L_lamp-as,wolfe_014_L_lamp-b,wolfe_014_L_lamp-bs,464.615,-1,21,8585,174,126
AOR0FSL893AJ2,NA,NA,wolfe_088_L_clock-a,wolfe_088_L_clock-as,wolfe_088_L_clock-b,wolfe_088_L_clock-bs,477.495,-1,22,10713,250,87
AOR0FSL893AJ2,NA,NA,wolfe_048_L_art-a,wolfe_048_L_art-as,wolfe_048_L_art-b,wolfe_048_L_art-bs,488.809,-1,23,8638,33,263
AOR0FSL893AJ2,NA,NA,wolfe_072_L_handle-a,wolfe_072_L_handle-as,wolfe_072_L_handle-b,wolfe_072_L_handle-bs,500.345,-1,24,8617,99,437
AOR0FSL893AJ2,NA,NA,wolfe_118_L_shoes-a,wolfe_118_L_shoes-as,wolfe_118_L_shoes-b,wolfe_118_L_shoes-bs,508.891,-1,25,6725,264,346
AOR0FSL893AJ2,NA,NA,wolfe_005_L_mirror-a,wolfe_005_L_mirror-as,wolfe_005_L_mirror-b,wolfe_005_L_mirror-bs,517.417,-1,26,6733,144,247
AOR0FSL893AJ2,NA,NA,wolfe_027_L_soapdish-a,wolfe_027_L_soapdish-as,wolfe_027_L_soapdish-b,wolfe_027_L_soapdish-bs,525.928,-1,27,6937,35,270
AOR0FSL893AJ2,NA,NA,wolfe_068_L_faucet-a,wolfe_068_L_faucet-as,wolfe_068_L_faucet-b,wolfe_068_L_faucet-bs,539.572,-1,28,10955,282,306
AOR0FSL893AJ2,NA,NA,wolfe_098_L_slippers-a,wolfe_098_L_slippers-as,wolfe_098_L_slippers-b,wolfe_098_L_slippers-bs,547.662,-1,29,6592,255,355
AOR0FSL893AJ2,NA,NA,wolfe_126_L_candles-a,wolfe_126_L_candles-as,wolfe_126_L_candles-b,wolfe_126_L_candles-bs,556.412,-1,30,6595,36,282
AOR0FSL893AJ2,NA,NA,wolfe_002_L_napkin-a,wolfe_002_L_napkin-as,wolfe_002_L_napkin-b,wolfe_002_L_napkin-bs,564.959,-1,31,6574,261,403
