workerId,assignmentId,hitId,unmod_image,unmod_image_splash,mod_image,mod_image_splash,expTimer,response,trial_number,rt,x,y
A3MYPYBVHX7FQ2,NA,NA,catchAirplane-a,catchAirplane-as,catchAirplane-b,catchAirplane-bs,116.513,-1,1,51174,400,298
A3MYPYBVHX7FQ2,NA,NA,catchBoat-a,catchBoat-as,catchBoat-b,catchBoat-bs,188.938,-1,2,60000,485,238
A3MYPYBVHX7FQ2,NA,NA,wolfe_018_L_plant-a,wolfe_018_L_plant-as,wolfe_018_L_plant-b,wolfe_018_L_plant-bs,214.362,-1,3,23244,88,243
A3MYPYBVHX7FQ2,NA,NA,wolfe_049_L_painting-a,wolfe_049_L_painting-as,wolfe_049_L_painting-b,wolfe_049_L_painting-bs,227.111,-1,4,11078,140,131
A3MYPYBVHX7FQ2,NA,NA,wolfe_012_L_tubaccesory-a,wolfe_012_L_tubaccesory-as,wolfe_012_L_tubaccesory-b,wolfe_012_L_tubaccesory-bs,246.445,-1,5,15256,225,352
A3MYPYBVHX7FQ2,NA,NA,wolfe_064_L_bottles-a,wolfe_064_L_bottles-as,wolfe_064_L_bottles-b,wolfe_064_L_bottles-bs,257.579,-1,6,8943,117,223
A3MYPYBVHX7FQ2,NA,NA,wolfe_026_L_rack-a,wolfe_026_L_rack-as,wolfe_026_L_rack-b,wolfe_026_L_rack-bs,271.833,-1,7,12925,63,254
A3MYPYBVHX7FQ2,NA,NA,wolfe_097_L_light-a,wolfe_097_L_light-as,wolfe_097_L_light-b,wolfe_097_L_light-bs,280.291,-1,8,7175,321,188
A3MYPYBVHX7FQ2,NA,NA,wolfe_114_L_bird-a,wolfe_114_L_bird-as,wolfe_114_L_bird-b,wolfe_114_L_bird-bs,290.208,-1,9,8599,294,356
A3MYPYBVHX7FQ2,NA,NA,wolfe_108_L_boa-a,wolfe_108_L_boa-as,wolfe_108_L_boa-b,wolfe_108_L_boa-bs,298.842,-1,10,6816,308,220
A3MYPYBVHX7FQ2,NA,NA,wolfe_021_L_keyboard-a,wolfe_021_L_keyboard-as,wolfe_021_L_keyboard-b,wolfe_021_L_keyboard-bs,319.26,-1,11,19497,129,345
A3MYPYBVHX7FQ2,NA,NA,wolfe_020_L_walldeco-a,wolfe_020_L_walldeco-as,wolfe_020_L_walldeco-b,wolfe_020_L_walldeco-bs,334.16,-1,12,12958,8,145
A3MYPYBVHX7FQ2,NA,NA,wolfe_058_L_clutch-a,wolfe_058_L_clutch-as,wolfe_058_L_clutch-b,wolfe_058_L_clutch-bs,351.434,-1,13,14989,199,375
A3MYPYBVHX7FQ2,NA,NA,wolfe_083_L_knob-a,wolfe_083_L_knob-as,wolfe_083_L_knob-b,wolfe_083_L_knob-bs,395.413,-1,14,42559,77,376
A3MYPYBVHX7FQ2,NA,NA,wolfe_113_L_plant-a,wolfe_113_L_plant-as,wolfe_113_L_plant-b,wolfe_113_L_plant-bs,406.941,-1,15,9027,308,264
A3MYPYBVHX7FQ2,NA,NA,wolfe_119_L_painting-a,wolfe_119_L_painting-as,wolfe_119_L_painting-b,wolfe_119_L_painting-bs,417.635,-1,16,8751,250,244
