workerId,trial_num,image_a,image_b
AETIZKQNUSBLB,1,wolfe_image-021-a_w_outline.jpg,wolfe_image-021-b_w_outline.jpg
AETIZKQNUSBLB,2,wolfe_image-013-a_w_outline.jpg,wolfe_image-013-b_w_outline.jpg
AETIZKQNUSBLB,3,wolfe_image-002-a_w_outline.jpg,wolfe_image-002-b_w_outline.jpg
AETIZKQNUSBLB,4,wolfe_image-009-a_w_outline.jpg,wolfe_image-009-b_w_outline.jpg
AETIZKQNUSBLB,5,wolfe_image-029-a_w_outline.jpg,wolfe_image-029-b_w_outline.jpg
AETIZKQNUSBLB,6,wolfe_image-023-a_w_outline.jpg,wolfe_image-023-b_w_outline.jpg
AETIZKQNUSBLB,7,wolfe_image-007-a_w_outline.jpg,wolfe_image-007-b_w_outline.jpg
AETIZKQNUSBLB,8,wolfe_image-019-a_w_outline.jpg,wolfe_image-019-b_w_outline.jpg
AETIZKQNUSBLB,9,wolfe_image-025-a_w_outline.jpg,wolfe_image-025-b_w_outline.jpg
AETIZKQNUSBLB,10,wolfe_image-016-a_w_outline.jpg,wolfe_image-016-b_w_outline.jpg
AETIZKQNUSBLB,11,wolfe_image-022-a_w_outline.jpg,wolfe_image-022-b_w_outline.jpg
AETIZKQNUSBLB,12,wolfe_image-026-a_w_outline.jpg,wolfe_image-026-b_w_outline.jpg
AETIZKQNUSBLB,13,wolfe_image-015-a_w_outline.jpg,wolfe_image-015-b_w_outline.jpg
AETIZKQNUSBLB,14,wolfe_image-030-a_w_outline.jpg,wolfe_image-030-b_w_outline.jpg
AETIZKQNUSBLB,15,wolfe_image-028-a_w_outline.jpg,wolfe_image-028-b_w_outline.jpg
AETIZKQNUSBLB,16,wolfe_image-001-a_w_outline.jpg,wolfe_image-001-b_w_outline.jpg
AETIZKQNUSBLB,17,wolfe_image-018-a_w_outline.jpg,wolfe_image-018-b_w_outline.jpg
AETIZKQNUSBLB,18,wolfe_image-005-a_w_outline.jpg,wolfe_image-005-b_w_outline.jpg
AETIZKQNUSBLB,19,wolfe_image-010-a_w_outline.jpg,wolfe_image-010-b_w_outline.jpg
AETIZKQNUSBLB,20,wolfe_image-027-a_w_outline.jpg,wolfe_image-027-b_w_outline.jpg
AETIZKQNUSBLB,21,wolfe_image-014-a_w_outline.jpg,wolfe_image-014-b_w_outline.jpg
AETIZKQNUSBLB,22,wolfe_image-020-a_w_outline.jpg,wolfe_image-020-b_w_outline.jpg
AETIZKQNUSBLB,23,wolfe_image-011-a_w_outline.jpg,wolfe_image-011-b_w_outline.jpg
AETIZKQNUSBLB,24,wolfe_image-024-a_w_outline.jpg,wolfe_image-024-b_w_outline.jpg
AETIZKQNUSBLB,25,wolfe_image-012-a_w_outline.jpg,wolfe_image-012-b_w_outline.jpg
AETIZKQNUSBLB,26,wolfe_image-006-a_w_outline.jpg,wolfe_image-006-b_w_outline.jpg
AETIZKQNUSBLB,27,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg
AETIZKQNUSBLB,28,wolfe_image-004-a_w_outline.jpg,wolfe_image-004-b_w_outline.jpg
AETIZKQNUSBLB,29,wolfe_image-003-a_w_outline.jpg,wolfe_image-003-b_w_outline.jpg
AETIZKQNUSBLB,30,wolfe_image-008-a_w_outline.jpg,wolfe_image-008-b_w_outline.jpg
