start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
21:41:40:432,21:42:6:416,21:42:21:290,21:42:21:297,space,98.6391,21:44:0:315,21:44:0:328,space,1.294395,21:44:1:647,21:44:2:664,,space,6.493115,21:44:9:247,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.264322917,-0.25,0,0,0,21:44:10:261,,space,2.002135,21:44:12:312,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.279947917,-0.266927083,0,0,0,21:44:13:328,,space,0.402085,21:44:13:781,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.279947917,-0.266927083,0,0,0,21:44:14:800,return,3.27115,21:44:18:95,21:44:19:130,,return,206.575005,21:47:45:757,the picture is like a scenerio,the picture is a sea,0.209635417,-0.298177083,0,0,0,0,0,0,9,1,A2W7EAI9JLWETV,57,ma_83691215-a_w_outline.jpg,ma_83691215-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:47:46:768,,return,31.1932,21:48:17:998,in the picture the heartin is large,in the picture the heartin is small,0.203125,-0.34375,0,0,0,0,1,1,11,1,A2W7EAI9JLWETV,62,ma_88767165-a_w_outline.jpg,ma_88767165-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:48:19:1,,return,44.84968,21:49:3:901,the picture contains the egg with little east,the picture contains the egg with high east,0.174479167,-0.278645833,0,0,0,0,2,2,4,1,A2W7EAI9JLWETV,31,ma_51537628-a_w_outline.jpg,ma_51537628-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:49:4:920,,return,59.883135,21:50:4:837,the kercheif contains the number down,the kerchief the number up,-0.104166667,-0.274739583,0,0,0,0,3,3,7,1,A2W7EAI9JLWETV,51,ma_79222679-a_w_outline.jpg,ma_79222679-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:50:5:841,,return,34.17287,21:50:40:63,the picture contain the butterfly,in the pillow the picture is strawberry,0.10546875,-0.28125,0,0,0,0,4,4,6,1,A2W7EAI9JLWETV,43,ma_73637203-a_w_outline.jpg,ma_73637203-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:50:41:67,,return,22.021065,21:51:3:122,the book is yellow in color,the picture is red in color,0.227864583,-0.341145833,0,0,0,0,5,5,2,1,A2W7EAI9JLWETV,14,ma_23199105-a_w_outline.jpg,ma_23199105-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:51:4:129,,return,28.50352,21:51:32:669,the pillow is front,the pillow is somewhat back,0.145833333,-0.338541667,0,0,0,0,6,6,0,1,A2W7EAI9JLWETV,8,ma_13873251-a_w_outline.jpg,ma_13873251-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:51:33:673,,return,26.61028,21:52:0:326,the embroidary is large,the embroidary is small,0.140625,-0.29296875,0,0,0,0,7,7,1,1,A2W7EAI9JLWETV,13,ma_23024660-a_w_outline.jpg,ma_23024660-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:52:1:335,,return,40.002325,21:52:41:367,the picture is large,the picture is small,0.11328125,-0.252604167,0,0,0,0,8,8,3,1,A2W7EAI9JLWETV,19,ma_31236119-a_w_outline.jpg,ma_31236119-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:52:42:377,,return,33.859725,21:53:16:268,there is no name board in the table,there is a name board in the table,0.18359375,-0.296875,0,0,0,0,9,9,8,1,A2W7EAI9JLWETV,55,ma_81993755-a_w_outline.jpg,ma_81993755-b_w_outline.jpg,30,A2W7EAI9JLWETV,2020-12-21_21h42.05.902,MetaAwareness,2020.1.2,Win32,60,3S37Y8CWI93A9S8VGUK8YJSA8D24WH,39LOEL67OT8HNFR38F4LYHS607X38E,7EL99,7EL99,39LOEL67OT8HNFR38F4LYHS607X38E,39LOEL67OT8HNFR38F4LYHS607X38E,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
