start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
19:6:32:587,19:6:47:122,19:7:2:64,19:7:2:71,space,8.864,19:7:10:941,19:7:10:951,space,14.946,19:7:25:907,19:7:26:908,,space,7.558,19:7:34:502,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.229166667,-0.182291667,0,0,0,19:7:35:533,,space,3.187,19:7:38:753,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.229166667,-0.182291667,0,0,0,19:7:39:783,,space,3.653,19:7:43:450,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.229166667,-0.182291667,0,0,0,19:7:44:476,return,14.072,19:7:58:564,19:7:59:597,,return,101.47,19:9:41:98,there is red colour in the picture,there is yeollow colour in the picture         ,-0.106544901,-0.416286149,0,0,0,0,0,0,0,1,A3HYZ0LU2ONZB2,4,ma_12115280-a_w_outline.jpg,ma_12115280-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:9:42:127,,return,56.772,19:10:38:910,we saw the side six in the picture ,we saw the straight six in the picture,0.515981735,-0.303652968,0,0,0,0,1,1,4,1,A3HYZ0LU2ONZB2,37,ma_62096551-a_w_outline.jpg,ma_62096551-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:10:39:939,,return,46.394,19:11:26:350,there is many holes in the picture,there is few holes in the pictre,0.103500761,-0.285388128,0,0,0,0,2,2,1,1,A3HYZ0LU2ONZB2,10,ma_18169626-a_w_outline.jpg,ma_18169626-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:11:27:377,,return,12.377,19:11:39:785,nice,good,0.181126332,-0.274733638,0,0,0,0,3,3,7,1,A3HYZ0LU2ONZB2,58,ma_83785171-a_w_outline.jpg,ma_83785171-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:11:40:814,,return,22.498,19:12:3:347,quite,beauty,0.339421613,-0.338660578,0,0,0,0,4,4,9,1,A3HYZ0LU2ONZB2,60,ma_86520382-a_w_outline.jpg,ma_86520382-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:12:4:348,,return,24.719,19:12:29:97,nice,nice,0.345509893,-0.285388128,0,0,0,0,5,5,2,1,A3HYZ0LU2ONZB2,16,ma_25107991-a_w_outline.jpg,ma_25107991-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:12:30:126,,return,9.079,19:12:39:222,good,good,0.149162861,-0.285388128,0,0,0,0,6,6,11,1,A3HYZ0LU2ONZB2,63,ma_89354846-a_w_outline.jpg,ma_89354846-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:12:40:251,,return,14.74,19:12:55:3,ghl,gel,0.210045662,-0.306697108,0,0,0,0,7,7,6,1,A3HYZ0LU2ONZB2,47,ma_77345858-a_w_outline.jpg,ma_77345858-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:12:56:32,,return,16.021,19:13:12:67,flower,flower,0.365296804,-0.268645358,0,0,0,0,8,8,10,1,A3HYZ0LU2ONZB2,61,ma_87983207-a_w_outline.jpg,ma_87983207-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:13:13:96,,return,13.212,19:13:26:315,beauty,nice,0.170471842,-0.241248097,0,0,0,0,9,9,8,1,A3HYZ0LU2ONZB2,59,ma_85741618-a_w_outline.jpg,ma_85741618-b_w_outline.jpg,38,A3HYZ0LU2ONZB2,2020-12-21_19h06.46.828,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT9P8GYA,382M9COHEIIIVAED02MMD0ESON3UE0,H9289,H9289,382M9COHEIIIVAED02MMD0ESON3UE0,382M9COHEIIIVAED02MMD0ESON3UE0,265429,265429,,,,,,,,,,,,,,,,,,,,,,,,
