start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
12:44:4:14,12:45:49:728,12:46:4:647,12:46:4:662,space,409.873,12:52:54:554,12:52:54:571,space,7.526,12:53:2:116,12:53:3:147,,space,8.706,12:53:11:902,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.11328125,-0.388020833,0,0,0,12:53:12:928,,space,108.657,12:55:1:617,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.17578125,-0.450520833,0,0,0,12:55:2:647,,space,4.425,12:55:7:95,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.190104167,-0.06640625,0,0,0,12:55:8:133,return,12.641,12:55:20:782,12:55:21:834,,return,209.445,12:58:51:306,yellow box in pillow in block colour.,yellow box in pillow in block colour.,0.029947917,-0.428385417,0,0,0,0,0,0,0,1,A1UN1Y6PAM3J8L,8,ma_13873251-a_w_outline.jpg,ma_13873251-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:58:52:334,,return,26.049,12:59:18:397,yellow star,yellow star,0.0546875,-0.42578125,0,0,0,0,1,1,4,1,A1UN1Y6PAM3J8L,20,ma_32289063-a_w_outline.jpg,ma_32289063-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12:59:19:428,,return,50.574,13:0:10:22,butterfly with cherry,in a couple ofcherry,-0.19921875,-0.274739583,0,0,0,0,2,2,7,1,A1UN1Y6PAM3J8L,43,ma_73637203-a_w_outline.jpg,ma_73637203-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:0:11:38,,return,21.856,13:0:32:927,no stic,stic in there ,0.46484375,-0.2734375,0,0,0,0,3,3,9,1,A1UN1Y6PAM3J8L,60,ma_86520382-a_w_outline.jpg,ma_86520382-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:0:33:959,,return,46.264,13:1:20:250,white window,white window,0.2578125,-0.2890625,0,0,0,0,4,4,1,1,A1UN1Y6PAM3J8L,9,ma_16527526-a_w_outline.jpg,ma_16527526-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:1:21:272,,return,23.269,13:1:44:553,mark arrow ,mark arrow,0.287760417,-0.294270833,0,0,0,0,5,5,3,1,A1UN1Y6PAM3J8L,17,ma_27857618-a_w_outline.jpg,ma_27857618-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:1:45:583,,return,32.988,13:2:18:586,a sheet,a sheet ,0.184895833,-0.287760417,0,0,0,0,6,6,10,1,A1UN1Y6PAM3J8L,67,ma_97475929-a_w_outline.jpg,ma_97475929-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:2:19:615,,return,29.263,13:2:48:898,a bred piece ,a bred piece,0.14453125,-0.2578125,0,0,0,0,7,7,6,1,A1UN1Y6PAM3J8L,30,ma_48486405-a_w_outline.jpg,ma_48486405-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:2:49:927,,return,43.443,13:3:33:398,large dot fruit,small dot fruit,0.485677083,-0.291666667,0,0,0,0,8,8,2,1,A1UN1Y6PAM3J8L,10,ma_18169626-a_w_outline.jpg,ma_18169626-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:3:34:428,,return,22.824,13:3:57:273,long chain,smaller chain,0.348958333,-0.25,0,0,0,0,9,9,11,1,A1UN1Y6PAM3J8L,68,ma_98156944-a_w_outline.jpg,ma_98156944-b_w_outline.jpg,44,A1UN1Y6PAM3J8L,2020-12-29_12h45.49.390,MetaAwareness,2020.1.2,Win32,60,34O39PNDK7BPMVCIWFKPJYQZQVJBRG,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,TTRE3,TTRE3,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,3ERET4BTVNCNXIIKYD2YFZ4JWOGK9P,266513,266513,,,,,,,,,,,,,,,,,,,,,,,,
