start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
17:11:27:971,17:11:51:506,17:12:6:477,17:12:6:479,space,9.881815,17:12:16:431,17:12:16:434,space,13.20521,17:12:29:658,17:12:30:659,,space,18.06584,17:12:48:756,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.08,-0.095238095,0,0,0,17:12:49:773,,space,12.54349,17:13:2:334,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.08,-0.095238095,0,0,0,17:13:3:335,,space,7.20649,17:13:10:557,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.08,-0.095238095,0,0,0,17:13:11:559,return,6.247575,17:13:17:813,17:13:18:830,,return,46.762925,17:14:5:617,"a table full of booklets and cards, one with a man appearing on the right side of the booklet.","a table full of booklets and cards, one with man appearing on the left side of the booklet.",0.181904762,-0.242857143,0,0,0,0,0,0,11,1,A12TFFS6M9TOVF,69,ma_98265889-a_w_outline.jpg,ma_98265889-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:14:6:634,,return,62.26752,17:15:8:917,"a quilt with various square patterns, with one section being a ligher shade of red.",a quilt with various rectangular patterns with one section being a light shade of orange.,-0.093333333,-0.288571429,0,0,0,0,1,1,5,1,A12TFFS6M9TOVF,41,ma_70687495-a_w_outline.jpg,ma_70687495-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:15:9:934,,return,73.483045,17:16:23:442,a collection of pencils and notecards. one notecard has a blank space below the name and a description above the phone number and email.,a collection of pencils and notecards. one notecard has a blank space above the phone number and email and a description below the name.,0.227619048,-0.266666667,0,0,0,0,2,2,9,1,A12TFFS6M9TOVF,67,ma_97475929-a_w_outline.jpg,ma_97475929-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:16:24:459,,return,44.58711,17:17:9:61,a set dinner table with a floral covering. one flower in the pattern is orange rather than red.,a set dinner table with a floral covering. all flowers in the pattern are red.,0.258095238,-0.235238095,0,0,0,0,3,3,8,1,A12TFFS6M9TOVF,61,ma_87983207-a_w_outline.jpg,ma_87983207-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:17:10:78,,return,64.294475,17:18:14:395,a collection of heart shaped trinkets with an orange heart turned to the left.,a collection of heart shaped trinkets with an orange heart turned at 45 degree angle to the left,0.259047619,-0.271428571,0,0,0,0,4,4,6,1,A12TFFS6M9TOVF,46,ma_75958241-a_w_outline.jpg,ma_75958241-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:18:15:412,,return,138.85972,17:20:34:288,a black and white checker pattern displaying cards that have brands and addresses. one such card has a web url a the bottom of the card.,a black and white checker pattern displaying cards that have brands and addresses. one card has a web url placed directly under the phone number.,0.13047619,-0.23047619,0,0,0,0,5,5,4,1,A12TFFS6M9TOVF,40,ma_69128765-a_w_outline.jpg,ma_69128765-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:20:35:304,,return,88.74608,17:22:4:75,presumably a colorful hot air balloon with one section being miscolored as purple.,presumably a colorful hot air balloon with one section matching the rest as yellow.,0.143809524,-0.246666667,0,0,0,0,6,6,0,1,A12TFFS6M9TOVF,5,ma_12178414-a_w_outline.jpg,ma_12178414-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:22:5:92,,return,65.35185,17:23:10:460,a collection of pictures on a wall with one being an obscure photo,a collection of pictures on a wall with one being a dark but obscure photo.,0.301904762,-0.244761905,0,0,0,0,7,7,7,1,A12TFFS6M9TOVF,57,ma_83691215-a_w_outline.jpg,ma_83691215-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:23:11:477,,return,57.48046,17:24:8:973,an office setup with an umbrella towering out from behind the desk.,an office setup with an umbrella just peeking out from behind the desk.,0.156190476,-0.266666667,0,0,0,0,8,8,10,1,A12TFFS6M9TOVF,68,ma_98156944-a_w_outline.jpg,ma_98156944-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:24:9:989,,return,34.2866,17:24:44:300,a collection of bunny figurines with one sporting pink legs.,a collection of bunny figurines with one sporting blue legs to match its ears.,0.275238095,-0.26952381,0,0,0,0,9,9,2,1,A12TFFS6M9TOVF,29,ma_48384711-a_w_outline.jpg,ma_48384711-b_w_outline.jpg,29,A12TFFS6M9TOVF,2021-01-01_17h11.51.414,MetaAwareness,2020.1.2,Win32,60,3N5YJ55YXH6ZONFYXU3CF31J7I4NA8,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,68A24,68A24,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,32AT8R96GMCJ5TJV1X6R2HI7QCDSUX,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
