start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
21:17:48:848,21:18:6:119,21:18:21:26,21:18:21:30,space,10.0083,21:18:31:46,21:18:31:53,space,5.264865,21:18:36:332,21:18:37:363,,space,30.48872,21:19:7:897,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.694010417,-0.15625,0,0,0,21:19:8:898,,space,4.81252,21:19:13:722,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.694010417,-0.15625,0,0,0,21:19:14:740,,space,10.16115,21:19:24:910,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.694010417,-0.15625,0,0,0,21:19:26:7,return,4.764235,21:19:30:774,21:19:31:818,,return,142.390705,21:21:54:219,"in the yellow sheet corner side, logo is pasted in reverse side","in the yellow sheet corner ide, logo is pasted in correct side",0.102864583,-0.274739583,0,0,0,0,0,0,8,1,A3IDJVAGS1SCJ5,64,ma_8974554-a_w_outline.jpg,ma_8974554-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:21:55:240,,return,183.49576,21:24:58:742,"at the corner of the side, long stick is available","at the corner of the side, short stick is available",0.204427083,-0.276041667,0,0,0,0,1,1,11,1,A3IDJVAGS1SCJ5,68,ma_98156944-a_w_outline.jpg,ma_98156944-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:24:59:743,,return,158.876005,21:27:38:628,second  window is closed in the building,second window  is  partially opened,0.516927083,-0.283854167,0,0,0,0,2,2,10,1,A3IDJVAGS1SCJ5,66,ma_95091295-a_w_outline.jpg,ma_95091295-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:27:39:644,,return,156.10524,21:30:15:756,"near the big light, middle light is coated with green color","near te big light, middle light is coated wth white color",0.260416667,-0.27734375,0,0,0,0,3,3,7,1,A3IDJVAGS1SCJ5,59,ma_85741618-a_w_outline.jpg,ma_85741618-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:30:16:768,,return,162.16691,21:32:58:943,"in the seond bottle at the right side, sticker is pasted on opposite side","in the second bottle at te right side, sticker placed at correct side",0.30859375,-0.282552083,0,0,0,0,4,4,5,1,A3IDJVAGS1SCJ5,36,ma_61118260-a_w_outline.jpg,ma_61118260-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:32:59:968,,return,141.686805,21:35:21:662,"at the left sofa, pillow is placed","at the left sofa, pillow is placed at the corner side",0.264322917,-0.333333333,0,0,0,0,5,5,1,1,A3IDJVAGS1SCJ5,8,ma_13873251-a_w_outline.jpg,ma_13873251-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:35:22:676,,return,88.02164,21:36:50:705," at the photo stand, white dot is present",there is no dot available on photo stand,0.368489583,-0.2265625,0,0,0,0,6,6,3,1,A3IDJVAGS1SCJ5,22,ma_38546029-a_w_outline.jpg,ma_38546029-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:36:51:708,,return,207.585395,21:40:19:299,darts board placed at the bottom on the wall,darts board placed at the middle on the wall,0.265625,-0.29296875,0,0,0,0,7,7,2,1,A3IDJVAGS1SCJ5,17,ma_27857618-a_w_outline.jpg,ma_27857618-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:40:20:302,,return,113.388375,21:42:13:697,website is placed at the bottom cornoer box,website name is placed at the correct position,0.33984375,-0.276041667,0,0,0,0,8,8,6,1,A3IDJVAGS1SCJ5,40,ma_69128765-a_w_outline.jpg,ma_69128765-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:42:14:703,,return,60.99225,21:43:15:702,first toy has pink legs,front toy has blue legs,0.498697917,-0.2734375,0,0,0,0,9,9,4,1,A3IDJVAGS1SCJ5,29,ma_48384711-a_w_outline.jpg,ma_48384711-b_w_outline.jpg,27,A3IDJVAGS1SCJ5,2021-01-02_21h18.05.597,MetaAwareness,2020.1.2,Win32,60,38LRF35D5MZCZS0MLG0O6QF794KU3Q,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,KA634,KA634,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,336KAV9KYRV7H3M2HJOAEKBGO8YY2B,266704,266704,,,,,,,,,,,,,,,,,,,,,,,,
