consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Example_1_resp.keys,Example_1_response.keys,Example_1_response.rt,Example_1_a_text,Example_1_b_text,Example_1_mouse.x,Example_1_mouse.y,Example_1_mouse.leftButton,Example_1_mouse.midButton,Example_1_mouse.rightButton,Example_2_resp.keys,Example_2_response.keys,Example_2_response.rt,Example_2_a_text,Example_2_b_text,Example_2_mouse.x,Example_2_mouse.y,Example_2_mouse.leftButton,Example_2_mouse.midButton,Example_2_mouse.rightButton,Example_3_resp.keys,Example_3_response.keys,Example_3_response.rt,Example_3_a_text,Example_3_b_text,Example_3_mouse.x,Example_3_mouse.y,Example_3_mouse.leftButton,Example_3_mouse.midButton,Example_3_mouse.rightButton,Start_resp_2.keys,Start_resp_2.rt,Airplane_resp.keys,Airplane_response.keys,Airplane_response.rt,Airplane_a_text,Airplane_b_text,Airplane_mouse.x,Airplane_mouse.y,Airplane_mouse.leftButton,Airplane_mouse.midButton,Airplane_mouse.rightButton,Boat_resp.keys,Boat_response.keys,Boat_response.rt,Boat_a_text,Boat_b_text,Boat_mouse.x,Boat_mouse.y,Boat_mouse.leftButton,Boat_mouse.midButton,Boat_mouse.rightButton,user_resp.keys,trial_response.keys,trial_response.rt,image_1_text,image_2_text,trial_mouse.x,trial_mouse.y,trial_mouse.leftButton,trial_mouse.midButton,trial_mouse.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_response.keys,Cow_response.rt,Cow_a_text,Cow_b_text,Cow_mouse.x,Cow_mouse.y,Cow_mouse.leftButton,Cow_mouse.midButton,Cow_mouse.rightButton,Garden_resp.keys,Garden_response.keys,Garden_response.rt,Garden_a_text,Garden_b_text,Garden_mouse.x,Garden_mouse.y,Garden_mouse.leftButton,Garden_mouse.midButton,Garden_mouse.rightButton
space,13.760275,space,8.16175,,space,16.12323,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.022148437,-0.391328125,0,0,0,,space,12.10125,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.111645508,-0.153964844,0,0,0,,space,15.581855,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.111645508,-0.153964844,0,0,0,return,1.91321,,return,64.56354,a plane flying in the cloudy sky during a beautiful sunset,a beautiful sunset in the clouds,0.175795898,-0.287998047,0,0,0,,return,38.35479,a white yacht floating on top of a bright blue clear ocean,a bright blue clear ocean,0.204794922,-0.263818359,0,0,0,,return,48.414735,a blue pinwheel amongst a group of multicolored pinwheels,a blue pinwheel with a pink heart amongst a group of multicolored pinwheels,0.187246094,-0.269921875,0,0,0,0,0,0,7,1,A1YHIQHLLLQIIQ,65,ma_90405028-a_w_outline.jpg,ma_90405028-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,50.009625,a box with a low lying label amongst a computer desk setup,a box with a high lying label amongst a computer desk setup,0.223115234,-0.290678711,0,0,0,0,1,1,4,1,A1YHIQHLLLQIIQ,24,ma_4247084-a_w_outline.jpg,ma_4247084-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,42.57261,an angled reindeer cookie among a plate full of cookies,a straight on reindeer cookie among a plate of cookies,0.166430664,-0.274902344,0,0,0,0,2,2,5,1,A1YHIQHLLLQIIQ,45,ma_75081153-a_w_outline.jpg,ma_75081153-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,39.981715,a close up shot of a coffe mug painting in the room,a far away shot of a coffee mug painting in the room,0.228398437,-0.290004883,0,0,0,0,3,3,0,1,A1YHIQHLLLQIIQ,1,ma_10504629-a_w_outline.jpg,ma_10504629-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,44.449355,a fully closed window within a group of 6 windows,one open window within a group of 6 windows,0.042011719,-0.264931641,0,0,0,0,4,4,8,1,A1YHIQHLLLQIIQ,66,ma_95091295-a_w_outline.jpg,ma_95091295-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,45.219755,an embroidered middle house with large windows,an embroidered middle house with small window,0.324116211,-0.293925781,0,0,0,0,5,5,1,1,A1YHIQHLLLQIIQ,13,ma_23024660-a_w_outline.jpg,ma_23024660-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,21.269865,a yellow notebook among a mess threwn about,a red notebook among a mess threwn about,0.187626953,-0.28203125,0,0,0,0,6,6,2,1,A1YHIQHLLLQIIQ,14,ma_23199105-a_w_outline.jpg,ma_23199105-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,30.15448,a business card set with the details low lying,a business card set with the details below the name,0.170195313,-0.331523438,0,0,0,0,7,7,9,1,A1YHIQHLLLQIIQ,67,ma_97475929-a_w_outline.jpg,ma_97475929-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,40.69045,a right facing heart lying on a cutting board of assortments,a straight facing heart lying on a cutting board of assortments,0.281333008,-0.317099609,0,0,0,0,8,8,6,1,A1YHIQHLLLQIIQ,46,ma_75958241-a_w_outline.jpg,ma_75958241-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return,26.787,a notecard writing with a blank spot,a notecard writing with a word placed in the spot,0.240742188,-0.294394531,0,0,0,0,9,9,3,1,A1YHIQHLLLQIIQ,16,ma_25107991-a_w_outline.jpg,ma_25107991-b_w_outline.jpg,33,A1YHIQHLLLQIIQ,2020-12-10_13h28.56.918,MetaAwareness,2020.1.2,MacIntel,60,35A1YQPVFFJA4GSQ5IZ32KPGSJ6I55,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,TZJO4,TZJO4,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,3OJSZ2ATDTZG1G9OCT08ZEUV14N75U,263334,263334,,,,,,,,,,,,,,,,,,,,
