"image","count","stim_set"
"16527526",4,"ma"
"18169626",4,"ma"
"31236119",4,"ma"
"83536470",4,"ma"
"1191801",5,"ma"
"13141692",5,"ma"
"1383096",5,"ma"
"3099758",5,"ma"
"44993860",5,"ma"
"51856108",5,"ma"
"75081153",5,"ma"
"79191795",5,"ma"
"79241011",5,"ma"
"79573638",5,"ma"
"22020472",6,"ma"
"24383097",6,"ma"
"25107991",6,"ma"
"27857618",6,"ma"
"38466626",6,"ma"
"45525109",6,"ma"
"46475259",6,"ma"
"55174490",6,"ma"
"56835136",6,"ma"
"61118260",6,"ma"
"62096551",6,"ma"
"67862299",6,"ma"
"79222679",6,"ma"
"83785171",6,"ma"
"85741618",6,"ma"
"86520382",6,"ma"
"88767165",6,"ma"
"89354846",6,"ma"
"10504629",7,"ma"
"18345691",7,"ma"
"48486405",7,"ma"
"57861456",7,"ma"
"77574131",7,"ma"
"81993755",7,"ma"
"97475929",7,"ma"
"12115280",8,"ma"
"4247084",8,"ma"
"51537628",8,"ma"
"73637203",8,"ma"
"75958241",8,"ma"
"8197559",8,"ma"
"90405028",8,"ma"
"98265889",8,"ma"
"23199105",9,"ma"
"42429798",9,"ma"
"70687495",9,"ma"
"74173745",9,"ma"
"87983207",9,"ma"
"8974554",9,"ma"
"10810329",10,"ma"
"32289063",10,"ma"
"38546029",10,"ma"
"62224663",10,"ma"
"98156944",10,"ma"
"12178414",11,"ma"
"23024660",11,"ma"
"46635293",11,"ma"
"69128765",11,"ma"
"77345858",11,"ma"
"83691215",11,"ma"
"95091295",11,"ma"
"13873251",12,"ma"
"48384711",12,"ma"
"72488522",12,"ma"
"77793328",12,"ma"
