consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,7.541375,space,29.77803,5,3.366735,5,2.37069,4,8.45823,0,0,0,10,1,A1ESLDCYJIENVI,24,ma_4247084-a_w_outline.jpg,ma_4247084-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,3,5.53771,0,1,1,28,1,A1ESLDCYJIENVI,67,ma_97475929-a_w_outline.jpg,ma_97475929-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,2,12.87152,0,2,2,4,1,A1ESLDCYJIENVI,8,ma_13873251-a_w_outline.jpg,ma_13873251-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,3,5.620985,0,3,3,16,1,A1ESLDCYJIENVI,36,ma_61118260-a_w_outline.jpg,ma_61118260-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,1,4.70432,0,4,4,8,1,A1ESLDCYJIENVI,21,ma_38466626-a_w_outline.jpg,ma_38466626-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,3,5.48937,0,5,5,20,1,A1ESLDCYJIENVI,43,ma_73637203-a_w_outline.jpg,ma_73637203-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,4,4.88744,0,6,6,5,1,A1ESLDCYJIENVI,12,ma_22020472-a_w_outline.jpg,ma_22020472-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,4,4.6385,0,7,7,19,1,A1ESLDCYJIENVI,40,ma_69128765-a_w_outline.jpg,ma_69128765-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,1,4.8755,0,8,8,27,1,A1ESLDCYJIENVI,64,ma_8974554-a_w_outline.jpg,ma_8974554-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
,,,,,,,,4,5.49513,0,9,9,29,1,A1ESLDCYJIENVI,68,ma_98156944-a_w_outline.jpg,ma_98156944-b_w_outline.jpg,26,m,A1ESLDCYJIENVI,2020-12-07_20h28.29.394,MetaAwareness,2020.1.2,Linux x86_64,60,3HO4MYYR13RBWBN44IYMDTRRI7W6U5,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,GF7Z0,GF7Z0,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,3Z7EFSHGNAHVFGOU9GRE7JDTV44XCJ,262460,262460,,,,
