consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,8.157,space,4.717,4,12.365,4,10.935,4,70.259,0,0,0,28,1,A28Q3BES5F9FQ3,67,ma_97475929-a_w_outline.jpg,ma_97475929-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,4,97.128,0,1,1,24,1,A28Q3BES5F9FQ3,63,ma_89354846-a_w_outline.jpg,ma_89354846-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,4,7.447,0,2,2,1,1,A28Q3BES5F9FQ3,3,ma_1191801-a_w_outline.jpg,ma_1191801-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,3,4.048,0,3,3,9,1,A28Q3BES5F9FQ3,25,ma_44993860-a_w_outline.jpg,ma_44993860-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,4,161.379,0,4,4,21,1,A28Q3BES5F9FQ3,59,ma_85741618-a_w_outline.jpg,ma_85741618-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,4,5.319,0,5,5,29,1,A28Q3BES5F9FQ3,68,ma_98156944-a_w_outline.jpg,ma_98156944-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,4,10.61,0,6,6,16,1,A28Q3BES5F9FQ3,43,ma_73637203-a_w_outline.jpg,ma_73637203-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,3,8.6,0,7,7,27,1,A28Q3BES5F9FQ3,66,ma_95091295-a_w_outline.jpg,ma_95091295-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,3,3.424,0,8,8,3,1,A28Q3BES5F9FQ3,5,ma_12178414-a_w_outline.jpg,ma_12178414-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,3,5.664,0,9,9,20,1,A28Q3BES5F9FQ3,54,ma_8197559-a_w_outline.jpg,ma_8197559-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,3,5.498,0,10,10,2,1,A28Q3BES5F9FQ3,4,ma_12115280-a_w_outline.jpg,ma_12115280-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
,,,,,,,,3,5.425,0,11,11,25,1,A28Q3BES5F9FQ3,64,ma_8974554-a_w_outline.jpg,ma_8974554-b_w_outline.jpg,40,male,A28Q3BES5F9FQ3,2020-12-08_17h21.08.601,MetaAwareness,2020.1.2,Win32,60,3087LXLJ6NJRZI4Z74N6ISGXVHK0FO,3I02618YA19MS1339G2X7CDW08GUPM,Y60I5,Y60I5,3I02618YA19MS1339G2X7CDW08GUPM,3I02618YA19MS1339G2X7CDW08GUPM,262735,262735,,,,
