consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,6.458595,space,17.395315,5,7.660995,5,2.286265,5,3.96337,0,0,0,15,1,A2I43BDUPAM00C,43,ma_73637203-a_w_outline.jpg,ma_73637203-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,5,7.01529,0,1,1,8,1,A2I43BDUPAM00C,22,ma_38546029-a_w_outline.jpg,ma_38546029-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,5,10.765085,0,2,2,6,1,A2I43BDUPAM00C,17,ma_27857618-a_w_outline.jpg,ma_27857618-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,4,5.28299,0,3,3,7,1,A2I43BDUPAM00C,21,ma_38466626-a_w_outline.jpg,ma_38466626-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,4,3.86127,0,4,4,10,1,A2I43BDUPAM00C,26,ma_45525109-a_w_outline.jpg,ma_45525109-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,5,3.8825,0,5,5,9,1,A2I43BDUPAM00C,23,ma_42429798-a_w_outline.jpg,ma_42429798-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,4,5.34713,0,6,6,13,1,A2I43BDUPAM00C,32,ma_51856108-a_w_outline.jpg,ma_51856108-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,3,4.589815,0,7,7,21,1,A2I43BDUPAM00C,55,ma_81993755-a_w_outline.jpg,ma_81993755-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,4,3.602955,0,8,8,17,1,A2I43BDUPAM00C,48,ma_77574131-a_w_outline.jpg,ma_77574131-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,5,3.9951,0,9,9,3,1,A2I43BDUPAM00C,10,ma_18169626-a_w_outline.jpg,ma_18169626-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,4,11.125805,0,10,10,25,1,A2I43BDUPAM00C,63,ma_89354846-a_w_outline.jpg,ma_89354846-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,3,6.154505,0,11,11,12,1,A2I43BDUPAM00C,31,ma_51537628-a_w_outline.jpg,ma_51537628-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
,,,,,,,,3,4.986995,0,12,12,0,1,A2I43BDUPAM00C,4,ma_12115280-a_w_outline.jpg,ma_12115280-b_w_outline.jpg,42,f,A2I43BDUPAM00C,2020-12-10_10h49.25.931,MetaAwareness,2020.1.2,Win32,60,31KSVEGZ35VHAYATR6GL6C3KZCOWRZ,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,3WOKGM4L72JORFFMW9BYT5KZAKZO0R,263080,263080,,,,
