consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,30.851,space,33.686,5,3.786,5,1.607,5,11.002,0,0,0,17,1,A2R75YFKVALBXE,44,ma_74173745-a_w_outline.jpg,ma_74173745-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,5,3.826,0,1,1,19,1,A2R75YFKVALBXE,48,ma_77574131-a_w_outline.jpg,ma_77574131-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,5,4.372,0,2,2,0,1,A2R75YFKVALBXE,3,ma_1191801-a_w_outline.jpg,ma_1191801-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,5,3.589,0,3,3,6,1,A2R75YFKVALBXE,23,ma_42429798-a_w_outline.jpg,ma_42429798-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,5,4.311,0,4,4,1,1,A2R75YFKVALBXE,7,ma_1383096-a_w_outline.jpg,ma_1383096-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,3,11.311,0,5,5,22,1,A2R75YFKVALBXE,54,ma_8197559-a_w_outline.jpg,ma_8197559-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,5,21.478,0,6,6,27,1,A2R75YFKVALBXE,63,ma_89354846-a_w_outline.jpg,ma_89354846-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,3,11.115,0,7,7,25,1,A2R75YFKVALBXE,60,ma_86520382-a_w_outline.jpg,ma_86520382-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,3,13.285,0,8,8,11,1,A2R75YFKVALBXE,30,ma_48486405-a_w_outline.jpg,ma_48486405-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
,,,,,,,,4,5.305,0,9,9,14,1,A2R75YFKVALBXE,40,ma_69128765-a_w_outline.jpg,ma_69128765-b_w_outline.jpg,70,m,A2R75YFKVALBXE,2020-12-07_17h53.12.440,MetaAwareness,2020.1.2,MacIntel,60,3HXK2V1N4LI49S38XBX2J19OTTD2GG,358UUM7WR065637M90DB2FZRTCK7RW,WU850,WU850,358UUM7WR065637M90DB2FZRTCK7RW,358UUM7WR065637M90DB2FZRTCK7RW,262460,262460,,,,
